Year,Nation,prodinit_ippu_lime_and_carbonite_tonne
1992,belize,25038.7125685093
1993,belize,25038.7125685093
1994,belize,25038.7125685093
1995,belize,25038.7125685093
1996,belize,25038.7125685093
1997,belize,25038.7125685093
1998,belize,25038.7125685093
1999,belize,25038.7125685093
2000,belize,25038.7125685093
2001,belize,25038.7125685093
2002,belize,25038.7125685093
2003,belize,25038.7125685093
2004,belize,25038.7125685093
2005,belize,25038.7125685093
2006,belize,25038.7125685093
2007,belize,25038.7125685093
2008,belize,25038.7125685093
2009,belize,25038.7125685093
2010,belize,25038.7125685093
2011,belize,25038.7125685093
2012,belize,25038.7125685093
2013,belize,25038.7125685093
2014,belize,25038.7125685093
2015,belize,25038.7125685093
2016,belize,25038.7125685093
2017,belize,25038.7125685093
2018,belize,25038.7125685093
2019,belize,25038.7125685093
1990,bolivia,4671.74966905871
1991,bolivia,4671.74966905871
1992,bolivia,4671.74966905871
1993,bolivia,4671.74966905871
1994,bolivia,4671.74966905871
1995,bolivia,4671.74966905871
1996,bolivia,4671.74966905871
1997,bolivia,4671.74966905871
1998,bolivia,4671.74966905871
1999,bolivia,4671.74966905871
2000,bolivia,4671.74966905871
2001,bolivia,4671.74966905871
2002,bolivia,4671.74966905871
2003,bolivia,4671.74966905871
2004,bolivia,4671.74966905871
2005,bolivia,4671.74966905871
2006,bolivia,4671.74966905871
2007,bolivia,4671.74966905871
2008,bolivia,4671.74966905871
2009,bolivia,4671.74966905871
2010,bolivia,4671.74966905871
2011,bolivia,4671.74966905871
2012,bolivia,4671.74966905871
2013,bolivia,4671.74966905871
2014,bolivia,4671.74966905871
2015,bolivia,4671.74966905871
2016,bolivia,4671.74966905871
2017,bolivia,4671.74966905871
2018,bolivia,4671.74966905871
2019,bolivia,4671.74966905871
1990,brazil,178816.481518124
1991,brazil,178816.481518124
1992,brazil,178816.481518124
1993,brazil,178816.481518124
1994,brazil,178816.481518124
1995,brazil,178816.481518124
1996,brazil,178816.481518124
1997,brazil,178816.481518124
1998,brazil,178816.481518124
1999,brazil,178816.481518124
2000,brazil,178816.481518124
2001,brazil,178816.481518124
2002,brazil,178816.481518124
2003,brazil,178816.481518124
2004,brazil,178816.481518124
2005,brazil,178816.481518124
2006,brazil,178816.481518124
2007,brazil,178816.481518124
2008,brazil,178816.481518124
2009,brazil,178816.481518124
2010,brazil,178816.481518124
2011,brazil,178816.481518124
2012,brazil,178816.481518124
2013,brazil,178816.481518124
2014,brazil,178816.481518124
2015,brazil,178816.481518124
2016,brazil,178816.481518124
2017,brazil,178816.481518124
2018,brazil,178816.481518124
2019,brazil,178816.481518124
1990,chile,16888.0921916701
1991,chile,16888.0921916701
1992,chile,16888.0921916701
1993,chile,16888.0921916701
1994,chile,16888.0921916701
1995,chile,16888.0921916701
1996,chile,16888.0921916701
1997,chile,16888.0921916701
1998,chile,16888.0921916701
1999,chile,16888.0921916701
2000,chile,16888.0921916701
2001,chile,16888.0921916701
2002,chile,16888.0921916701
2003,chile,16888.0921916701
2004,chile,16888.0921916701
2005,chile,16888.0921916701
2006,chile,16888.0921916701
2007,chile,16888.0921916701
2008,chile,16888.0921916701
2009,chile,16888.0921916701
2010,chile,16888.0921916701
2011,chile,16888.0921916701
2012,chile,16888.0921916701
2013,chile,16888.0921916701
2014,chile,16888.0921916701
2015,chile,16888.0921916701
2016,chile,16888.0921916701
2017,chile,16888.0921916701
2018,chile,16888.0921916701
2019,chile,16888.0921916701
1990,colombia,54020.6765516728
1991,colombia,54020.6765516728
1992,colombia,54020.6765516728
1993,colombia,54020.6765516728
1994,colombia,54020.6765516728
1995,colombia,54020.6765516728
1996,colombia,54020.6765516728
1997,colombia,54020.6765516728
1998,colombia,54020.6765516728
1999,colombia,54020.6765516728
2000,colombia,54020.6765516728
2001,colombia,54020.6765516728
2002,colombia,54020.6765516728
2003,colombia,54020.6765516728
2004,colombia,54020.6765516728
2005,colombia,54020.6765516728
2006,colombia,54020.6765516728
2007,colombia,54020.6765516728
2008,colombia,54020.6765516728
2009,colombia,54020.6765516728
2010,colombia,54020.6765516728
2011,colombia,54020.6765516728
2012,colombia,54020.6765516728
2013,colombia,54020.6765516728
2014,colombia,54020.6765516728
2015,colombia,54020.6765516728
2016,colombia,54020.6765516728
2017,colombia,54020.6765516728
2018,colombia,54020.6765516728
2019,colombia,54020.6765516728
1990,costa_rica,3251.11379467293
1991,costa_rica,3251.11379467293
1992,costa_rica,3251.11379467293
1993,costa_rica,3251.11379467293
1994,costa_rica,3251.11379467293
1995,costa_rica,3251.11379467293
1996,costa_rica,3251.11379467293
1997,costa_rica,3251.11379467293
1998,costa_rica,3251.11379467293
1999,costa_rica,3251.11379467293
2000,costa_rica,3251.11379467293
2001,costa_rica,3251.11379467293
2002,costa_rica,3251.11379467293
2003,costa_rica,3251.11379467293
2004,costa_rica,3251.11379467293
2005,costa_rica,3251.11379467293
2006,costa_rica,3251.11379467293
2007,costa_rica,3251.11379467293
2008,costa_rica,3251.11379467293
2009,costa_rica,3251.11379467293
2010,costa_rica,3251.11379467293
2011,costa_rica,3251.11379467293
2012,costa_rica,3251.11379467293
2013,costa_rica,3251.11379467293
2014,costa_rica,3251.11379467293
2015,costa_rica,3251.11379467293
2016,costa_rica,3251.11379467293
2017,costa_rica,3251.11379467293
2018,costa_rica,3251.11379467293
2019,costa_rica,3251.11379467293
1990,dominican_republic,6743.88045142089
1991,dominican_republic,6743.88045142089
1992,dominican_republic,6743.88045142089
1993,dominican_republic,6743.88045142089
1994,dominican_republic,6743.88045142089
1995,dominican_republic,6743.88045142089
1996,dominican_republic,6743.88045142089
1997,dominican_republic,6743.88045142089
1998,dominican_republic,6743.88045142089
1999,dominican_republic,6743.88045142089
2000,dominican_republic,6743.88045142089
2001,dominican_republic,6743.88045142089
2002,dominican_republic,6743.88045142089
2003,dominican_republic,6743.88045142089
2004,dominican_republic,6743.88045142089
2005,dominican_republic,6743.88045142089
2006,dominican_republic,6743.88045142089
2007,dominican_republic,6743.88045142089
2008,dominican_republic,6743.88045142089
2009,dominican_republic,6743.88045142089
2010,dominican_republic,6743.88045142089
2011,dominican_republic,6743.88045142089
2012,dominican_republic,6743.88045142089
2013,dominican_republic,6743.88045142089
2014,dominican_republic,6743.88045142089
2015,dominican_republic,6743.88045142089
2016,dominican_republic,6743.88045142089
2017,dominican_republic,6743.88045142089
2018,dominican_republic,6743.88045142089
2019,dominican_republic,6743.88045142089
1990,ecuador,8840.10878474033
1991,ecuador,8840.10878474033
1992,ecuador,8840.10878474033
1993,ecuador,8840.10878474033
1994,ecuador,8840.10878474033
1995,ecuador,8840.10878474033
1996,ecuador,8840.10878474033
1997,ecuador,8840.10878474033
1998,ecuador,8840.10878474033
1999,ecuador,8840.10878474033
2000,ecuador,8840.10878474033
2001,ecuador,8840.10878474033
2002,ecuador,8840.10878474033
2003,ecuador,8840.10878474033
2004,ecuador,8840.10878474033
2005,ecuador,8840.10878474033
2006,ecuador,8840.10878474033
2007,ecuador,8840.10878474033
2008,ecuador,8840.10878474033
2009,ecuador,8840.10878474033
2010,ecuador,8840.10878474033
2011,ecuador,8840.10878474033
2012,ecuador,8840.10878474033
2013,ecuador,8840.10878474033
2014,ecuador,8840.10878474033
2015,ecuador,8840.10878474033
2016,ecuador,8840.10878474033
2017,ecuador,8840.10878474033
2018,ecuador,8840.10878474033
2019,ecuador,8840.10878474033
1990,el_salvador,1502.64462273268
1991,el_salvador,1502.64462273268
1992,el_salvador,1502.64462273268
1993,el_salvador,1502.64462273268
1994,el_salvador,1502.64462273268
1995,el_salvador,1502.64462273268
1996,el_salvador,1502.64462273268
1997,el_salvador,1502.64462273268
1998,el_salvador,1502.64462273268
1999,el_salvador,1502.64462273268
2000,el_salvador,1502.64462273268
2001,el_salvador,1502.64462273268
2002,el_salvador,1502.64462273268
2003,el_salvador,1502.64462273268
2004,el_salvador,1502.64462273268
2005,el_salvador,1502.64462273268
2006,el_salvador,1502.64462273268
2007,el_salvador,1502.64462273268
2008,el_salvador,1502.64462273268
2009,el_salvador,1502.64462273268
2010,el_salvador,1502.64462273268
2011,el_salvador,1502.64462273268
2012,el_salvador,1502.64462273268
2013,el_salvador,1502.64462273268
2014,el_salvador,1502.64462273268
2015,el_salvador,1502.64462273268
2016,el_salvador,1502.64462273268
2017,el_salvador,1502.64462273268
2018,el_salvador,1502.64462273268
2019,el_salvador,1502.64462273268
1990,guatemala,5243.96106635143
1991,guatemala,5243.96106635143
1992,guatemala,5243.96106635143
1993,guatemala,5243.96106635143
1994,guatemala,5243.96106635143
1995,guatemala,5243.96106635143
1996,guatemala,5243.96106635143
1997,guatemala,5243.96106635143
1998,guatemala,5243.96106635143
1999,guatemala,5243.96106635143
2000,guatemala,5243.96106635143
2001,guatemala,5243.96106635143
2002,guatemala,5243.96106635143
2003,guatemala,5243.96106635143
2004,guatemala,5243.96106635143
2005,guatemala,5243.96106635143
2006,guatemala,5243.96106635143
2007,guatemala,5243.96106635143
2008,guatemala,5243.96106635143
2009,guatemala,5243.96106635143
2010,guatemala,5243.96106635143
2011,guatemala,5243.96106635143
2012,guatemala,5243.96106635143
2013,guatemala,5243.96106635143
2014,guatemala,5243.96106635143
2015,guatemala,5243.96106635143
2016,guatemala,5243.96106635143
2017,guatemala,5243.96106635143
2018,guatemala,5243.96106635143
2019,guatemala,5243.96106635143
1990,guyana,25038.7125685093
1991,guyana,25038.7125685093
1992,guyana,25038.7125685093
1993,guyana,25038.7125685093
1994,guyana,25038.7125685093
1995,guyana,25038.7125685093
1996,guyana,25038.7125685093
1997,guyana,25038.7125685093
1998,guyana,25038.7125685093
1999,guyana,25038.7125685093
2000,guyana,25038.7125685093
2001,guyana,25038.7125685093
2002,guyana,25038.7125685093
2003,guyana,25038.7125685093
2004,guyana,25038.7125685093
2005,guyana,25038.7125685093
2006,guyana,25038.7125685093
2007,guyana,25038.7125685093
2008,guyana,25038.7125685093
2009,guyana,25038.7125685093
2010,guyana,25038.7125685093
2011,guyana,25038.7125685093
2012,guyana,25038.7125685093
2013,guyana,25038.7125685093
2014,guyana,25038.7125685093
2015,guyana,25038.7125685093
2016,guyana,25038.7125685093
2017,guyana,25038.7125685093
2018,guyana,25038.7125685093
2019,guyana,25038.7125685093
1990,haiti,25038.7125685093
1991,haiti,25038.7125685093
1992,haiti,25038.7125685093
1993,haiti,25038.7125685093
1994,haiti,25038.7125685093
1995,haiti,25038.7125685093
1996,haiti,25038.7125685093
1997,haiti,25038.7125685093
1998,haiti,25038.7125685093
1999,haiti,25038.7125685093
2000,haiti,25038.7125685093
2001,haiti,25038.7125685093
2002,haiti,25038.7125685093
2003,haiti,25038.7125685093
2004,haiti,25038.7125685093
2005,haiti,25038.7125685093
2006,haiti,25038.7125685093
2007,haiti,25038.7125685093
2008,haiti,25038.7125685093
2009,haiti,25038.7125685093
2010,haiti,25038.7125685093
2011,haiti,25038.7125685093
2012,haiti,25038.7125685093
2013,haiti,25038.7125685093
2014,haiti,25038.7125685093
2015,haiti,25038.7125685093
2016,haiti,25038.7125685093
2017,haiti,25038.7125685093
2018,haiti,25038.7125685093
2019,haiti,25038.7125685093
1990,honduras,1755.99573788473
1991,honduras,1755.99573788473
1992,honduras,1755.99573788473
1993,honduras,1755.99573788473
1994,honduras,1755.99573788473
1995,honduras,1755.99573788473
1996,honduras,1755.99573788473
1997,honduras,1755.99573788473
1998,honduras,1755.99573788473
1999,honduras,1755.99573788473
2000,honduras,1755.99573788473
2001,honduras,1755.99573788473
2002,honduras,1755.99573788473
2003,honduras,1755.99573788473
2004,honduras,1755.99573788473
2005,honduras,1755.99573788473
2006,honduras,1755.99573788473
2007,honduras,1755.99573788473
2008,honduras,1755.99573788473
2009,honduras,1755.99573788473
2010,honduras,1755.99573788473
2011,honduras,1755.99573788473
2012,honduras,1755.99573788473
2013,honduras,1755.99573788473
2014,honduras,1755.99573788473
2015,honduras,1755.99573788473
2016,honduras,1755.99573788473
2017,honduras,1755.99573788473
2018,honduras,1755.99573788473
2019,honduras,1755.99573788473
1990,jamaica,25038.7125685093
1991,jamaica,25038.7125685093
1992,jamaica,25038.7125685093
1993,jamaica,25038.7125685093
1994,jamaica,25038.7125685093
1995,jamaica,25038.7125685093
1996,jamaica,25038.7125685093
1997,jamaica,25038.7125685093
1998,jamaica,25038.7125685093
1999,jamaica,25038.7125685093
2000,jamaica,25038.7125685093
2001,jamaica,25038.7125685093
2002,jamaica,25038.7125685093
2003,jamaica,25038.7125685093
2004,jamaica,25038.7125685093
2005,jamaica,25038.7125685093
2006,jamaica,25038.7125685093
2007,jamaica,25038.7125685093
2008,jamaica,25038.7125685093
2009,jamaica,25038.7125685093
2010,jamaica,25038.7125685093
2011,jamaica,25038.7125685093
2012,jamaica,25038.7125685093
2013,jamaica,25038.7125685093
2014,jamaica,25038.7125685093
2015,jamaica,25038.7125685093
2016,jamaica,25038.7125685093
2017,jamaica,25038.7125685093
2018,jamaica,25038.7125685093
2019,jamaica,25038.7125685093
1990,mexico,89806.5820926183
1991,mexico,89806.5820926183
1992,mexico,89806.5820926183
1993,mexico,89806.5820926183
1994,mexico,89806.5820926183
1995,mexico,89806.5820926183
1996,mexico,89806.5820926183
1997,mexico,89806.5820926183
1998,mexico,89806.5820926183
1999,mexico,89806.5820926183
2000,mexico,89806.5820926183
2001,mexico,89806.5820926183
2002,mexico,89806.5820926183
2003,mexico,89806.5820926183
2004,mexico,89806.5820926183
2005,mexico,89806.5820926183
2006,mexico,89806.5820926183
2007,mexico,89806.5820926183
2008,mexico,89806.5820926183
2009,mexico,89806.5820926183
2010,mexico,89806.5820926183
2011,mexico,89806.5820926183
2012,mexico,89806.5820926183
2013,mexico,89806.5820926183
2014,mexico,89806.5820926183
2015,mexico,89806.5820926183
2016,mexico,89806.5820926183
2017,mexico,89806.5820926183
2018,mexico,89806.5820926183
2019,mexico,89806.5820926183
1990,nicaragua,1009.53231606514
1991,nicaragua,1009.53231606514
1992,nicaragua,1009.53231606514
1993,nicaragua,1009.53231606514
1994,nicaragua,1009.53231606514
1995,nicaragua,1009.53231606514
1996,nicaragua,1009.53231606514
1997,nicaragua,1009.53231606514
1998,nicaragua,1009.53231606514
1999,nicaragua,1009.53231606514
2000,nicaragua,1009.53231606514
2001,nicaragua,1009.53231606514
2002,nicaragua,1009.53231606514
2003,nicaragua,1009.53231606514
2004,nicaragua,1009.53231606514
2005,nicaragua,1009.53231606514
2006,nicaragua,1009.53231606514
2007,nicaragua,1009.53231606514
2008,nicaragua,1009.53231606514
2009,nicaragua,1009.53231606514
2010,nicaragua,1009.53231606514
2011,nicaragua,1009.53231606514
2012,nicaragua,1009.53231606514
2013,nicaragua,1009.53231606514
2014,nicaragua,1009.53231606514
2015,nicaragua,1009.53231606514
2016,nicaragua,1009.53231606514
2017,nicaragua,1009.53231606514
2018,nicaragua,1009.53231606514
2019,nicaragua,1009.53231606514
1990,panama,8459.81249832352
1991,panama,8459.81249832352
1992,panama,8459.81249832352
1993,panama,8459.81249832352
1994,panama,8459.81249832352
1995,panama,8459.81249832352
1996,panama,8459.81249832352
1997,panama,8459.81249832352
1998,panama,8459.81249832352
1999,panama,8459.81249832352
2000,panama,8459.81249832352
2001,panama,8459.81249832352
2002,panama,8459.81249832352
2003,panama,8459.81249832352
2004,panama,8459.81249832352
2005,panama,8459.81249832352
2006,panama,8459.81249832352
2007,panama,8459.81249832352
2008,panama,8459.81249832352
2009,panama,8459.81249832352
2010,panama,8459.81249832352
2011,panama,8459.81249832352
2012,panama,8459.81249832352
2013,panama,8459.81249832352
2014,panama,8459.81249832352
2015,panama,8459.81249832352
2016,panama,8459.81249832352
2017,panama,8459.81249832352
2018,panama,8459.81249832352
2019,panama,8459.81249832352
1990,paraguay,3739.52729055037
1991,paraguay,3739.52729055037
1992,paraguay,3739.52729055037
1993,paraguay,3739.52729055037
1994,paraguay,3739.52729055037
1995,paraguay,3739.52729055037
1996,paraguay,3739.52729055037
1997,paraguay,3739.52729055037
1998,paraguay,3739.52729055037
1999,paraguay,3739.52729055037
2000,paraguay,3739.52729055037
2001,paraguay,3739.52729055037
2002,paraguay,3739.52729055037
2003,paraguay,3739.52729055037
2004,paraguay,3739.52729055037
2005,paraguay,3739.52729055037
2006,paraguay,3739.52729055037
2007,paraguay,3739.52729055037
2008,paraguay,3739.52729055037
2009,paraguay,3739.52729055037
2010,paraguay,3739.52729055037
2011,paraguay,3739.52729055037
2012,paraguay,3739.52729055037
2013,paraguay,3739.52729055037
2014,paraguay,3739.52729055037
2015,paraguay,3739.52729055037
2016,paraguay,3739.52729055037
2017,paraguay,3739.52729055037
2018,paraguay,3739.52729055037
2019,paraguay,3739.52729055037
1990,peru,23499.7311313013
1991,peru,23499.7311313013
1992,peru,23499.7311313013
1993,peru,23499.7311313013
1994,peru,23499.7311313013
1995,peru,23499.7311313013
1996,peru,23499.7311313013
1997,peru,23499.7311313013
1998,peru,23499.7311313013
1999,peru,23499.7311313013
2000,peru,23499.7311313013
2001,peru,23499.7311313013
2002,peru,23499.7311313013
2003,peru,23499.7311313013
2004,peru,23499.7311313013
2005,peru,23499.7311313013
2006,peru,23499.7311313013
2007,peru,23499.7311313013
2008,peru,23499.7311313013
2009,peru,23499.7311313013
2010,peru,23499.7311313013
2011,peru,23499.7311313013
2012,peru,23499.7311313013
2013,peru,23499.7311313013
2014,peru,23499.7311313013
2015,peru,23499.7311313013
2016,peru,23499.7311313013
2017,peru,23499.7311313013
2018,peru,23499.7311313013
2019,peru,23499.7311313013
1990,suriname,25038.7125685093
1991,suriname,25038.7125685093
1992,suriname,25038.7125685093
1993,suriname,25038.7125685093
1994,suriname,25038.7125685093
1995,suriname,25038.7125685093
1996,suriname,25038.7125685093
1997,suriname,25038.7125685093
1998,suriname,25038.7125685093
1999,suriname,25038.7125685093
2000,suriname,25038.7125685093
2001,suriname,25038.7125685093
2002,suriname,25038.7125685093
2003,suriname,25038.7125685093
2004,suriname,25038.7125685093
2005,suriname,25038.7125685093
2006,suriname,25038.7125685093
2007,suriname,25038.7125685093
2008,suriname,25038.7125685093
2009,suriname,25038.7125685093
2010,suriname,25038.7125685093
2011,suriname,25038.7125685093
2012,suriname,25038.7125685093
2013,suriname,25038.7125685093
2014,suriname,25038.7125685093
2015,suriname,25038.7125685093
2016,suriname,25038.7125685093
2017,suriname,25038.7125685093
2018,suriname,25038.7125685093
2019,suriname,25038.7125685093
1990,trinidad_and_tobago,25038.7125685093
1991,trinidad_and_tobago,25038.7125685093
1992,trinidad_and_tobago,25038.7125685093
1993,trinidad_and_tobago,25038.7125685093
1994,trinidad_and_tobago,25038.7125685093
1995,trinidad_and_tobago,25038.7125685093
1996,trinidad_and_tobago,25038.7125685093
1997,trinidad_and_tobago,25038.7125685093
1998,trinidad_and_tobago,25038.7125685093
1999,trinidad_and_tobago,25038.7125685093
2000,trinidad_and_tobago,25038.7125685093
2001,trinidad_and_tobago,25038.7125685093
2002,trinidad_and_tobago,25038.7125685093
2003,trinidad_and_tobago,25038.7125685093
2004,trinidad_and_tobago,25038.7125685093
2005,trinidad_and_tobago,25038.7125685093
2006,trinidad_and_tobago,25038.7125685093
2007,trinidad_and_tobago,25038.7125685093
2008,trinidad_and_tobago,25038.7125685093
2009,trinidad_and_tobago,25038.7125685093
2010,trinidad_and_tobago,25038.7125685093
2011,trinidad_and_tobago,25038.7125685093
2012,trinidad_and_tobago,25038.7125685093
2013,trinidad_and_tobago,25038.7125685093
2014,trinidad_and_tobago,25038.7125685093
2015,trinidad_and_tobago,25038.7125685093
2016,trinidad_and_tobago,25038.7125685093
2017,trinidad_and_tobago,25038.7125685093
2018,trinidad_and_tobago,25038.7125685093
2019,trinidad_and_tobago,25038.7125685093
1990,uruguay,2279.69589129406
1991,uruguay,2279.69589129406
1992,uruguay,2279.69589129406
1993,uruguay,2279.69589129406
1994,uruguay,2279.69589129406
1995,uruguay,2279.69589129406
1996,uruguay,2279.69589129406
1997,uruguay,2279.69589129406
1998,uruguay,2279.69589129406
1999,uruguay,2279.69589129406
2000,uruguay,2279.69589129406
2001,uruguay,2279.69589129406
2002,uruguay,2279.69589129406
2003,uruguay,2279.69589129406
2004,uruguay,2279.69589129406
2005,uruguay,2279.69589129406
2006,uruguay,2279.69589129406
2007,uruguay,2279.69589129406
2008,uruguay,2279.69589129406
2009,uruguay,2279.69589129406
2010,uruguay,2279.69589129406
2011,uruguay,2279.69589129406
2012,uruguay,2279.69589129406
2013,uruguay,2279.69589129406
2014,uruguay,2279.69589129406
2015,uruguay,2279.69589129406
2016,uruguay,2279.69589129406
2017,uruguay,2279.69589129406
2018,uruguay,2279.69589129406
2019,uruguay,2279.69589129406
1990,venezuela,6305.80995702605
1991,venezuela,6305.80995702605
1992,venezuela,6305.80995702605
1993,venezuela,6305.80995702605
1994,venezuela,6305.80995702605
1995,venezuela,6305.80995702605
1996,venezuela,6305.80995702605
1997,venezuela,6305.80995702605
1998,venezuela,6305.80995702605
1999,venezuela,6305.80995702605
2000,venezuela,6305.80995702605
2001,venezuela,6305.80995702605
2002,venezuela,6305.80995702605
2003,venezuela,6305.80995702605
2004,venezuela,6305.80995702605
2005,venezuela,6305.80995702605
2006,venezuela,6305.80995702605
2007,venezuela,6305.80995702605
2008,venezuela,6305.80995702605
2009,venezuela,6305.80995702605
2010,venezuela,6305.80995702605
2011,venezuela,6305.80995702605
2012,venezuela,6305.80995702605
2013,venezuela,6305.80995702605
2014,venezuela,6305.80995702605
2015,venezuela,6305.80995702605
2016,venezuela,6305.80995702605
2017,venezuela,6305.80995702605
2018,venezuela,6305.80995702605
2019,venezuela,6305.80995702605
