Year,Nation,prodinit_ippu_paper_tonne
2007,el_salvador,3886.7724478316
2008,el_salvador,3886.7724478316
2009,el_salvador,3886.7724478316
2010,el_salvador,3886.7724478316
2011,el_salvador,3886.7724478316
2012,el_salvador,3886.7724478316
2013,el_salvador,3886.7724478316
2014,el_salvador,3886.7724478316
2015,el_salvador,3886.7724478316
2016,el_salvador,3886.7724478316
2017,el_salvador,3886.7724478316
2018,el_salvador,3886.7724478316
2019,el_salvador,3886.7724478316
1990,guatemala,5358.17597511901
1991,guatemala,5358.17597511901
1992,guatemala,5358.17597511901
1993,guatemala,5358.17597511901
1994,guatemala,5358.17597511901
1995,guatemala,5358.17597511901
1996,guatemala,5358.17597511901
1997,guatemala,5358.17597511901
1998,guatemala,5358.17597511901
1999,guatemala,5358.17597511901
2000,guatemala,5358.17597511901
2001,guatemala,5358.17597511901
2002,guatemala,5358.17597511901
2003,guatemala,5358.17597511901
2004,guatemala,5358.17597511901
2005,guatemala,5358.17597511901
2006,guatemala,5358.17597511901
2007,guatemala,5358.17597511901
2008,guatemala,5358.17597511901
2009,guatemala,5358.17597511901
2010,guatemala,5358.17597511901
2011,guatemala,5358.17597511901
2012,guatemala,5358.17597511901
2013,guatemala,5358.17597511901
2014,guatemala,5358.17597511901
2015,guatemala,5358.17597511901
2016,guatemala,5358.17597511901
2017,guatemala,5358.17597511901
2018,guatemala,5358.17597511901
2019,guatemala,5358.17597511901
1990,guyana,32951.0172761377
1991,guyana,32951.0172761377
1992,guyana,32951.0172761377
1993,guyana,32951.0172761377
1994,guyana,32951.0172761377
1995,guyana,32951.0172761377
1996,guyana,32951.0172761377
1997,guyana,32951.0172761377
1998,guyana,32951.0172761377
1999,guyana,32951.0172761377
2000,guyana,32951.0172761377
2001,guyana,32951.0172761377
2002,guyana,32951.0172761377
2003,guyana,32951.0172761377
2004,guyana,32951.0172761377
2005,guyana,32951.0172761377
2006,guyana,32951.0172761377
2007,guyana,32951.0172761377
2008,guyana,32951.0172761377
2009,guyana,32951.0172761377
2010,guyana,32951.0172761377
2011,guyana,32951.0172761377
2012,guyana,32951.0172761377
2013,guyana,32951.0172761377
2014,guyana,32951.0172761377
2015,guyana,32951.0172761377
2016,guyana,32951.0172761377
2017,guyana,32951.0172761377
2018,guyana,32951.0172761377
2019,guyana,32951.0172761377
1990,haiti,32951.0172761377
1991,haiti,32951.0172761377
1992,haiti,32951.0172761377
1993,haiti,32951.0172761377
1994,haiti,32951.0172761377
1995,haiti,32951.0172761377
1996,haiti,32951.0172761377
1997,haiti,32951.0172761377
1998,haiti,32951.0172761377
1999,haiti,32951.0172761377
2000,haiti,32951.0172761377
2001,haiti,32951.0172761377
2002,haiti,32951.0172761377
2003,haiti,32951.0172761377
2004,haiti,32951.0172761377
2005,haiti,32951.0172761377
2006,haiti,32951.0172761377
2007,haiti,32951.0172761377
2008,haiti,32951.0172761377
2009,haiti,32951.0172761377
2010,haiti,32951.0172761377
2011,haiti,32951.0172761377
2012,haiti,32951.0172761377
2013,haiti,32951.0172761377
2014,haiti,32951.0172761377
2015,haiti,32951.0172761377
2016,haiti,32951.0172761377
2017,haiti,32951.0172761377
2018,haiti,32951.0172761377
2019,haiti,32951.0172761377
1990,honduras,1188.01859222254
1991,honduras,1188.01859222254
1992,honduras,1188.01859222254
1993,honduras,1188.01859222254
1994,honduras,1188.01859222254
1995,honduras,1188.01859222254
1996,honduras,1188.01859222254
1997,honduras,1188.01859222254
1998,honduras,1188.01859222254
1999,honduras,1188.01859222254
2000,honduras,1188.01859222254
2001,honduras,1188.01859222254
2002,honduras,1188.01859222254
2003,honduras,1188.01859222254
2004,honduras,1188.01859222254
2005,honduras,1188.01859222254
2006,honduras,1188.01859222254
2007,honduras,1188.01859222254
2008,honduras,1188.01859222254
2009,honduras,1188.01859222254
2010,honduras,1188.01859222254
2011,honduras,1188.01859222254
2012,honduras,1188.01859222254
2013,honduras,1188.01859222254
2014,honduras,1188.01859222254
2015,honduras,1188.01859222254
2016,honduras,1188.01859222254
2017,honduras,1188.01859222254
2018,honduras,1188.01859222254
2019,honduras,1188.01859222254
1990,jamaica,32951.0172761377
1991,jamaica,32951.0172761377
1992,jamaica,32951.0172761377
1993,jamaica,32951.0172761377
1994,jamaica,32951.0172761377
1995,jamaica,32951.0172761377
1996,jamaica,32951.0172761377
1997,jamaica,32951.0172761377
1998,jamaica,32951.0172761377
1999,jamaica,32951.0172761377
2000,jamaica,32951.0172761377
2001,jamaica,32951.0172761377
2002,jamaica,32951.0172761377
2003,jamaica,32951.0172761377
2004,jamaica,32951.0172761377
2005,jamaica,32951.0172761377
2006,jamaica,32951.0172761377
2007,jamaica,32951.0172761377
2008,jamaica,32951.0172761377
2009,jamaica,32951.0172761377
2010,jamaica,32951.0172761377
2011,jamaica,32951.0172761377
2012,jamaica,32951.0172761377
2013,jamaica,32951.0172761377
2014,jamaica,32951.0172761377
2015,jamaica,32951.0172761377
2016,jamaica,32951.0172761377
2017,jamaica,32951.0172761377
2018,jamaica,32951.0172761377
2019,jamaica,32951.0172761377
1990,mexico,119989.103155348
1991,mexico,119989.103155348
1992,mexico,119989.103155348
1993,mexico,119989.103155348
1994,mexico,119989.103155348
1995,mexico,119989.103155348
1996,mexico,119989.103155348
1997,mexico,119989.103155348
1998,mexico,119989.103155348
1999,mexico,119989.103155348
2000,mexico,119989.103155348
2001,mexico,119989.103155348
2002,mexico,119989.103155348
2003,mexico,119989.103155348
2004,mexico,119989.103155348
2005,mexico,119989.103155348
2006,mexico,119989.103155348
2007,mexico,119989.103155348
2008,mexico,119989.103155348
2009,mexico,119989.103155348
2010,mexico,119989.103155348
2011,mexico,119989.103155348
2012,mexico,119989.103155348
2013,mexico,119989.103155348
2014,mexico,119989.103155348
2015,mexico,119989.103155348
2016,mexico,119989.103155348
2017,mexico,119989.103155348
2018,mexico,119989.103155348
2019,mexico,119989.103155348
1990,nicaragua,364.189145913228
1991,nicaragua,364.189145913228
1992,nicaragua,364.189145913228
1993,nicaragua,364.189145913228
1994,nicaragua,364.189145913228
1995,nicaragua,364.189145913228
1996,nicaragua,364.189145913228
1997,nicaragua,364.189145913228
1998,nicaragua,364.189145913228
1999,nicaragua,364.189145913228
2000,nicaragua,364.189145913228
2001,nicaragua,364.189145913228
2002,nicaragua,364.189145913228
2003,nicaragua,364.189145913228
2004,nicaragua,364.189145913228
2005,nicaragua,364.189145913228
2006,nicaragua,364.189145913228
2007,nicaragua,364.189145913228
2008,nicaragua,364.189145913228
2009,nicaragua,364.189145913228
2010,nicaragua,364.189145913228
2011,nicaragua,364.189145913228
2012,nicaragua,364.189145913228
2013,nicaragua,364.189145913228
2014,nicaragua,364.189145913228
2015,nicaragua,364.189145913228
2016,nicaragua,364.189145913228
2017,nicaragua,364.189145913228
2018,nicaragua,364.189145913228
2019,nicaragua,364.189145913228
1990,panama,1980.53139050036
1991,panama,1980.53139050036
1992,panama,1980.53139050036
1993,panama,1980.53139050036
1994,panama,1980.53139050036
1995,panama,1980.53139050036
1996,panama,1980.53139050036
1997,panama,1980.53139050036
1998,panama,1980.53139050036
1999,panama,1980.53139050036
2000,panama,1980.53139050036
2001,panama,1980.53139050036
2002,panama,1980.53139050036
2003,panama,1980.53139050036
2004,panama,1980.53139050036
2005,panama,1980.53139050036
2006,panama,1980.53139050036
2007,panama,1980.53139050036
2008,panama,1980.53139050036
2009,panama,1980.53139050036
2010,panama,1980.53139050036
2011,panama,1980.53139050036
2012,panama,1980.53139050036
2013,panama,1980.53139050036
2014,panama,1980.53139050036
2015,panama,1980.53139050036
2016,panama,1980.53139050036
2017,panama,1980.53139050036
2018,panama,1980.53139050036
2019,panama,1980.53139050036
1990,paraguay,5192.72293787777
1991,paraguay,5192.72293787777
1992,paraguay,5192.72293787777
1993,paraguay,5192.72293787777
1994,paraguay,5192.72293787777
1995,paraguay,5192.72293787777
1996,paraguay,5192.72293787777
1997,paraguay,5192.72293787777
1998,paraguay,5192.72293787777
1999,paraguay,5192.72293787777
2000,paraguay,5192.72293787777
2001,paraguay,5192.72293787777
2002,paraguay,5192.72293787777
2003,paraguay,5192.72293787777
2004,paraguay,5192.72293787777
2005,paraguay,5192.72293787777
2006,paraguay,5192.72293787777
2007,paraguay,5192.72293787777
2008,paraguay,5192.72293787777
2009,paraguay,5192.72293787777
2010,paraguay,5192.72293787777
2011,paraguay,5192.72293787777
2012,paraguay,5192.72293787777
2013,paraguay,5192.72293787777
2014,paraguay,5192.72293787777
2015,paraguay,5192.72293787777
2016,paraguay,5192.72293787777
2017,paraguay,5192.72293787777
2018,paraguay,5192.72293787777
2019,paraguay,5192.72293787777
1990,peru,23792.5710322064
1991,peru,23792.5710322064
1992,peru,23792.5710322064
1993,peru,23792.5710322064
1994,peru,23792.5710322064
1995,peru,23792.5710322064
1996,peru,23792.5710322064
1997,peru,23792.5710322064
1998,peru,23792.5710322064
1999,peru,23792.5710322064
2000,peru,23792.5710322064
2001,peru,23792.5710322064
2002,peru,23792.5710322064
2003,peru,23792.5710322064
2004,peru,23792.5710322064
2005,peru,23792.5710322064
2006,peru,23792.5710322064
2007,peru,23792.5710322064
2008,peru,23792.5710322064
2009,peru,23792.5710322064
2010,peru,23792.5710322064
2011,peru,23792.5710322064
2012,peru,23792.5710322064
2013,peru,23792.5710322064
2014,peru,23792.5710322064
2015,peru,23792.5710322064
2016,peru,23792.5710322064
2017,peru,23792.5710322064
2018,peru,23792.5710322064
2019,peru,23792.5710322064
1990,suriname,32951.0172761377
1991,suriname,32951.0172761377
1992,suriname,32951.0172761377
1993,suriname,32951.0172761377
1994,suriname,32951.0172761377
1995,suriname,32951.0172761377
1996,suriname,32951.0172761377
1997,suriname,32951.0172761377
1998,suriname,32951.0172761377
1999,suriname,32951.0172761377
2000,suriname,32951.0172761377
2001,suriname,32951.0172761377
2002,suriname,32951.0172761377
2003,suriname,32951.0172761377
2004,suriname,32951.0172761377
2005,suriname,32951.0172761377
2006,suriname,32951.0172761377
2007,suriname,32951.0172761377
2008,suriname,32951.0172761377
2009,suriname,32951.0172761377
2010,suriname,32951.0172761377
2011,suriname,32951.0172761377
2012,suriname,32951.0172761377
2013,suriname,32951.0172761377
2014,suriname,32951.0172761377
2015,suriname,32951.0172761377
2016,suriname,32951.0172761377
2017,suriname,32951.0172761377
2018,suriname,32951.0172761377
2019,suriname,32951.0172761377
1990,trinidad_and_tobago,32951.0172761377
1991,trinidad_and_tobago,32951.0172761377
1992,trinidad_and_tobago,32951.0172761377
1993,trinidad_and_tobago,32951.0172761377
1994,trinidad_and_tobago,32951.0172761377
1995,trinidad_and_tobago,32951.0172761377
1996,trinidad_and_tobago,32951.0172761377
1997,trinidad_and_tobago,32951.0172761377
1998,trinidad_and_tobago,32951.0172761377
1999,trinidad_and_tobago,32951.0172761377
2000,trinidad_and_tobago,32951.0172761377
2001,trinidad_and_tobago,32951.0172761377
2002,trinidad_and_tobago,32951.0172761377
2003,trinidad_and_tobago,32951.0172761377
2004,trinidad_and_tobago,32951.0172761377
2005,trinidad_and_tobago,32951.0172761377
2006,trinidad_and_tobago,32951.0172761377
2007,trinidad_and_tobago,32951.0172761377
2008,trinidad_and_tobago,32951.0172761377
2009,trinidad_and_tobago,32951.0172761377
2010,trinidad_and_tobago,32951.0172761377
2011,trinidad_and_tobago,32951.0172761377
2012,trinidad_and_tobago,32951.0172761377
2013,trinidad_and_tobago,32951.0172761377
2014,trinidad_and_tobago,32951.0172761377
2015,trinidad_and_tobago,32951.0172761377
2016,trinidad_and_tobago,32951.0172761377
2017,trinidad_and_tobago,32951.0172761377
2018,trinidad_and_tobago,32951.0172761377
2019,trinidad_and_tobago,32951.0172761377
1990,uruguay,9568.68313430227
1991,uruguay,9568.68313430227
1992,uruguay,9568.68313430227
1993,uruguay,9568.68313430227
1994,uruguay,9568.68313430227
1995,uruguay,9568.68313430227
1996,uruguay,9568.68313430227
1997,uruguay,9568.68313430227
1998,uruguay,9568.68313430227
1999,uruguay,9568.68313430227
2000,uruguay,9568.68313430227
2001,uruguay,9568.68313430227
2002,uruguay,9568.68313430227
2003,uruguay,9568.68313430227
2004,uruguay,9568.68313430227
2005,uruguay,9568.68313430227
2006,uruguay,9568.68313430227
2007,uruguay,9568.68313430227
2008,uruguay,9568.68313430227
2009,uruguay,9568.68313430227
2010,uruguay,9568.68313430227
2011,uruguay,9568.68313430227
2012,uruguay,9568.68313430227
2013,uruguay,9568.68313430227
2014,uruguay,9568.68313430227
2015,uruguay,9568.68313430227
2016,uruguay,9568.68313430227
2017,uruguay,9568.68313430227
2018,uruguay,9568.68313430227
2019,uruguay,9568.68313430227
1990,venezuela,14623.60426491
1991,venezuela,14623.60426491
1992,venezuela,14623.60426491
1993,venezuela,14623.60426491
1994,venezuela,14623.60426491
1995,venezuela,14623.60426491
1996,venezuela,14623.60426491
1997,venezuela,14623.60426491
1998,venezuela,14623.60426491
1999,venezuela,14623.60426491
2000,venezuela,14623.60426491
2001,venezuela,14623.60426491
2002,venezuela,14623.60426491
2003,venezuela,14623.60426491
2004,venezuela,14623.60426491
2005,venezuela,14623.60426491
2006,venezuela,14623.60426491
2007,venezuela,14623.60426491
2008,venezuela,14623.60426491
2009,venezuela,14623.60426491
2010,venezuela,14623.60426491
2011,venezuela,14623.60426491
2012,venezuela,14623.60426491
2013,venezuela,14623.60426491
2014,venezuela,14623.60426491
2015,venezuela,14623.60426491
2016,venezuela,14623.60426491
2017,venezuela,14623.60426491
2018,venezuela,14623.60426491
2019,venezuela,14623.60426491
