Year,Nation,ef_frst_forestmethane_mangroves_gg_ch4_ha,Unit,Item
2018,Guyana,0.1307,kilotonnes,Humid tropical forest
2019,Guyana,0.724,kilotonnes,Humid tropical forest
2011,Haiti,0,kilotonnes,Humid tropical forest
2012,Haiti,0,kilotonnes,Humid tropical forest
2013,Haiti,0,kilotonnes,Humid tropical forest
2014,Haiti,0,kilotonnes,Humid tropical forest
2015,Haiti,0,kilotonnes,Humid tropical forest
2016,Haiti,0,kilotonnes,Humid tropical forest
2017,Haiti,0,kilotonnes,Humid tropical forest
2018,Haiti,0,kilotonnes,Humid tropical forest
2019,Haiti,0,kilotonnes,Humid tropical forest
2011,Honduras,7.5567,kilotonnes,Humid tropical forest
2012,Honduras,0.6685,kilotonnes,Humid tropical forest
2013,Honduras,4.9596,kilotonnes,Humid tropical forest
2014,Honduras,6.3734,kilotonnes,Humid tropical forest
2015,Honduras,3.2948,kilotonnes,Humid tropical forest
2016,Honduras,5.4537,kilotonnes,Humid tropical forest
2017,Honduras,1.4761,kilotonnes,Humid tropical forest
2018,Honduras,3.4233,kilotonnes,Humid tropical forest
2019,Honduras,3.5334,kilotonnes,Humid tropical forest
2011,Jamaica,0,kilotonnes,Humid tropical forest
2012,Jamaica,0,kilotonnes,Humid tropical forest
2013,Jamaica,0,kilotonnes,Humid tropical forest
2014,Jamaica,0,kilotonnes,Humid tropical forest
2015,Jamaica,0.0457,kilotonnes,Humid tropical forest
2016,Jamaica,0,kilotonnes,Humid tropical forest
2017,Jamaica,0,kilotonnes,Humid tropical forest
2018,Jamaica,0,kilotonnes,Humid tropical forest
2019,Jamaica,0,kilotonnes,Humid tropical forest
2011,Mexico,17.9102,kilotonnes,Humid tropical forest
2012,Mexico,2.2638,kilotonnes,Humid tropical forest
2013,Mexico,13.6027,kilotonnes,Humid tropical forest
2014,Mexico,1.8134,kilotonnes,Humid tropical forest
2015,Mexico,12.5955,kilotonnes,Humid tropical forest
2016,Mexico,7.9116,kilotonnes,Humid tropical forest
2017,Mexico,6.9726,kilotonnes,Humid tropical forest
2018,Mexico,2.0149,kilotonnes,Humid tropical forest
2019,Mexico,10.6073,kilotonnes,Humid tropical forest
2011,Nicaragua,0.7307,kilotonnes,Humid tropical forest
2012,Nicaragua,0.3778,kilotonnes,Humid tropical forest
2013,Nicaragua,1.5194,kilotonnes,Humid tropical forest
2014,Nicaragua,2.0466,kilotonnes,Humid tropical forest
2015,Nicaragua,0.9589,kilotonnes,Humid tropical forest
2016,Nicaragua,2.2126,kilotonnes,Humid tropical forest
2017,Nicaragua,0.3695,kilotonnes,Humid tropical forest
2018,Nicaragua,1.5609,kilotonnes,Humid tropical forest
2019,Nicaragua,1.8681,kilotonnes,Humid tropical forest
2011,Panama,0.0062,kilotonnes,Humid tropical forest
2012,Panama,0.0726,kilotonnes,Humid tropical forest
2013,Panama,0.0498,kilotonnes,Humid tropical forest
2014,Panama,0.027,kilotonnes,Humid tropical forest
2015,Panama,0.2531,kilotonnes,Humid tropical forest
2016,Panama,0.4108,kilotonnes,Humid tropical forest
2017,Panama,0.0124,kilotonnes,Humid tropical forest
2018,Panama,0.0249,kilotonnes,Humid tropical forest
2019,Panama,0.4357,kilotonnes,Humid tropical forest
2011,Paraguay,2.7897,kilotonnes,Humid tropical forest
2012,Paraguay,2.4989,kilotonnes,Humid tropical forest
2013,Paraguay,3.8476,kilotonnes,Humid tropical forest
2014,Paraguay,1.1665,kilotonnes,Humid tropical forest
2015,Paraguay,0.6008,kilotonnes,Humid tropical forest
2016,Paraguay,1.1871,kilotonnes,Humid tropical forest
2017,Paraguay,4.1739,kilotonnes,Humid tropical forest
2018,Paraguay,1.1538,kilotonnes,Humid tropical forest
2019,Paraguay,7.2246,kilotonnes,Humid tropical forest
2011,Peru,0.6494,kilotonnes,Humid tropical forest
2012,Peru,2.382,kilotonnes,Humid tropical forest
2013,Peru,1.4566,kilotonnes,Humid tropical forest
2014,Peru,1.2387,kilotonnes,Humid tropical forest
2015,Peru,1.8425,kilotonnes,Humid tropical forest
2016,Peru,1.301,kilotonnes,Humid tropical forest
2017,Peru,0.6287,kilotonnes,Humid tropical forest
2018,Peru,1.6682,kilotonnes,Humid tropical forest
2019,Peru,2.0854,kilotonnes,Humid tropical forest
2011,Suriname,0.0249,kilotonnes,Humid tropical forest
2012,Suriname,0.083,kilotonnes,Humid tropical forest
2013,Suriname,0.0581,kilotonnes,Humid tropical forest
2014,Suriname,0.0664,kilotonnes,Humid tropical forest
2015,Suriname,0.1908,kilotonnes,Humid tropical forest
2016,Suriname,0.0664,kilotonnes,Humid tropical forest
2017,Suriname,0.0581,kilotonnes,Humid tropical forest
2018,Suriname,0.0249,kilotonnes,Humid tropical forest
2019,Suriname,0.2655,kilotonnes,Humid tropical forest
2011,Trinidad and Tobago,0,kilotonnes,Humid tropical forest
2012,Trinidad and Tobago,0,kilotonnes,Humid tropical forest
2013,Trinidad and Tobago,0,kilotonnes,Humid tropical forest
2014,Trinidad and Tobago,0.0021,kilotonnes,Humid tropical forest
2015,Trinidad and Tobago,0.0042,kilotonnes,Humid tropical forest
2016,Trinidad and Tobago,0.0519,kilotonnes,Humid tropical forest
2017,Trinidad and Tobago,0.0374,kilotonnes,Humid tropical forest
2018,Trinidad and Tobago,0.0062,kilotonnes,Humid tropical forest
2019,Trinidad and Tobago,0.0291,kilotonnes,Humid tropical forest
2011,Uruguay,0,kilotonnes,Humid tropical forest
2012,Uruguay,0,kilotonnes,Humid tropical forest
2013,Uruguay,0,kilotonnes,Humid tropical forest
2014,Uruguay,0,kilotonnes,Humid tropical forest
2015,Uruguay,0,kilotonnes,Humid tropical forest
2016,Uruguay,0,kilotonnes,Humid tropical forest
2017,Uruguay,0,kilotonnes,Humid tropical forest
2018,Uruguay,0,kilotonnes,Humid tropical forest
2019,Uruguay,0,kilotonnes,Humid tropical forest
2011,Venezuela (Bolivarian Republic of),0.529,kilotonnes,Humid tropical forest
2012,Venezuela (Bolivarian Republic of),0.5062,kilotonnes,Humid tropical forest
2013,Venezuela (Bolivarian Republic of),3.6183,kilotonnes,Humid tropical forest
2014,Venezuela (Bolivarian Republic of),1.9938,kilotonnes,Humid tropical forest
2015,Venezuela (Bolivarian Republic of),3.1121,kilotonnes,Humid tropical forest
2016,Venezuela (Bolivarian Republic of),8.544,kilotonnes,Humid tropical forest
2017,Venezuela (Bolivarian Republic of),1.0623,kilotonnes,Humid tropical forest
2018,Venezuela (Bolivarian Republic of),2.417,kilotonnes,Humid tropical forest
2019,Venezuela (Bolivarian Republic of),10.4836,kilotonnes,Humid tropical forest
