Area.Code..FAO.,Nation,Item,Year,Value,Unit,Element,EmissionFactorTONco2e,ef_agactivity_oil_bearing_gg_ch4_ha
9,Argentina,"Oil, olive, virgin",1986,11591,tonnes,Production,0.56,6490.96
9,Argentina,"Oil, olive, virgin",1987,9000,tonnes,Production,0.56,5040
9,Argentina,"Oil, olive, virgin",1988,13900,tonnes,Production,0.56,7784
9,Argentina,"Oil, olive, virgin",1989,9000,tonnes,Production,0.56,5040
9,Argentina,"Oil, olive, virgin",1990,8000,tonnes,Production,0.56,4480
9,Argentina,"Oil, olive, virgin",1991,21309,tonnes,Production,0.56,11933.04
9,Argentina,"Oil, olive, virgin",1992,9500,tonnes,Production,0.56,5320
9,Argentina,"Oil, olive, virgin",1993,8000,tonnes,Production,0.56,4480
9,Argentina,"Oil, olive, virgin",1994,9500,tonnes,Production,0.56,5320
9,Argentina,"Oil, olive, virgin",1995,7500,tonnes,Production,0.56,4200
9,Argentina,"Oil, olive, virgin",1996,4000,tonnes,Production,0.56,2240
9,Argentina,"Oil, olive, virgin",1997,11500,tonnes,Production,0.56,6440
9,Argentina,"Oil, olive, virgin",1998,8500,tonnes,Production,0.56,4760
9,Argentina,"Oil, olive, virgin",1999,8000,tonnes,Production,0.56,4480
9,Argentina,"Oil, olive, virgin",2000,10500,tonnes,Production,0.56,5880
9,Argentina,"Oil, olive, virgin",2001,3000,tonnes,Production,0.56,1680
9,Argentina,"Oil, olive, virgin",2002,10000,tonnes,Production,0.56,5600
9,Argentina,"Oil, olive, virgin",2003,11000,tonnes,Production,0.56,6160
9,Argentina,"Oil, olive, virgin",2004,19400,tonnes,Production,0.56,10864
9,Argentina,"Oil, olive, virgin",2005,20000,tonnes,Production,0.56,11200
9,Argentina,"Oil, olive, virgin",2006,20900,tonnes,Production,0.56,11704
9,Argentina,"Oil, olive, virgin",2007,20000,tonnes,Production,0.56,11200
9,Argentina,"Oil, olive, virgin",2008,25700,tonnes,Production,0.56,14392
9,Argentina,"Oil, olive, virgin",2009,21000,tonnes,Production,0.56,11760
9,Argentina,"Oil, olive, virgin",2010,18000,tonnes,Production,0.56,10080
9,Argentina,"Oil, olive, virgin",2011,21600,tonnes,Production,0.56,12096
9,Argentina,"Oil, olive, virgin",2012,29400,tonnes,Production,0.56,16464
9,Argentina,"Oil, olive, virgin",2013,21300,tonnes,Production,0.56,11928
9,Argentina,"Oil, olive, virgin",2014,28100,tonnes,Production,0.56,15736
9,Argentina,"Oil, olive, virgin",2015,30000,tonnes,Production,0.56,16800
9,Argentina,"Oil, olive, virgin",2016,24000,tonnes,Production,0.56,13440
9,Argentina,"Oil, olive, virgin",2017,45000,tonnes,Production,0.56,25200
9,Argentina,"Oil, olive, virgin",2018,27500,tonnes,Production,0.56,15400
21,Brazil,"Oil, olive, virgin",2017,24087,tonnes,Production,0.56,13488.72
21,Brazil,"Oil, olive, virgin",2018,7062,tonnes,Production,0.56,3954.72
40,Chile,"Oil, olive, virgin",1961,2400,tonnes,Production,0.56,1344
40,Chile,"Oil, olive, virgin",1962,2400,tonnes,Production,0.56,1344
40,Chile,"Oil, olive, virgin",1963,2400,tonnes,Production,0.56,1344
40,Chile,"Oil, olive, virgin",1964,2400,tonnes,Production,0.56,1344
40,Chile,"Oil, olive, virgin",1965,2400,tonnes,Production,0.56,1344
40,Chile,"Oil, olive, virgin",1966,2400,tonnes,Production,0.56,1344
40,Chile,"Oil, olive, virgin",1967,2400,tonnes,Production,0.56,1344
40,Chile,"Oil, olive, virgin",1968,2400,tonnes,Production,0.56,1344
40,Chile,"Oil, olive, virgin",1969,1800,tonnes,Production,0.56,1008
40,Chile,"Oil, olive, virgin",1970,1320,tonnes,Production,0.56,739.2
40,Chile,"Oil, olive, virgin",1971,1320,tonnes,Production,0.56,739.2
40,Chile,"Oil, olive, virgin",1972,1320,tonnes,Production,0.56,739.2
40,Chile,"Oil, olive, virgin",1973,960,tonnes,Production,0.56,537.6
40,Chile,"Oil, olive, virgin",1974,1122,tonnes,Production,0.56,628.32
40,Chile,"Oil, olive, virgin",1975,1370,tonnes,Production,0.56,767.2
40,Chile,"Oil, olive, virgin",1976,889,tonnes,Production,0.56,497.84
40,Chile,"Oil, olive, virgin",1977,1236,tonnes,Production,0.56,692.16
40,Chile,"Oil, olive, virgin",1978,864,tonnes,Production,0.56,483.84
40,Chile,"Oil, olive, virgin",1979,1347,tonnes,Production,0.56,754.32
40,Chile,"Oil, olive, virgin",1980,1224,tonnes,Production,0.56,685.44
40,Chile,"Oil, olive, virgin",1981,1023,tonnes,Production,0.56,572.88
40,Chile,"Oil, olive, virgin",1982,1100,tonnes,Production,0.56,616
40,Chile,"Oil, olive, virgin",1983,858,tonnes,Production,0.56,480.48
40,Chile,"Oil, olive, virgin",1984,720,tonnes,Production,0.56,403.2
40,Chile,"Oil, olive, virgin",1985,773,tonnes,Production,0.56,432.88
40,Chile,"Oil, olive, virgin",1986,708,tonnes,Production,0.56,396.48
40,Chile,"Oil, olive, virgin",1987,1008,tonnes,Production,0.56,564.48
40,Chile,"Oil, olive, virgin",1988,624,tonnes,Production,0.56,349.44
40,Chile,"Oil, olive, virgin",1989,1344,tonnes,Production,0.56,752.64
40,Chile,"Oil, olive, virgin",1990,780,tonnes,Production,0.56,436.8
40,Chile,"Oil, olive, virgin",1991,1200,tonnes,Production,0.56,672
40,Chile,"Oil, olive, virgin",1992,840,tonnes,Production,0.56,470.4
40,Chile,"Oil, olive, virgin",1993,1320,tonnes,Production,0.56,739.2
40,Chile,"Oil, olive, virgin",1994,840,tonnes,Production,0.56,470.4
40,Chile,"Oil, olive, virgin",1995,1080,tonnes,Production,0.56,604.8
40,Chile,"Oil, olive, virgin",1996,960,tonnes,Production,0.56,537.6
40,Chile,"Oil, olive, virgin",1997,1440,tonnes,Production,0.56,806.4
40,Chile,"Oil, olive, virgin",1998,840,tonnes,Production,0.56,470.4
40,Chile,"Oil, olive, virgin",1999,900,tonnes,Production,0.56,504
40,Chile,"Oil, olive, virgin",2000,863,tonnes,Production,0.56,483.28
40,Chile,"Oil, olive, virgin",2001,1088,tonnes,Production,0.56,609.28
40,Chile,"Oil, olive, virgin",2002,1350,tonnes,Production,0.56,756
40,Chile,"Oil, olive, virgin",2003,1650,tonnes,Production,0.56,924
40,Chile,"Oil, olive, virgin",2004,1950,tonnes,Production,0.56,1092
40,Chile,"Oil, olive, virgin",2005,1950,tonnes,Production,0.56,1092
40,Chile,"Oil, olive, virgin",2006,2250,tonnes,Production,0.56,1260
40,Chile,"Oil, olive, virgin",2007,2700,tonnes,Production,0.56,1512
40,Chile,"Oil, olive, virgin",2008,2903,tonnes,Production,0.56,1625.68
40,Chile,"Oil, olive, virgin",2009,4050,tonnes,Production,0.56,2268
40,Chile,"Oil, olive, virgin",2010,4350,tonnes,Production,0.56,2436
40,Chile,"Oil, olive, virgin",2011,6930,tonnes,Production,0.56,3880.8
40,Chile,"Oil, olive, virgin",2012,9600,tonnes,Production,0.56,5376
40,Chile,"Oil, olive, virgin",2013,11760,tonnes,Production,0.56,6585.6
40,Chile,"Oil, olive, virgin",2014,15800,tonnes,Production,0.56,8848
40,Chile,"Oil, olive, virgin",2015,19500,tonnes,Production,0.56,10920
40,Chile,"Oil, olive, virgin",2016,17800,tonnes,Production,0.56,9968
40,Chile,"Oil, olive, virgin",2017,20600,tonnes,Production,0.56,11536
40,Chile,"Oil, olive, virgin",2018,21900,tonnes,Production,0.56,12264
60,El Salvador,"Oil, olive, virgin",1961,225,tonnes,Production,0.56,126
60,El Salvador,"Oil, olive, virgin",1962,225,tonnes,Production,0.56,126
60,El Salvador,"Oil, olive, virgin",1963,225,tonnes,Production,0.56,126
60,El Salvador,"Oil, olive, virgin",1964,225,tonnes,Production,0.56,126
60,El Salvador,"Oil, olive, virgin",1965,225,tonnes,Production,0.56,126
60,El Salvador,"Oil, olive, virgin",1966,225,tonnes,Production,0.56,126
60,El Salvador,"Oil, olive, virgin",1967,225,tonnes,Production,0.56,126
60,El Salvador,"Oil, olive, virgin",1968,225,tonnes,Production,0.56,126
60,El Salvador,"Oil, olive, virgin",1969,225,tonnes,Production,0.56,126
60,El Salvador,"Oil, olive, virgin",1970,225,tonnes,Production,0.56,126
60,El Salvador,"Oil, olive, virgin",1971,270,tonnes,Production,0.56,151.2
60,El Salvador,"Oil, olive, virgin",1972,300,tonnes,Production,0.56,168
60,El Salvador,"Oil, olive, virgin",1973,330,tonnes,Production,0.56,184.8
60,El Salvador,"Oil, olive, virgin",1974,360,tonnes,Production,0.56,201.6
60,El Salvador,"Oil, olive, virgin",1975,390,tonnes,Production,0.56,218.4
60,El Salvador,"Oil, olive, virgin",1976,420,tonnes,Production,0.56,235.2
60,El Salvador,"Oil, olive, virgin",1977,450,tonnes,Production,0.56,252
60,El Salvador,"Oil, olive, virgin",1978,450,tonnes,Production,0.56,252
60,El Salvador,"Oil, olive, virgin",1979,450,tonnes,Production,0.56,252
60,El Salvador,"Oil, olive, virgin",1980,450,tonnes,Production,0.56,252
60,El Salvador,"Oil, olive, virgin",1981,465,tonnes,Production,0.56,260.4
60,El Salvador,"Oil, olive, virgin",1982,473,tonnes,Production,0.56,264.88
60,El Salvador,"Oil, olive, virgin",1983,480,tonnes,Production,0.56,268.8
60,El Salvador,"Oil, olive, virgin",1984,495,tonnes,Production,0.56,277.2
60,El Salvador,"Oil, olive, virgin",1985,510,tonnes,Production,0.56,285.6
60,El Salvador,"Oil, olive, virgin",1986,510,tonnes,Production,0.56,285.6
60,El Salvador,"Oil, olive, virgin",1987,510,tonnes,Production,0.56,285.6
60,El Salvador,"Oil, olive, virgin",1988,510,tonnes,Production,0.56,285.6
60,El Salvador,"Oil, olive, virgin",1989,510,tonnes,Production,0.56,285.6
60,El Salvador,"Oil, olive, virgin",1990,471,tonnes,Production,0.56,263.76
60,El Salvador,"Oil, olive, virgin",1991,444,tonnes,Production,0.56,248.64
60,El Salvador,"Oil, olive, virgin",1992,525,tonnes,Production,0.56,294
60,El Salvador,"Oil, olive, virgin",1993,530,tonnes,Production,0.56,296.8
60,El Salvador,"Oil, olive, virgin",1994,500,tonnes,Production,0.56,280
60,El Salvador,"Oil, olive, virgin",1995,633,tonnes,Production,0.56,354.48
60,El Salvador,"Oil, olive, virgin",1996,582,tonnes,Production,0.56,325.92
60,El Salvador,"Oil, olive, virgin",1997,597,tonnes,Production,0.56,334.32
60,El Salvador,"Oil, olive, virgin",1998,748,tonnes,Production,0.56,418.88
60,El Salvador,"Oil, olive, virgin",1999,772,tonnes,Production,0.56,432.32
60,El Salvador,"Oil, olive, virgin",2000,787,tonnes,Production,0.56,440.72
60,El Salvador,"Oil, olive, virgin",2001,920,tonnes,Production,0.56,515.2
60,El Salvador,"Oil, olive, virgin",2002,987,tonnes,Production,0.56,552.72
60,El Salvador,"Oil, olive, virgin",2003,1156,tonnes,Production,0.56,647.36
60,El Salvador,"Oil, olive, virgin",2004,1126,tonnes,Production,0.56,630.56
60,El Salvador,"Oil, olive, virgin",2005,1229,tonnes,Production,0.56,688.24
60,El Salvador,"Oil, olive, virgin",2006,1248,tonnes,Production,0.56,698.88
60,El Salvador,"Oil, olive, virgin",2007,1431,tonnes,Production,0.56,801.36
60,El Salvador,"Oil, olive, virgin",2008,1450,tonnes,Production,0.56,812
60,El Salvador,"Oil, olive, virgin",2009,1452,tonnes,Production,0.56,813.12
60,El Salvador,"Oil, olive, virgin",2010,1350,tonnes,Production,0.56,756
60,El Salvador,"Oil, olive, virgin",2011,1421,tonnes,Production,0.56,795.76
60,El Salvador,"Oil, olive, virgin",2012,1425,tonnes,Production,0.56,798
60,El Salvador,"Oil, olive, virgin",2013,1425,tonnes,Production,0.56,798
60,El Salvador,"Oil, olive, virgin",2014,1523,tonnes,Production,0.56,852.88
60,El Salvador,"Oil, olive, virgin",2015,1610,tonnes,Production,0.56,901.6
60,El Salvador,"Oil, olive, virgin",2016,1604,tonnes,Production,0.56,898.24
60,El Salvador,"Oil, olive, virgin",2017,1662,tonnes,Production,0.56,930.72
60,El Salvador,"Oil, olive, virgin",2018,1625,tonnes,Production,0.56,910
138,Mexico,"Oil, olive, virgin",1961,390,tonnes,Production,0.56,218.4
138,Mexico,"Oil, olive, virgin",1962,500,tonnes,Production,0.56,280
138,Mexico,"Oil, olive, virgin",1963,500,tonnes,Production,0.56,280
138,Mexico,"Oil, olive, virgin",1964,500,tonnes,Production,0.56,280
138,Mexico,"Oil, olive, virgin",1965,500,tonnes,Production,0.56,280
138,Mexico,"Oil, olive, virgin",1966,1000,tonnes,Production,0.56,560
138,Mexico,"Oil, olive, virgin",1967,900,tonnes,Production,0.56,504
138,Mexico,"Oil, olive, virgin",1968,800,tonnes,Production,0.56,448
138,Mexico,"Oil, olive, virgin",1969,1000,tonnes,Production,0.56,560
138,Mexico,"Oil, olive, virgin",1970,1000,tonnes,Production,0.56,560
138,Mexico,"Oil, olive, virgin",1971,1000,tonnes,Production,0.56,560
138,Mexico,"Oil, olive, virgin",1972,1000,tonnes,Production,0.56,560
138,Mexico,"Oil, olive, virgin",1973,1100,tonnes,Production,0.56,616
138,Mexico,"Oil, olive, virgin",1974,1200,tonnes,Production,0.56,672
138,Mexico,"Oil, olive, virgin",1975,1100,tonnes,Production,0.56,616
138,Mexico,"Oil, olive, virgin",1976,1200,tonnes,Production,0.56,672
138,Mexico,"Oil, olive, virgin",1977,1200,tonnes,Production,0.56,672
138,Mexico,"Oil, olive, virgin",1978,1300,tonnes,Production,0.56,728
138,Mexico,"Oil, olive, virgin",1979,1100,tonnes,Production,0.56,616
138,Mexico,"Oil, olive, virgin",1980,1200,tonnes,Production,0.56,672
138,Mexico,"Oil, olive, virgin",1981,1000,tonnes,Production,0.56,560
138,Mexico,"Oil, olive, virgin",1982,1000,tonnes,Production,0.56,560
138,Mexico,"Oil, olive, virgin",1983,1000,tonnes,Production,0.56,560
138,Mexico,"Oil, olive, virgin",1984,1000,tonnes,Production,0.56,560
138,Mexico,"Oil, olive, virgin",1985,1000,tonnes,Production,0.56,560
138,Mexico,"Oil, olive, virgin",1986,1000,tonnes,Production,0.56,560
138,Mexico,"Oil, olive, virgin",1987,1000,tonnes,Production,0.56,560
138,Mexico,"Oil, olive, virgin",1988,1000,tonnes,Production,0.56,560
138,Mexico,"Oil, olive, virgin",1989,1000,tonnes,Production,0.56,560
138,Mexico,"Oil, olive, virgin",1990,1000,tonnes,Production,0.56,560
138,Mexico,"Oil, olive, virgin",1991,200,tonnes,Production,0.56,112
138,Mexico,"Oil, olive, virgin",1992,200,tonnes,Production,0.56,112
138,Mexico,"Oil, olive, virgin",1993,200,tonnes,Production,0.56,112
138,Mexico,"Oil, olive, virgin",1994,200,tonnes,Production,0.56,112
138,Mexico,"Oil, olive, virgin",1995,400,tonnes,Production,0.56,224
138,Mexico,"Oil, olive, virgin",1996,400,tonnes,Production,0.56,224
138,Mexico,"Oil, olive, virgin",1997,400,tonnes,Production,0.56,224
138,Mexico,"Oil, olive, virgin",1998,400,tonnes,Production,0.56,224
138,Mexico,"Oil, olive, virgin",1999,200,tonnes,Production,0.56,112
138,Mexico,"Oil, olive, virgin",2000,200,tonnes,Production,0.56,112
138,Mexico,"Oil, olive, virgin",2001,200,tonnes,Production,0.56,112
138,Mexico,"Oil, olive, virgin",2002,200,tonnes,Production,0.56,112
138,Mexico,"Oil, olive, virgin",2003,200,tonnes,Production,0.56,112
138,Mexico,"Oil, olive, virgin",2004,200,tonnes,Production,0.56,112
138,Mexico,"Oil, olive, virgin",2005,200,tonnes,Production,0.56,112
138,Mexico,"Oil, olive, virgin",2006,200,tonnes,Production,0.56,112
138,Mexico,"Oil, olive, virgin",2007,200,tonnes,Production,0.56,112
138,Mexico,"Oil, olive, virgin",2008,200,tonnes,Production,0.56,112
138,Mexico,"Oil, olive, virgin",2009,200,tonnes,Production,0.56,112
138,Mexico,"Oil, olive, virgin",2010,240,tonnes,Production,0.56,134.4
138,Mexico,"Oil, olive, virgin",2011,200,tonnes,Production,0.56,112
138,Mexico,"Oil, olive, virgin",2012,220,tonnes,Production,0.56,123.2
138,Mexico,"Oil, olive, virgin",2013,240,tonnes,Production,0.56,134.4
138,Mexico,"Oil, olive, virgin",2014,250,tonnes,Production,0.56,140
138,Mexico,"Oil, olive, virgin",2015,110,tonnes,Production,0.56,61.6
138,Mexico,"Oil, olive, virgin",2016,118,tonnes,Production,0.56,66.08
138,Mexico,"Oil, olive, virgin",2017,91,tonnes,Production,0.56,50.96
138,Mexico,"Oil, olive, virgin",2018,138,tonnes,Production,0.56,77.28
170,Peru,"Oil, olive, virgin",1961,NA,tonnes,Production,0.56,NA
170,Peru,"Oil, olive, virgin",1962,NA,tonnes,Production,0.56,NA
170,Peru,"Oil, olive, virgin",1963,NA,tonnes,Production,0.56,NA
170,Peru,"Oil, olive, virgin",1964,NA,tonnes,Production,0.56,NA
170,Peru,"Oil, olive, virgin",1965,NA,tonnes,Production,0.56,NA
170,Peru,"Oil, olive, virgin",1966,NA,tonnes,Production,0.56,NA
170,Peru,"Oil, olive, virgin",1967,NA,tonnes,Production,0.56,NA
170,Peru,"Oil, olive, virgin",1968,NA,tonnes,Production,0.56,NA
170,Peru,"Oil, olive, virgin",1969,NA,tonnes,Production,0.56,NA
170,Peru,"Oil, olive, virgin",1970,NA,tonnes,Production,0.56,NA
170,Peru,"Oil, olive, virgin",1971,NA,tonnes,Production,0.56,NA
170,Peru,"Oil, olive, virgin",1972,NA,tonnes,Production,0.56,NA
170,Peru,"Oil, olive, virgin",1973,NA,tonnes,Production,0.56,NA
170,Peru,"Oil, olive, virgin",1974,NA,tonnes,Production,0.56,NA
170,Peru,"Oil, olive, virgin",1975,NA,tonnes,Production,0.56,NA
170,Peru,"Oil, olive, virgin",1976,NA,tonnes,Production,0.56,NA
170,Peru,"Oil, olive, virgin",1977,NA,tonnes,Production,0.56,NA
170,Peru,"Oil, olive, virgin",1978,NA,tonnes,Production,0.56,NA
170,Peru,"Oil, olive, virgin",1979,NA,tonnes,Production,0.56,NA
170,Peru,"Oil, olive, virgin",1980,NA,tonnes,Production,0.56,NA
170,Peru,"Oil, olive, virgin",1981,NA,tonnes,Production,0.56,NA
170,Peru,"Oil, olive, virgin",1982,NA,tonnes,Production,0.56,NA
170,Peru,"Oil, olive, virgin",1983,NA,tonnes,Production,0.56,NA
170,Peru,"Oil, olive, virgin",1984,NA,tonnes,Production,0.56,NA
170,Peru,"Oil, olive, virgin",1985,NA,tonnes,Production,0.56,NA
170,Peru,"Oil, olive, virgin",1986,NA,tonnes,Production,0.56,NA
170,Peru,"Oil, olive, virgin",1987,NA,tonnes,Production,0.56,NA
170,Peru,"Oil, olive, virgin",1988,NA,tonnes,Production,0.56,NA
170,Peru,"Oil, olive, virgin",1989,NA,tonnes,Production,0.56,NA
170,Peru,"Oil, olive, virgin",1990,NA,tonnes,Production,0.56,NA
170,Peru,"Oil, olive, virgin",1991,NA,tonnes,Production,0.56,NA
170,Peru,"Oil, olive, virgin",1992,NA,tonnes,Production,0.56,NA
170,Peru,"Oil, olive, virgin",1993,NA,tonnes,Production,0.56,NA
170,Peru,"Oil, olive, virgin",1994,NA,tonnes,Production,0.56,NA
170,Peru,"Oil, olive, virgin",1995,NA,tonnes,Production,0.56,NA
170,Peru,"Oil, olive, virgin",1996,NA,tonnes,Production,0.56,NA
170,Peru,"Oil, olive, virgin",1997,NA,tonnes,Production,0.56,NA
170,Peru,"Oil, olive, virgin",1998,NA,tonnes,Production,0.56,NA
170,Peru,"Oil, olive, virgin",1999,NA,tonnes,Production,0.56,NA
170,Peru,"Oil, olive, virgin",2000,NA,tonnes,Production,0.56,NA
170,Peru,"Oil, olive, virgin",2001,NA,tonnes,Production,0.56,NA
170,Peru,"Oil, olive, virgin",2002,NA,tonnes,Production,0.56,NA
170,Peru,"Oil, olive, virgin",2003,214,tonnes,Production,0.56,119.84
170,Peru,"Oil, olive, virgin",2004,266,tonnes,Production,0.56,148.96
170,Peru,"Oil, olive, virgin",2005,389,tonnes,Production,0.56,217.84
170,Peru,"Oil, olive, virgin",2006,390,tonnes,Production,0.56,218.4
170,Peru,"Oil, olive, virgin",2007,350,tonnes,Production,0.56,196
170,Peru,"Oil, olive, virgin",2008,468,tonnes,Production,0.56,262.08
170,Peru,"Oil, olive, virgin",2009,213,tonnes,Production,0.56,119.28
170,Peru,"Oil, olive, virgin",2010,360,tonnes,Production,0.56,201.6
170,Peru,"Oil, olive, virgin",2011,271,tonnes,Production,0.56,151.76
170,Peru,"Oil, olive, virgin",2012,357,tonnes,Production,0.56,199.92
170,Peru,"Oil, olive, virgin",2013,434,tonnes,Production,0.56,243.04
170,Peru,"Oil, olive, virgin",2014,1976,tonnes,Production,0.56,1106.56
170,Peru,"Oil, olive, virgin",2015,676,tonnes,Production,0.56,378.56
170,Peru,"Oil, olive, virgin",2016,697,tonnes,Production,0.56,390.32
170,Peru,"Oil, olive, virgin",2017,1105,tonnes,Production,0.56,618.8
170,Peru,"Oil, olive, virgin",2018,1400,tonnes,Production,0.56,784
234,Uruguay,"Oil, olive, virgin",2014,500,tonnes,Production,0.56,280
234,Uruguay,"Oil, olive, virgin",2015,2324,tonnes,Production,0.56,1301.44
234,Uruguay,"Oil, olive, virgin",2016,600,tonnes,Production,0.56,336
234,Uruguay,"Oil, olive, virgin",2017,900,tonnes,Production,0.56,504
234,Uruguay,"Oil, olive, virgin",2018,300,tonnes,Production,0.56,168
