Area Code (FAO),Nation,Item,Year Code,Year,yf_agrc_bevs_and_spices_tonne_ha,Unit,Element
21,Brazil,"Cocoa, beans",2008,2008,3150,hg/ha,Yield
21,Brazil,"Cocoa, beans",2009,2009,3435,hg/ha,Yield
21,Brazil,"Cocoa, beans",2010,2010,3563,hg/ha,Yield
21,Brazil,"Cocoa, beans",2011,2011,3652,hg/ha,Yield
21,Brazil,"Cocoa, beans",2012,2012,3700,hg/ha,Yield
21,Brazil,"Cocoa, beans",2013,2013,3717,hg/ha,Yield
21,Brazil,"Cocoa, beans",2014,2014,3888,hg/ha,Yield
21,Brazil,"Cocoa, beans",2015,2015,3960,hg/ha,Yield
21,Brazil,"Cocoa, beans",2016,2016,2970,hg/ha,Yield
21,Brazil,"Cocoa, beans",2017,2017,3991,hg/ha,Yield
21,Brazil,"Cocoa, beans",2018,2018,4146,hg/ha,Yield
21,Brazil,"Cocoa, beans",2019,2019,4458,hg/ha,Yield
44,Colombia,"Cocoa, beans",1961,1961,4333,hg/ha,Yield
44,Colombia,"Cocoa, beans",1962,1962,4412,hg/ha,Yield
44,Colombia,"Cocoa, beans",1963,1963,4486,hg/ha,Yield
44,Colombia,"Cocoa, beans",1964,1964,4432,hg/ha,Yield
44,Colombia,"Cocoa, beans",1965,1965,4572,hg/ha,Yield
44,Colombia,"Cocoa, beans",1966,1966,4684,hg/ha,Yield
44,Colombia,"Cocoa, beans",1967,1967,4595,hg/ha,Yield
44,Colombia,"Cocoa, beans",1968,1968,4615,hg/ha,Yield
44,Colombia,"Cocoa, beans",1969,1969,4479,hg/ha,Yield
44,Colombia,"Cocoa, beans",1970,1970,4158,hg/ha,Yield
44,Colombia,"Cocoa, beans",1971,1971,4286,hg/ha,Yield
44,Colombia,"Cocoa, beans",1972,1972,4183,hg/ha,Yield
44,Colombia,"Cocoa, beans",1973,1973,4189,hg/ha,Yield
44,Colombia,"Cocoa, beans",1974,1974,4231,hg/ha,Yield
44,Colombia,"Cocoa, beans",1975,1975,4943,hg/ha,Yield
44,Colombia,"Cocoa, beans",1976,1976,5358,hg/ha,Yield
44,Colombia,"Cocoa, beans",1977,1977,4696,hg/ha,Yield
44,Colombia,"Cocoa, beans",1978,1978,5124,hg/ha,Yield
44,Colombia,"Cocoa, beans",1979,1979,5152,hg/ha,Yield
44,Colombia,"Cocoa, beans",1980,1980,5543,hg/ha,Yield
44,Colombia,"Cocoa, beans",1981,1981,5632,hg/ha,Yield
44,Colombia,"Cocoa, beans",1982,1982,5097,hg/ha,Yield
44,Colombia,"Cocoa, beans",1983,1983,4933,hg/ha,Yield
44,Colombia,"Cocoa, beans",1984,1984,4769,hg/ha,Yield
44,Colombia,"Cocoa, beans",1985,1985,4640,hg/ha,Yield
44,Colombia,"Cocoa, beans",1986,1986,4819,hg/ha,Yield
44,Colombia,"Cocoa, beans",1987,1987,5123,hg/ha,Yield
44,Colombia,"Cocoa, beans",1988,1988,4818,hg/ha,Yield
44,Colombia,"Cocoa, beans",1989,1989,4690,hg/ha,Yield
44,Colombia,"Cocoa, beans",1990,1990,4652,hg/ha,Yield
44,Colombia,"Cocoa, beans",1991,1991,4651,hg/ha,Yield
44,Colombia,"Cocoa, beans",1992,1992,4583,hg/ha,Yield
44,Colombia,"Cocoa, beans",1993,1993,4574,hg/ha,Yield
44,Colombia,"Cocoa, beans",1994,1994,4664,hg/ha,Yield
44,Colombia,"Cocoa, beans",1995,1995,4656,hg/ha,Yield
44,Colombia,"Cocoa, beans",1996,1996,4380,hg/ha,Yield
44,Colombia,"Cocoa, beans",1997,1997,4590,hg/ha,Yield
44,Colombia,"Cocoa, beans",1998,1998,5312,hg/ha,Yield
44,Colombia,"Cocoa, beans",1999,1999,5265,hg/ha,Yield
44,Colombia,"Cocoa, beans",2000,2000,4418,hg/ha,Yield
44,Colombia,"Cocoa, beans",2001,2001,4499,hg/ha,Yield
44,Colombia,"Cocoa, beans",2002,2002,4077,hg/ha,Yield
44,Colombia,"Cocoa, beans",2003,2003,4805,hg/ha,Yield
44,Colombia,"Cocoa, beans",2004,2004,5260,hg/ha,Yield
44,Colombia,"Cocoa, beans",2005,2005,4600,hg/ha,Yield
44,Colombia,"Cocoa, beans",2006,2006,4560,hg/ha,Yield
44,Colombia,"Cocoa, beans",2007,2007,4590,hg/ha,Yield
44,Colombia,"Cocoa, beans",2008,2008,4919,hg/ha,Yield
44,Colombia,"Cocoa, beans",2009,2009,4701,hg/ha,Yield
44,Colombia,"Cocoa, beans",2010,2010,4134,hg/ha,Yield
44,Colombia,"Cocoa, beans",2011,2011,3750,hg/ha,Yield
44,Colombia,"Cocoa, beans",2012,2012,2757,hg/ha,Yield
44,Colombia,"Cocoa, beans",2013,2013,3012,hg/ha,Yield
44,Colombia,"Cocoa, beans",2014,2014,3580,hg/ha,Yield
44,Colombia,"Cocoa, beans",2015,2015,4007,hg/ha,Yield
44,Colombia,"Cocoa, beans",2016,2016,4023,hg/ha,Yield
44,Colombia,"Cocoa, beans",2017,2017,8573,hg/ha,Yield
44,Colombia,"Cocoa, beans",2018,2018,9266,hg/ha,Yield
44,Colombia,"Cocoa, beans",2019,2019,8670,hg/ha,Yield
48,Costa Rica,"Cocoa, beans",1961,1961,3655,hg/ha,Yield
48,Costa Rica,"Cocoa, beans",1962,1962,4214,hg/ha,Yield
48,Costa Rica,"Cocoa, beans",1963,1963,3567,hg/ha,Yield
48,Costa Rica,"Cocoa, beans",1964,1964,3400,hg/ha,Yield
48,Costa Rica,"Cocoa, beans",1965,1965,2533,hg/ha,Yield
48,Costa Rica,"Cocoa, beans",1966,1966,3100,hg/ha,Yield
48,Costa Rica,"Cocoa, beans",1967,1967,2400,hg/ha,Yield
48,Costa Rica,"Cocoa, beans",1968,1968,2800,hg/ha,Yield
48,Costa Rica,"Cocoa, beans",1969,1969,1538,hg/ha,Yield
48,Costa Rica,"Cocoa, beans",1970,1970,1400,hg/ha,Yield
48,Costa Rica,"Cocoa, beans",1971,1971,2433,hg/ha,Yield
48,Costa Rica,"Cocoa, beans",1972,1972,2778,hg/ha,Yield
48,Costa Rica,"Cocoa, beans",1973,1973,2933,hg/ha,Yield
48,Costa Rica,"Cocoa, beans",1974,1974,2915,hg/ha,Yield
48,Costa Rica,"Cocoa, beans",1975,1975,3656,hg/ha,Yield
48,Costa Rica,"Cocoa, beans",1976,1976,3367,hg/ha,Yield
48,Costa Rica,"Cocoa, beans",1977,1977,3847,hg/ha,Yield
48,Costa Rica,"Cocoa, beans",1978,1978,3460,hg/ha,Yield
48,Costa Rica,"Cocoa, beans",1979,1979,3455,hg/ha,Yield
48,Costa Rica,"Cocoa, beans",1980,1980,3291,hg/ha,Yield
48,Costa Rica,"Cocoa, beans",1981,1981,3156,hg/ha,Yield
48,Costa Rica,"Cocoa, beans",1982,1982,2954,hg/ha,Yield
48,Costa Rica,"Cocoa, beans",1983,1983,2375,hg/ha,Yield
48,Costa Rica,"Cocoa, beans",1984,1984,3905,hg/ha,Yield
48,Costa Rica,"Cocoa, beans",1985,1985,3599,hg/ha,Yield
48,Costa Rica,"Cocoa, beans",1986,1986,3023,hg/ha,Yield
48,Costa Rica,"Cocoa, beans",1987,1987,2485,hg/ha,Yield
48,Costa Rica,"Cocoa, beans",1988,1988,1893,hg/ha,Yield
