Nation,Year,Unit,pop_lvst_initial_horses
dominican_republic,2014,Head,355000.0
dominican_republic,2015,Head,356441.0
dominican_republic,2016,Head,358085.0
dominican_republic,2017,Head,359611.0
dominican_republic,2018,Head,359972.0
dominican_republic,2019,Head,360961.0
ecuador,2011,Head,343820.0
ecuador,2012,Head,337565.0
ecuador,2013,Head,307911.0
ecuador,2014,Head,283714.0
ecuador,2015,Head,223352.0
ecuador,2016,Head,219134.0
ecuador,2017,Head,209990.0
ecuador,2018,Head,192833.0
ecuador,2019,Head,196886.0
el_salvador,2011,Head,96000.0
el_salvador,2012,Head,98000.0
el_salvador,2013,Head,98000.0
el_salvador,2014,Head,98100.0
el_salvador,2015,Head,98043.0
el_salvador,2016,Head,97963.0
el_salvador,2017,Head,98027.0
el_salvador,2018,Head,98192.0
el_salvador,2019,Head,98301.0
guatemala,2011,Head,128000.0
guatemala,2012,Head,130000.0
guatemala,2013,Head,130000.0
guatemala,2014,Head,129500.0
guatemala,2015,Head,129430.0
guatemala,2016,Head,129700.0
guatemala,2017,Head,131831.0
guatemala,2018,Head,132251.0
guatemala,2019,Head,132852.0
guyana,2011,Head,2400.0
guyana,2012,Head,2450.0
guyana,2013,Head,2450.0
guyana,2014,Head,2400.0
guyana,2015,Head,2380.0
guyana,2016,Head,2371.0
guyana,2017,Head,2407.0
guyana,2018,Head,2407.0
guyana,2019,Head,2407.0
haiti,2011,Head,500000.0
haiti,2012,Head,500000.0
haiti,2013,Head,500000.0
haiti,2014,Head,500000.0
haiti,2015,Head,501296.0
haiti,2016,Head,501727.0
haiti,2017,Head,500561.0
haiti,2018,Head,500327.0
haiti,2019,Head,500395.0
honduras,2011,Head,181200.0
honduras,2012,Head,181500.0
honduras,2013,Head,181500.0
honduras,2014,Head,182000.0
honduras,2015,Head,182046.0
honduras,2016,Head,182044.0
honduras,2017,Head,182013.0
honduras,2018,Head,182074.0
honduras,2019,Head,182163.0
jamaica,2011,Head,4000.0
jamaica,2012,Head,4000.0
jamaica,2013,Head,4000.0
jamaica,2014,Head,4000.0
jamaica,2015,Head,4003.0
jamaica,2016,Head,4006.0
jamaica,2017,Head,4009.0
jamaica,2018,Head,4008.0
jamaica,2019,Head,4008.0
mexico,2011,Head,6355000.0
mexico,2012,Head,6356000.0
mexico,2013,Head,6356000.0
mexico,2014,Head,6355000.0
mexico,2015,Head,6364160.0
mexico,2016,Head,6373622.0
mexico,2017,Head,6379095.0
mexico,2018,Head,6379464.0
mexico,2019,Head,6383145.0
nicaragua,2011,Head,268100.0
nicaragua,2012,Head,269000.0
nicaragua,2013,Head,269000.0
nicaragua,2014,Head,269100.0
nicaragua,2015,Head,269113.0
nicaragua,2016,Head,269051.0
nicaragua,2017,Head,268887.0
nicaragua,2018,Head,268738.0
nicaragua,2019,Head,268703.0
panama,2011,Head,114395.0
panama,2012,Head,115000.0
panama,2013,Head,115000.0
panama,2014,Head,116000.0
panama,2015,Head,112028.0
panama,2016,Head,114343.0
panama,2017,Head,114124.0
panama,2018,Head,113498.0
panama,2019,Head,113988.0
paraguay,2011,Head,280245.0
paraguay,2012,Head,278848.0
paraguay,2013,Head,277848.0
paraguay,2014,Head,276825.0
paraguay,2015,Head,275922.0
paraguay,2016,Head,275371.0
paraguay,2017,Head,238879.0
paraguay,2018,Head,221096.0
paraguay,2019,Head,219108.0
peru,2011,Head,740000.0
peru,2012,Head,742000.0
peru,2013,Head,742500.0
peru,2014,Head,743000.0
peru,2015,Head,743424.0
peru,2016,Head,743757.0
peru,2017,Head,748793.0
peru,2018,Head,749589.0
peru,2019,Head,750910.0
suriname,2011,Head,134.0
suriname,2012,Head,142.0
suriname,2013,Head,159.0
suriname,2014,Head,156.0
suriname,2015,Head,261.0
suriname,2016,Head,279.0
suriname,2017,Head,290.0
suriname,2018,Head,254.0
suriname,2019,Head,278.0
trinidad_and_tobago,2011,Head,1400.0
trinidad_and_tobago,2012,Head,1400.0
trinidad_and_tobago,2013,Head,1400.0
trinidad_and_tobago,2014,Head,1400.0
trinidad_and_tobago,2015,Head,1401.0
trinidad_and_tobago,2016,Head,1402.0
trinidad_and_tobago,2017,Head,1422.0
trinidad_and_tobago,2018,Head,1424.0
trinidad_and_tobago,2019,Head,1429.0
uruguay,2011,Head,405000.0
uruguay,2012,Head,407000.0
uruguay,2013,Head,380000.0
uruguay,2014,Head,412960.0
uruguay,2015,Head,410990.0
uruguay,2016,Head,415000.0
uruguay,2017,Head,420618.0
uruguay,2018,Head,408881.0
uruguay,2019,Head,409365.0
venezuela,2011,Head,518000.0
venezuela,2012,Head,520000.0
venezuela,2013,Head,522000.0
venezuela,2014,Head,522000.0
venezuela,2015,Head,521938.0
venezuela,2016,Head,522000.0
venezuela,2017,Head,522000.0
venezuela,2018,Head,523224.0
venezuela,2019,Head,526338.0
