Area.Code..FAO.,Nation,Item,Year,Value,Unit,Element,EmissionFactorTONco2e,ef_agactivity_fruits_gg_ch4_ha
9,Argentina,Bananas,2011,174901,tonnes,Production,0.79,138171.79
9,Argentina,Bananas,2012,175203,tonnes,Production,0.79,138410.37
9,Argentina,Bananas,2013,175334,tonnes,Production,0.79,138513.86
9,Argentina,Bananas,2014,175891,tonnes,Production,0.79,138953.89
9,Argentina,Bananas,2015,176076,tonnes,Production,0.79,139100.04
9,Argentina,Bananas,2016,175853,tonnes,Production,0.79,138923.87
9,Argentina,Bananas,2017,176087,tonnes,Production,0.79,139108.73
9,Argentina,Bananas,2018,176321,tonnes,Production,0.79,139293.59
9,Argentina,Bananas,2019,176555,tonnes,Production,0.79,139478.45
9,Argentina,Oranges,1961,521000,tonnes,Production,0.35,182350
9,Argentina,Oranges,1962,518000,tonnes,Production,0.35,181300
9,Argentina,Oranges,1963,496500,tonnes,Production,0.35,173775
9,Argentina,Oranges,1964,528000,tonnes,Production,0.35,184800
9,Argentina,Oranges,1965,420000,tonnes,Production,0.35,147000
9,Argentina,Oranges,1966,614000,tonnes,Production,0.35,214900
9,Argentina,Oranges,1967,640400,tonnes,Production,0.35,224140
9,Argentina,Oranges,1968,682000,tonnes,Production,0.35,238700
9,Argentina,Oranges,1969,820500,tonnes,Production,0.35,287175
9,Argentina,Oranges,1970,864600,tonnes,Production,0.35,302610
9,Argentina,Oranges,1971,990000,tonnes,Production,0.35,346500
9,Argentina,Oranges,1972,750000,tonnes,Production,0.35,262500
9,Argentina,Oranges,1973,782800,tonnes,Production,0.35,273980
9,Argentina,Oranges,1974,833000,tonnes,Production,0.35,291550
9,Argentina,Oranges,1975,729000,tonnes,Production,0.35,255150
9,Argentina,Oranges,1976,743000,tonnes,Production,0.35,260050
9,Argentina,Oranges,1977,740000,tonnes,Production,0.35,259000
9,Argentina,Oranges,1978,670000,tonnes,Production,0.35,234500
9,Argentina,Oranges,1979,706000,tonnes,Production,0.35,247100
9,Argentina,Oranges,1980,704000,tonnes,Production,0.35,246400
9,Argentina,Oranges,1981,668000,tonnes,Production,0.35,233800
9,Argentina,Oranges,1982,606000,tonnes,Production,0.35,212100
9,Argentina,Oranges,1983,639000,tonnes,Production,0.35,223650
9,Argentina,Oranges,1984,620400,tonnes,Production,0.35,217140
9,Argentina,Oranges,1985,620800,tonnes,Production,0.35,217280
9,Argentina,Oranges,1986,623200,tonnes,Production,0.35,218120
9,Argentina,Oranges,1987,642400,tonnes,Production,0.35,224840
9,Argentina,Oranges,1988,650200,tonnes,Production,0.35,227570
9,Argentina,Oranges,1989,680800,tonnes,Production,0.35,238280
9,Argentina,Oranges,1990,648300,tonnes,Production,0.35,226905
9,Argentina,Oranges,1991,773900,tonnes,Production,0.35,270865
9,Argentina,Oranges,1992,739000,tonnes,Production,0.35,258650
9,Argentina,Oranges,1993,708900,tonnes,Production,0.35,248115
9,Argentina,Oranges,1994,746576,tonnes,Production,0.35,261301.6
9,Argentina,Oranges,1995,760097,tonnes,Production,0.35,266033.95
9,Argentina,Oranges,1996,504429,tonnes,Production,0.35,176550.15
9,Argentina,Oranges,1997,918461,tonnes,Production,0.35,321461.35
9,Argentina,Oranges,1998,983833,tonnes,Production,0.35,344341.55
9,Argentina,Oranges,1999,706159,tonnes,Production,0.35,247155.65
9,Argentina,Oranges,2000,787096,tonnes,Production,0.35,275483.6
9,Argentina,Oranges,2001,918294,tonnes,Production,0.35,321402.9
9,Argentina,Oranges,2002,766854,tonnes,Production,0.35,268398.9
9,Argentina,Oranges,2003,687346,tonnes,Production,0.35,240571.1
9,Argentina,Oranges,2004,770000,tonnes,Production,0.35,269500
9,Argentina,Oranges,2005,885871,tonnes,Production,0.35,310054.85
9,Argentina,Oranges,2006,990000,tonnes,Production,0.35,346500
9,Argentina,Oranges,2007,800000,tonnes,Production,0.35,280000
9,Argentina,Oranges,2008,942541,tonnes,Production,0.35,329889.35
9,Argentina,Oranges,2009,898732,tonnes,Production,0.35,314556.2
9,Argentina,Oranges,2010,833486,tonnes,Production,0.35,291720.1
9,Argentina,Oranges,2011,1130074,tonnes,Production,0.35,395525.9
9,Argentina,Oranges,2012,933526,tonnes,Production,0.35,326734.1
9,Argentina,Oranges,2013,859752,tonnes,Production,0.35,300913.2
9,Argentina,Oranges,2014,1022276,tonnes,Production,0.35,357796.6
9,Argentina,Oranges,2015,1001309,tonnes,Production,0.35,350458.15
9,Argentina,Oranges,2016,1032446,tonnes,Production,0.35,361356.1
9,Argentina,Oranges,2017,1025000,tonnes,Production,0.35,358750
9,Argentina,Oranges,2018,1006779,tonnes,Production,0.35,352372.65
9,Argentina,Oranges,2019,1026367,tonnes,Production,0.35,359228.45
9,Argentina,Lemons and limes,1961,86600,tonnes,Production,0.3,25980
9,Argentina,Lemons and limes,1962,82000,tonnes,Production,0.3,24600
9,Argentina,Lemons and limes,1963,79300,tonnes,Production,0.3,23790
9,Argentina,Lemons and limes,1964,79000,tonnes,Production,0.3,23700
9,Argentina,Lemons and limes,1965,70000,tonnes,Production,0.3,21000
9,Argentina,Lemons and limes,1966,89000,tonnes,Production,0.3,26700
9,Argentina,Lemons and limes,1967,74600,tonnes,Production,0.3,22380
9,Argentina,Lemons and limes,1968,179000,tonnes,Production,0.3,53700
9,Argentina,Lemons and limes,1969,194000,tonnes,Production,0.3,58200
9,Argentina,Lemons and limes,1970,202457,tonnes,Production,0.3,60737.1
9,Argentina,Lemons and limes,1971,198600,tonnes,Production,0.3,59580
9,Argentina,Lemons and limes,1972,186000,tonnes,Production,0.3,55800
9,Argentina,Lemons and limes,1973,232770,tonnes,Production,0.3,69831
9,Argentina,Lemons and limes,1974,306000,tonnes,Production,0.3,91800
9,Argentina,Lemons and limes,1975,339000,tonnes,Production,0.3,101700
9,Argentina,Lemons and limes,1976,247000,tonnes,Production,0.3,74100
9,Argentina,Lemons and limes,1977,320000,tonnes,Production,0.3,96000
9,Argentina,Lemons and limes,1978,280000,tonnes,Production,0.3,84000
9,Argentina,Lemons and limes,1979,301000,tonnes,Production,0.3,90300
9,Argentina,Lemons and limes,1980,396000,tonnes,Production,0.3,118800
9,Argentina,Lemons and limes,1981,409000,tonnes,Production,0.3,122700
9,Argentina,Lemons and limes,1982,384000,tonnes,Production,0.3,115200
9,Argentina,Lemons and limes,1983,357000,tonnes,Production,0.3,107100
9,Argentina,Lemons and limes,1984,367600,tonnes,Production,0.3,110280
9,Argentina,Lemons and limes,1985,460000,tonnes,Production,0.3,138000
9,Argentina,Lemons and limes,1986,481000,tonnes,Production,0.3,144300
9,Argentina,Lemons and limes,1987,528300,tonnes,Production,0.3,158490
9,Argentina,Lemons and limes,1988,516500,tonnes,Production,0.3,154950
9,Argentina,Lemons and limes,1989,301200,tonnes,Production,0.3,90360
9,Argentina,Lemons and limes,1990,534100,tonnes,Production,0.3,160230
9,Argentina,Lemons and limes,1991,656000,tonnes,Production,0.3,196800
9,Argentina,Lemons and limes,1992,660700,tonnes,Production,0.3,198210
9,Argentina,Lemons and limes,1993,612200,tonnes,Production,0.3,183660
9,Argentina,Lemons and limes,1994,681275,tonnes,Production,0.3,204382.5
9,Argentina,Lemons and limes,1995,755604,tonnes,Production,0.3,226681.2
9,Argentina,Lemons and limes,1996,800654,tonnes,Production,0.3,240196.2
9,Argentina,Lemons and limes,1997,968763,tonnes,Production,0.3,290628.9
9,Argentina,Lemons and limes,1998,1020975,tonnes,Production,0.3,306292.5
9,Argentina,Lemons and limes,1999,1042657,tonnes,Production,0.3,312797.1
9,Argentina,Lemons and limes,2000,1171498,tonnes,Production,0.3,351449.4
9,Argentina,Lemons and limes,2001,1217666,tonnes,Production,0.3,365299.8
9,Argentina,Lemons and limes,2002,1313270,tonnes,Production,0.3,393981
9,Argentina,Lemons and limes,2003,1236280,tonnes,Production,0.3,370884
9,Argentina,Lemons and limes,2004,1340150,tonnes,Production,0.3,402045
9,Argentina,Lemons and limes,2005,1498410,tonnes,Production,0.3,449523
9,Argentina,Lemons and limes,2006,1470000,tonnes,Production,0.3,441000
9,Argentina,Lemons and limes,2007,1400000,tonnes,Production,0.3,420000
9,Argentina,Lemons and limes,2008,1362190,tonnes,Production,0.3,408657
9,Argentina,Lemons and limes,2009,1425529,tonnes,Production,0.3,427658.7
9,Argentina,Lemons and limes,2010,1113375,tonnes,Production,0.3,334012.5
9,Argentina,Lemons and limes,2011,1756351,tonnes,Production,0.3,526905.3
9,Argentina,Lemons and limes,2012,1456069,tonnes,Production,0.3,436820.7
9,Argentina,Lemons and limes,2013,1485963,tonnes,Production,0.3,445788.9
9,Argentina,Lemons and limes,2014,953890,tonnes,Production,0.3,286167
9,Argentina,Lemons and limes,2015,1561606,tonnes,Production,0.3,468481.8
9,Argentina,Lemons and limes,2016,1678337,tonnes,Production,0.3,503501.1
9,Argentina,Lemons and limes,2017,1676000,tonnes,Production,0.3,502800
9,Argentina,Lemons and limes,2018,1989400,tonnes,Production,0.3,596820
9,Argentina,Lemons and limes,2019,1904765,tonnes,Production,0.3,571429.5
9,Argentina,Grapefruit (inc. pomelos),1961,40000,tonnes,Production,0.41,16400
9,Argentina,Grapefruit (inc. pomelos),1962,47000,tonnes,Production,0.41,19270
9,Argentina,Grapefruit (inc. pomelos),1963,50000,tonnes,Production,0.41,20500
9,Argentina,Grapefruit (inc. pomelos),1964,60000,tonnes,Production,0.41,24600
9,Argentina,Grapefruit (inc. pomelos),1965,72000,tonnes,Production,0.41,29520
9,Argentina,Grapefruit (inc. pomelos),1966,84000,tonnes,Production,0.41,34440
9,Argentina,Grapefruit (inc. pomelos),1967,82000,tonnes,Production,0.41,33620
9,Argentina,Grapefruit (inc. pomelos),1968,84000,tonnes,Production,0.41,34440
9,Argentina,Grapefruit (inc. pomelos),1969,112300,tonnes,Production,0.41,46043
9,Argentina,Grapefruit (inc. pomelos),1970,131100,tonnes,Production,0.41,53751
9,Argentina,Grapefruit (inc. pomelos),1971,143700,tonnes,Production,0.41,58917
9,Argentina,Grapefruit (inc. pomelos),1972,140000,tonnes,Production,0.41,57400
9,Argentina,Grapefruit (inc. pomelos),1973,179400,tonnes,Production,0.41,73554
9,Argentina,Grapefruit (inc. pomelos),1974,177000,tonnes,Production,0.41,72570
9,Argentina,Grapefruit (inc. pomelos),1975,185000,tonnes,Production,0.41,75850
9,Argentina,Grapefruit (inc. pomelos),1976,180000,tonnes,Production,0.41,73800
9,Argentina,Grapefruit (inc. pomelos),1977,170000,tonnes,Production,0.41,69700
9,Argentina,Grapefruit (inc. pomelos),1978,145000,tonnes,Production,0.41,59450
9,Argentina,Grapefruit (inc. pomelos),1979,134000,tonnes,Production,0.41,54940
9,Argentina,Grapefruit (inc. pomelos),1980,164000,tonnes,Production,0.41,67240
9,Argentina,Grapefruit (inc. pomelos),1981,150000,tonnes,Production,0.41,61500
9,Argentina,Grapefruit (inc. pomelos),1982,147600,tonnes,Production,0.41,60516
9,Argentina,Grapefruit (inc. pomelos),1983,147000,tonnes,Production,0.41,60270
9,Argentina,Grapefruit (inc. pomelos),1984,145000,tonnes,Production,0.41,59450
9,Argentina,Grapefruit (inc. pomelos),1985,173700,tonnes,Production,0.41,71217
9,Argentina,Grapefruit (inc. pomelos),1986,177900,tonnes,Production,0.41,72939
9,Argentina,Grapefruit (inc. pomelos),1987,174400,tonnes,Production,0.41,71504
9,Argentina,Grapefruit (inc. pomelos),1988,176100,tonnes,Production,0.41,72201
9,Argentina,Grapefruit (inc. pomelos),1989,154700,tonnes,Production,0.41,63427
9,Argentina,Grapefruit (inc. pomelos),1990,166580,tonnes,Production,0.41,68297.8
9,Argentina,Grapefruit (inc. pomelos),1991,203900,tonnes,Production,0.41,83599
9,Argentina,Grapefruit (inc. pomelos),1992,191900,tonnes,Production,0.41,78679
9,Argentina,Grapefruit (inc. pomelos),1993,196540,tonnes,Production,0.41,80581.4
9,Argentina,Grapefruit (inc. pomelos),1994,228671,tonnes,Production,0.41,93755.11
9,Argentina,Grapefruit (inc. pomelos),1995,195918,tonnes,Production,0.41,80326.38
9,Argentina,Grapefruit (inc. pomelos),1996,166784,tonnes,Production,0.41,68381.44
9,Argentina,Grapefruit (inc. pomelos),1997,232766,tonnes,Production,0.41,95434.06
9,Argentina,Grapefruit (inc. pomelos),1998,216073,tonnes,Production,0.41,88589.93
9,Argentina,Grapefruit (inc. pomelos),1999,205270,tonnes,Production,0.41,84160.7
9,Argentina,Grapefruit (inc. pomelos),2000,217905,tonnes,Production,0.41,89341.05
9,Argentina,Grapefruit (inc. pomelos),2001,199489,tonnes,Production,0.41,81790.49
9,Argentina,Grapefruit (inc. pomelos),2002,204751,tonnes,Production,0.41,83947.91
9,Argentina,Grapefruit (inc. pomelos),2003,184162,tonnes,Production,0.41,75506.42
9,Argentina,Grapefruit (inc. pomelos),2004,177210,tonnes,Production,0.41,72656.1
9,Argentina,Grapefruit (inc. pomelos),2005,272704,tonnes,Production,0.41,111808.64
9,Argentina,Grapefruit (inc. pomelos),2006,240000,tonnes,Production,0.41,98400
9,Argentina,Grapefruit (inc. pomelos),2007,220000,tonnes,Production,0.41,90200
9,Argentina,Grapefruit (inc. pomelos),2008,243695,tonnes,Production,0.41,99914.95
9,Argentina,Grapefruit (inc. pomelos),2009,237479,tonnes,Production,0.41,97366.39
9,Argentina,Grapefruit (inc. pomelos),2010,188820,tonnes,Production,0.41,77416.2
9,Argentina,Grapefruit (inc. pomelos),2011,172382,tonnes,Production,0.41,70676.62
9,Argentina,Grapefruit (inc. pomelos),2012,132196,tonnes,Production,0.41,54200.36
9,Argentina,Grapefruit (inc. pomelos),2013,113549,tonnes,Production,0.41,46555.09
9,Argentina,Grapefruit (inc. pomelos),2014,130786,tonnes,Production,0.41,53622.26
9,Argentina,Grapefruit (inc. pomelos),2015,130382,tonnes,Production,0.41,53456.62
9,Argentina,Grapefruit (inc. pomelos),2016,102259,tonnes,Production,0.41,41926.19
9,Argentina,Grapefruit (inc. pomelos),2017,112000,tonnes,Production,0.41,45920
9,Argentina,Grapefruit (inc. pomelos),2018,114118,tonnes,Production,0.41,46788.38
9,Argentina,Grapefruit (inc. pomelos),2019,112630,tonnes,Production,0.41,46178.3
9,Argentina,Apples,1961,415000,tonnes,Production,0.36,149400
9,Argentina,Apples,1962,397000,tonnes,Production,0.36,142920
9,Argentina,Apples,1963,474000,tonnes,Production,0.36,170640
9,Argentina,Apples,1964,371000,tonnes,Production,0.36,133560
9,Argentina,Apples,1965,544000,tonnes,Production,0.36,195840
9,Argentina,Apples,1966,414000,tonnes,Production,0.36,149040
9,Argentina,Apples,1967,516000,tonnes,Production,0.36,185760
9,Argentina,Apples,1968,469600,tonnes,Production,0.36,169056
9,Argentina,Apples,1969,436400,tonnes,Production,0.36,157104
9,Argentina,Apples,1970,445000,tonnes,Production,0.36,160200
9,Argentina,Apples,1971,423900,tonnes,Production,0.36,152604
9,Argentina,Apples,1972,512300,tonnes,Production,0.36,184428
9,Argentina,Apples,1973,233300,tonnes,Production,0.36,83988
9,Argentina,Apples,1974,786000,tonnes,Production,0.36,282960
9,Argentina,Apples,1975,608000,tonnes,Production,0.36,218880
9,Argentina,Apples,1976,576500,tonnes,Production,0.36,207540
9,Argentina,Apples,1977,820000,tonnes,Production,0.36,295200
9,Argentina,Apples,1978,810000,tonnes,Production,0.36,291600
9,Argentina,Apples,1979,972000,tonnes,Production,0.36,349920
9,Argentina,Apples,1980,958000,tonnes,Production,0.36,344880
9,Argentina,Apples,1981,908000,tonnes,Production,0.36,326880
9,Argentina,Apples,1982,804000,tonnes,Production,0.36,289440
9,Argentina,Apples,1983,817000,tonnes,Production,0.36,294120
9,Argentina,Apples,1984,872000,tonnes,Production,0.36,313920
9,Argentina,Apples,1985,922400,tonnes,Production,0.36,332064
9,Argentina,Apples,1986,593900,tonnes,Production,0.36,213804
9,Argentina,Apples,1987,1074600,tonnes,Production,0.36,386856
9,Argentina,Apples,1988,940000,tonnes,Production,0.36,338400
9,Argentina,Apples,1989,847800,tonnes,Production,0.36,305208
9,Argentina,Apples,1990,975600,tonnes,Production,0.36,351216
9,Argentina,Apples,1991,1067500,tonnes,Production,0.36,384300
9,Argentina,Apples,1992,1053500,tonnes,Production,0.36,379260
9,Argentina,Apples,1993,951170,tonnes,Production,0.36,342421.2
9,Argentina,Apples,1994,1006300,tonnes,Production,0.36,362268
9,Argentina,Apples,1995,1146000,tonnes,Production,0.36,412560
9,Argentina,Apples,1996,1219000,tonnes,Production,0.36,438840
9,Argentina,Apples,1997,1117690,tonnes,Production,0.36,402368.4
9,Argentina,Apples,1998,1033520,tonnes,Production,0.36,372067.2
9,Argentina,Apples,1999,1116000,tonnes,Production,0.36,401760
9,Argentina,Apples,2000,833322,tonnes,Production,0.36,299995.92
9,Argentina,Apples,2001,1428802,tonnes,Production,0.36,514368.72
9,Argentina,Apples,2002,1156830,tonnes,Production,0.36,416458.8
9,Argentina,Apples,2003,1307460,tonnes,Production,0.36,470685.6
9,Argentina,Apples,2004,1262440,tonnes,Production,0.36,454478.4
9,Argentina,Apples,2005,1206210,tonnes,Production,0.36,434235.6
9,Argentina,Apples,2006,1100000,tonnes,Production,0.36,396000
9,Argentina,Apples,2007,1000000,tonnes,Production,0.36,360000
9,Argentina,Apples,2008,950000,tonnes,Production,0.36,342000
9,Argentina,Apples,2009,894000,tonnes,Production,0.36,321840
9,Argentina,Apples,2010,720000,tonnes,Production,0.36,259200
9,Argentina,Apples,2011,1150000,tonnes,Production,0.36,414000
9,Argentina,Apples,2012,1050000,tonnes,Production,0.36,378000
9,Argentina,Apples,2013,970000,tonnes,Production,0.36,349200
9,Argentina,Apples,2014,711052,tonnes,Production,0.36,255978.72
9,Argentina,Apples,2015,693275,tonnes,Production,0.36,249579
9,Argentina,Apples,2016,458908,tonnes,Production,0.36,165206.88
9,Argentina,Apples,2017,458908,tonnes,Production,0.36,165206.88
9,Argentina,Apples,2018,510478,tonnes,Production,0.36,183772.08
9,Argentina,Apples,2019,538722,tonnes,Production,0.36,193939.92
12,Bahamas,Bananas,1961,3500,tonnes,Production,0.79,2765
12,Bahamas,Bananas,1962,3800,tonnes,Production,0.79,3002
12,Bahamas,Bananas,1963,4100,tonnes,Production,0.79,3239
12,Bahamas,Bananas,1964,4300,tonnes,Production,0.79,3397
12,Bahamas,Bananas,1965,4500,tonnes,Production,0.79,3555
12,Bahamas,Bananas,1966,4700,tonnes,Production,0.79,3713
12,Bahamas,Bananas,1967,4900,tonnes,Production,0.79,3871
12,Bahamas,Bananas,1968,5100,tonnes,Production,0.79,4029
12,Bahamas,Bananas,1969,5400,tonnes,Production,0.79,4266
12,Bahamas,Bananas,1970,5600,tonnes,Production,0.79,4424
12,Bahamas,Bananas,1971,5800,tonnes,Production,0.79,4582
12,Bahamas,Bananas,1972,5900,tonnes,Production,0.79,4661
12,Bahamas,Bananas,1973,6100,tonnes,Production,0.79,4819
12,Bahamas,Bananas,1974,6250,tonnes,Production,0.79,4937.5
12,Bahamas,Bananas,1975,6400,tonnes,Production,0.79,5056
12,Bahamas,Bananas,1976,6600,tonnes,Production,0.79,5214
12,Bahamas,Bananas,1977,6700,tonnes,Production,0.79,5293
12,Bahamas,Bananas,1978,7439,tonnes,Production,0.79,5876.81
12,Bahamas,Bananas,1979,7440,tonnes,Production,0.79,5877.6
12,Bahamas,Bananas,1980,7480,tonnes,Production,0.79,5909.2
12,Bahamas,Bananas,1981,7500,tonnes,Production,0.79,5925
12,Bahamas,Bananas,1982,7600,tonnes,Production,0.79,6004
12,Bahamas,Bananas,1983,7700,tonnes,Production,0.79,6083
12,Bahamas,Bananas,1984,7800,tonnes,Production,0.79,6162
12,Bahamas,Bananas,1985,7800,tonnes,Production,0.79,6162
12,Bahamas,Bananas,1986,7800,tonnes,Production,0.79,6162
12,Bahamas,Bananas,1987,7000,tonnes,Production,0.79,5530
12,Bahamas,Bananas,1988,6700,tonnes,Production,0.79,5293
12,Bahamas,Bananas,1989,6400,tonnes,Production,0.79,5056
12,Bahamas,Bananas,1990,5500,tonnes,Production,0.79,4345
12,Bahamas,Bananas,1991,5000,tonnes,Production,0.79,3950
12,Bahamas,Bananas,1992,4500,tonnes,Production,0.79,3555
12,Bahamas,Bananas,1993,3800,tonnes,Production,0.79,3002
12,Bahamas,Bananas,1994,2857,tonnes,Production,0.79,2257.03
12,Bahamas,Bananas,1995,3140,tonnes,Production,0.79,2480.6
12,Bahamas,Bananas,1996,2857,tonnes,Production,0.79,2257.03
12,Bahamas,Bananas,1997,757,tonnes,Production,0.79,598.03
12,Bahamas,Bananas,1998,895,tonnes,Production,0.79,707.05
12,Bahamas,Bananas,1999,3471,tonnes,Production,0.79,2742.09
12,Bahamas,Bananas,2000,3250,tonnes,Production,0.79,2567.5
12,Bahamas,Bananas,2001,3315,tonnes,Production,0.79,2618.85
12,Bahamas,Bananas,2002,3200,tonnes,Production,0.79,2528
12,Bahamas,Bananas,2003,3400,tonnes,Production,0.79,2686
12,Bahamas,Bananas,2004,3500,tonnes,Production,0.79,2765
12,Bahamas,Bananas,2005,3500,tonnes,Production,0.79,2765
12,Bahamas,Bananas,2006,3750,tonnes,Production,0.79,2962.5
12,Bahamas,Bananas,2007,5000,tonnes,Production,0.79,3950
12,Bahamas,Bananas,2008,6500,tonnes,Production,0.79,5135
12,Bahamas,Bananas,2009,6500,tonnes,Production,0.79,5135
12,Bahamas,Bananas,2010,8226,tonnes,Production,0.79,6498.54
12,Bahamas,Bananas,2011,9419,tonnes,Production,0.79,7441.01
12,Bahamas,Bananas,2012,9462,tonnes,Production,0.79,7474.98
12,Bahamas,Bananas,2013,9661,tonnes,Production,0.79,7632.19
12,Bahamas,Bananas,2014,9892,tonnes,Production,0.79,7814.68
12,Bahamas,Bananas,2015,9884,tonnes,Production,0.79,7808.36
12,Bahamas,Bananas,2016,10490,tonnes,Production,0.79,8287.1
12,Bahamas,Bananas,2017,10915,tonnes,Production,0.79,8622.85
12,Bahamas,Bananas,2018,11339,tonnes,Production,0.79,8957.81
12,Bahamas,Bananas,2019,11763,tonnes,Production,0.79,9292.77
12,Bahamas,Oranges,1961,NA,tonnes,Production,0.35,NA
12,Bahamas,Oranges,1962,NA,tonnes,Production,0.35,NA
12,Bahamas,Oranges,1963,NA,tonnes,Production,0.35,NA
12,Bahamas,Oranges,1964,NA,tonnes,Production,0.35,NA
12,Bahamas,Oranges,1965,NA,tonnes,Production,0.35,NA
12,Bahamas,Oranges,1966,NA,tonnes,Production,0.35,NA
12,Bahamas,Oranges,1967,NA,tonnes,Production,0.35,NA
12,Bahamas,Oranges,1968,NA,tonnes,Production,0.35,NA
12,Bahamas,Oranges,1969,NA,tonnes,Production,0.35,NA
12,Bahamas,Oranges,1970,NA,tonnes,Production,0.35,NA
12,Bahamas,Oranges,1971,NA,tonnes,Production,0.35,NA
12,Bahamas,Oranges,1972,NA,tonnes,Production,0.35,NA
12,Bahamas,Oranges,1973,NA,tonnes,Production,0.35,NA
12,Bahamas,Oranges,1974,NA,tonnes,Production,0.35,NA
12,Bahamas,Oranges,1975,NA,tonnes,Production,0.35,NA
12,Bahamas,Oranges,1976,NA,tonnes,Production,0.35,NA
12,Bahamas,Oranges,1977,NA,tonnes,Production,0.35,NA
12,Bahamas,Oranges,1978,NA,tonnes,Production,0.35,NA
12,Bahamas,Oranges,1979,NA,tonnes,Production,0.35,NA
12,Bahamas,Oranges,1980,NA,tonnes,Production,0.35,NA
12,Bahamas,Oranges,1981,NA,tonnes,Production,0.35,NA
12,Bahamas,Oranges,1982,NA,tonnes,Production,0.35,NA
12,Bahamas,Oranges,1983,NA,tonnes,Production,0.35,NA
12,Bahamas,Oranges,1984,NA,tonnes,Production,0.35,NA
12,Bahamas,Oranges,1985,NA,tonnes,Production,0.35,NA
12,Bahamas,Oranges,1986,NA,tonnes,Production,0.35,NA
12,Bahamas,Oranges,1987,NA,tonnes,Production,0.35,NA
12,Bahamas,Oranges,1988,NA,tonnes,Production,0.35,NA
12,Bahamas,Oranges,1989,NA,tonnes,Production,0.35,NA
12,Bahamas,Oranges,1990,NA,tonnes,Production,0.35,NA
12,Bahamas,Oranges,1991,NA,tonnes,Production,0.35,NA
12,Bahamas,Oranges,1992,NA,tonnes,Production,0.35,NA
