Area Code (FAO),Nation,Item,Year,yf_agrc_nuts_tonne_ha,Unit,Element
19,Bolivia (Plurinational State of),Chestnut,2019,14388,hg/ha,Yield
21,Brazil,"Cashew nuts, with shell",1990,1847,hg/ha,Yield
21,Brazil,"Cashew nuts, with shell",1991,2885,hg/ha,Yield
21,Brazil,"Cashew nuts, with shell",1992,1552,hg/ha,Yield
21,Brazil,"Cashew nuts, with shell",1993,1062,hg/ha,Yield
21,Brazil,"Cashew nuts, with shell",1994,2201,hg/ha,Yield
21,Brazil,"Cashew nuts, with shell",1995,2646,hg/ha,Yield
21,Brazil,"Cashew nuts, with shell",1996,3053,hg/ha,Yield
21,Brazil,"Cashew nuts, with shell",1997,2154,hg/ha,Yield
21,Brazil,"Cashew nuts, with shell",1998,871,hg/ha,Yield
21,Brazil,"Cashew nuts, with shell",1999,2374,hg/ha,Yield
21,Brazil,"Cashew nuts, with shell",2000,2129,hg/ha,Yield
21,Brazil,"Cashew nuts, with shell",2001,1943,hg/ha,Yield
21,Brazil,"Cashew nuts, with shell",2002,2474,hg/ha,Yield
21,Brazil,"Cashew nuts, with shell",2003,2683,hg/ha,Yield
21,Brazil,"Cashew nuts, with shell",2004,2718,hg/ha,Yield
21,Brazil,"Cashew nuts, with shell",2005,2181,hg/ha,Yield
21,Brazil,"Cashew nuts, with shell",2006,3433,hg/ha,Yield
21,Brazil,"Cashew nuts, with shell",2007,1923,hg/ha,Yield
21,Brazil,"Cashew nuts, with shell",2008,3255,hg/ha,Yield
21,Brazil,"Cashew nuts, with shell",2009,2909,hg/ha,Yield
21,Brazil,"Cashew nuts, with shell",2010,1375,hg/ha,Yield
21,Brazil,"Cashew nuts, with shell",2011,3019,hg/ha,Yield
21,Brazil,"Cashew nuts, with shell",2012,1065,hg/ha,Yield
21,Brazil,"Cashew nuts, with shell",2013,1577,hg/ha,Yield
21,Brazil,"Cashew nuts, with shell",2014,1718,hg/ha,Yield
21,Brazil,"Cashew nuts, with shell",2015,1749,hg/ha,Yield
21,Brazil,"Cashew nuts, with shell",2016,1314,hg/ha,Yield
21,Brazil,"Cashew nuts, with shell",2017,2734,hg/ha,Yield
21,Brazil,"Cashew nuts, with shell",2018,3220,hg/ha,Yield
21,Brazil,"Cashew nuts, with shell",2019,3254,hg/ha,Yield
21,Brazil,"Walnuts, with shell",1985,20645,hg/ha,Yield
21,Brazil,"Walnuts, with shell",1986,21768,hg/ha,Yield
21,Brazil,"Walnuts, with shell",1987,19500,hg/ha,Yield
21,Brazil,"Walnuts, with shell",1988,21686,hg/ha,Yield
21,Brazil,"Walnuts, with shell",1989,22616,hg/ha,Yield
21,Brazil,"Walnuts, with shell",1990,19690,hg/ha,Yield
21,Brazil,"Walnuts, with shell",1991,17625,hg/ha,Yield
21,Brazil,"Walnuts, with shell",1992,18183,hg/ha,Yield
21,Brazil,"Walnuts, with shell",1993,17845,hg/ha,Yield
21,Brazil,"Walnuts, with shell",1994,11106,hg/ha,Yield
21,Brazil,"Walnuts, with shell",1995,12049,hg/ha,Yield
21,Brazil,"Walnuts, with shell",1996,10319,hg/ha,Yield
21,Brazil,"Walnuts, with shell",1997,18257,hg/ha,Yield
21,Brazil,"Walnuts, with shell",1998,18212,hg/ha,Yield
21,Brazil,"Walnuts, with shell",1999,14502,hg/ha,Yield
21,Brazil,"Walnuts, with shell",2000,14844,hg/ha,Yield
21,Brazil,"Walnuts, with shell",2001,14956,hg/ha,Yield
21,Brazil,"Walnuts, with shell",2002,11377,hg/ha,Yield
21,Brazil,"Walnuts, with shell",2003,10223,hg/ha,Yield
21,Brazil,"Walnuts, with shell",2004,14861,hg/ha,Yield
21,Brazil,"Walnuts, with shell",2005,14633,hg/ha,Yield
21,Brazil,"Walnuts, with shell",2006,13365,hg/ha,Yield
21,Brazil,"Walnuts, with shell",2007,13355,hg/ha,Yield
21,Brazil,"Walnuts, with shell",2008,14337,hg/ha,Yield
21,Brazil,"Walnuts, with shell",2009,20853,hg/ha,Yield
21,Brazil,"Walnuts, with shell",2010,21508,hg/ha,Yield
21,Brazil,"Walnuts, with shell",2011,23528,hg/ha,Yield
21,Brazil,"Walnuts, with shell",2012,24157,hg/ha,Yield
21,Brazil,"Walnuts, with shell",2013,18480,hg/ha,Yield
21,Brazil,"Walnuts, with shell",2014,16564,hg/ha,Yield
21,Brazil,"Walnuts, with shell",2015,16622,hg/ha,Yield
21,Brazil,"Walnuts, with shell",2016,15681,hg/ha,Yield
21,Brazil,"Walnuts, with shell",2017,20511,hg/ha,Yield
21,Brazil,"Walnuts, with shell",2018,18610,hg/ha,Yield
21,Brazil,"Walnuts, with shell",2019,17404,hg/ha,Yield
40,Chile,"Almonds, with shell",1985,5500,hg/ha,Yield
40,Chile,"Almonds, with shell",1986,5781,hg/ha,Yield
40,Chile,"Almonds, with shell",1987,5577,hg/ha,Yield
40,Chile,"Almonds, with shell",1988,5469,hg/ha,Yield
40,Chile,"Almonds, with shell",1989,5541,hg/ha,Yield
40,Chile,"Almonds, with shell",1990,5600,hg/ha,Yield
40,Chile,"Almonds, with shell",1991,5581,hg/ha,Yield
40,Chile,"Almonds, with shell",1992,6013,hg/ha,Yield
40,Chile,"Almonds, with shell",1993,6413,hg/ha,Yield
40,Chile,"Almonds, with shell",1994,6316,hg/ha,Yield
40,Chile,"Almonds, with shell",1995,6312,hg/ha,Yield
40,Chile,"Almonds, with shell",1996,10612,hg/ha,Yield
40,Chile,"Almonds, with shell",1997,10943,hg/ha,Yield
40,Chile,"Almonds, with shell",1998,10517,hg/ha,Yield
40,Chile,"Almonds, with shell",1999,12542,hg/ha,Yield
40,Chile,"Almonds, with shell",2000,13486,hg/ha,Yield
40,Chile,"Almonds, with shell",2001,14131,hg/ha,Yield
40,Chile,"Almonds, with shell",2002,15476,hg/ha,Yield
40,Chile,"Almonds, with shell",2003,14915,hg/ha,Yield
40,Chile,"Almonds, with shell",2004,15000,hg/ha,Yield
40,Chile,"Almonds, with shell",2005,16897,hg/ha,Yield
40,Chile,"Almonds, with shell",2006,25862,hg/ha,Yield
40,Chile,"Almonds, with shell",2007,29310,hg/ha,Yield
40,Chile,"Almonds, with shell",2008,29032,hg/ha,Yield
40,Chile,"Almonds, with shell",2009,28986,hg/ha,Yield
40,Chile,"Almonds, with shell",2010,29684,hg/ha,Yield
40,Chile,"Almonds, with shell",2011,32026,hg/ha,Yield
40,Chile,"Almonds, with shell",2012,33519,hg/ha,Yield
40,Chile,"Almonds, with shell",2013,34959,hg/ha,Yield
40,Chile,"Almonds, with shell",2014,36590,hg/ha,Yield
40,Chile,"Almonds, with shell",2015,39200,hg/ha,Yield
40,Chile,"Almonds, with shell",2016,39749,hg/ha,Yield
40,Chile,"Almonds, with shell",2017,41141,hg/ha,Yield
40,Chile,"Almonds, with shell",2018,42535,hg/ha,Yield
40,Chile,"Almonds, with shell",2019,43927,hg/ha,Yield
40,Chile,Chestnut,2005,7744,hg/ha,Yield
40,Chile,Chestnut,2006,9195,hg/ha,Yield
40,Chile,Chestnut,2007,9563,hg/ha,Yield
40,Chile,Chestnut,2008,24590,hg/ha,Yield
40,Chile,Chestnut,2009,23224,hg/ha,Yield
40,Chile,Chestnut,2010,11339,hg/ha,Yield
40,Chile,Chestnut,2011,13661,hg/ha,Yield
40,Chile,Chestnut,2012,16000,hg/ha,Yield
40,Chile,Chestnut,2013,23404,hg/ha,Yield
40,Chile,Chestnut,2014,23256,hg/ha,Yield
40,Chile,Chestnut,2015,22178,hg/ha,Yield
40,Chile,Chestnut,2016,22433,hg/ha,Yield
40,Chile,Chestnut,2017,21417,hg/ha,Yield
40,Chile,Chestnut,2018,21990,hg/ha,Yield
40,Chile,Chestnut,2019,22549,hg/ha,Yield
40,Chile,"Hazelnuts, with shell",1991,1004,hg/ha,Yield
40,Chile,"Hazelnuts, with shell",1992,1016,hg/ha,Yield
40,Chile,"Hazelnuts, with shell",1993,1021,hg/ha,Yield
40,Chile,"Hazelnuts, with shell",1994,1032,hg/ha,Yield
40,Chile,"Hazelnuts, with shell",1995,1037,hg/ha,Yield
40,Chile,"Hazelnuts, with shell",1996,1043,hg/ha,Yield
40,Chile,"Hazelnuts, with shell",1997,1053,hg/ha,Yield
40,Chile,"Hazelnuts, with shell",1998,1059,hg/ha,Yield
40,Chile,"Hazelnuts, with shell",1999,1064,hg/ha,Yield
40,Chile,"Hazelnuts, with shell",2000,1075,hg/ha,Yield
40,Chile,"Hazelnuts, with shell",2001,1080,hg/ha,Yield
40,Chile,"Hazelnuts, with shell",2002,1085,hg/ha,Yield
40,Chile,"Hazelnuts, with shell",2003,1097,hg/ha,Yield
40,Chile,"Hazelnuts, with shell",2004,554,hg/ha,Yield
40,Chile,"Hazelnuts, with shell",2005,604,hg/ha,Yield
40,Chile,"Hazelnuts, with shell",2006,1163,hg/ha,Yield
40,Chile,"Hazelnuts, with shell",2007,2278,hg/ha,Yield
40,Chile,"Hazelnuts, with shell",2008,3338,hg/ha,Yield
40,Chile,"Hazelnuts, with shell",2009,4492,hg/ha,Yield
40,Chile,"Hazelnuts, with shell",2010,5716,hg/ha,Yield
40,Chile,"Hazelnuts, with shell",2011,6893,hg/ha,Yield
40,Chile,"Hazelnuts, with shell",2012,7252,hg/ha,Yield
40,Chile,"Hazelnuts, with shell",2013,10904,hg/ha,Yield
40,Chile,"Hazelnuts, with shell",2014,13240,hg/ha,Yield
40,Chile,"Hazelnuts, with shell",2015,10044,hg/ha,Yield
40,Chile,"Hazelnuts, with shell",2016,10870,hg/ha,Yield
40,Chile,"Hazelnuts, with shell",2017,12815,hg/ha,Yield
40,Chile,"Hazelnuts, with shell",2018,15514,hg/ha,Yield
40,Chile,"Hazelnuts, with shell",2019,14323,hg/ha,Yield
40,Chile,"Walnuts, with shell",1985,12000,hg/ha,Yield
40,Chile,"Walnuts, with shell",1986,12000,hg/ha,Yield
40,Chile,"Walnuts, with shell",1987,11957,hg/ha,Yield
40,Chile,"Walnuts, with shell",1988,13103,hg/ha,Yield
40,Chile,"Walnuts, with shell",1989,12679,hg/ha,Yield
40,Chile,"Walnuts, with shell",1990,13047,hg/ha,Yield
40,Chile,"Walnuts, with shell",1991,12940,hg/ha,Yield
40,Chile,"Walnuts, with shell",1992,10069,hg/ha,Yield
40,Chile,"Walnuts, with shell",1993,14101,hg/ha,Yield
40,Chile,"Walnuts, with shell",1994,13139,hg/ha,Yield
40,Chile,"Walnuts, with shell",1995,14454,hg/ha,Yield
40,Chile,"Walnuts, with shell",1996,16318,hg/ha,Yield
40,Chile,"Walnuts, with shell",1997,13861,hg/ha,Yield
40,Chile,"Walnuts, with shell",1998,13784,hg/ha,Yield
40,Chile,"Walnuts, with shell",1999,14276,hg/ha,Yield
40,Chile,"Walnuts, with shell",2000,14524,hg/ha,Yield
40,Chile,"Walnuts, with shell",2001,15913,hg/ha,Yield
40,Chile,"Walnuts, with shell",2002,16185,hg/ha,Yield
40,Chile,"Walnuts, with shell",2003,15169,hg/ha,Yield
40,Chile,"Walnuts, with shell",2004,15710,hg/ha,Yield
40,Chile,"Walnuts, with shell",2005,15104,hg/ha,Yield
40,Chile,"Walnuts, with shell",2006,26804,hg/ha,Yield
40,Chile,"Walnuts, with shell",2007,19905,hg/ha,Yield
40,Chile,"Walnuts, with shell",2008,21622,hg/ha,Yield
40,Chile,"Walnuts, with shell",2009,20635,hg/ha,Yield
40,Chile,"Walnuts, with shell",2010,20859,hg/ha,Yield
40,Chile,"Walnuts, with shell",2011,21520,hg/ha,Yield
40,Chile,"Walnuts, with shell",2012,21942,hg/ha,Yield
40,Chile,"Walnuts, with shell",2013,22419,hg/ha,Yield
40,Chile,"Walnuts, with shell",2014,28684,hg/ha,Yield
40,Chile,"Walnuts, with shell",2015,32211,hg/ha,Yield
40,Chile,"Walnuts, with shell",2016,29066,hg/ha,Yield
40,Chile,"Walnuts, with shell",2017,28347,hg/ha,Yield
40,Chile,"Walnuts, with shell",2018,29876,hg/ha,Yield
40,Chile,"Walnuts, with shell",2019,30134,hg/ha,Yield
44,Colombia,"Cashew nuts, with shell",1991,132581,hg/ha,Yield
44,Colombia,"Cashew nuts, with shell",1992,128411,hg/ha,Yield
44,Colombia,"Cashew nuts, with shell",1993,124123,hg/ha,Yield
44,Colombia,"Cashew nuts, with shell",1994,119940,hg/ha,Yield
44,Colombia,"Cashew nuts, with shell",1995,115541,hg/ha,Yield
44,Colombia,"Cashew nuts, with shell",1996,111313,hg/ha,Yield
44,Colombia,"Cashew nuts, with shell",1997,107150,hg/ha,Yield
44,Colombia,"Cashew nuts, with shell",1998,102832,hg/ha,Yield
44,Colombia,"Cashew nuts, with shell",1999,98663,hg/ha,Yield
44,Colombia,"Cashew nuts, with shell",2000,94383,hg/ha,Yield
44,Colombia,"Cashew nuts, with shell",2001,90165,hg/ha,Yield
44,Colombia,"Cashew nuts, with shell",2002,85889,hg/ha,Yield
44,Colombia,"Cashew nuts, with shell",2003,81660,hg/ha,Yield
44,Colombia,"Cashew nuts, with shell",2004,77346,hg/ha,Yield
44,Colombia,"Cashew nuts, with shell",2005,72947,hg/ha,Yield
44,Colombia,"Cashew nuts, with shell",2006,68552,hg/ha,Yield
44,Colombia,"Cashew nuts, with shell",2007,64182,hg/ha,Yield
44,Colombia,"Cashew nuts, with shell",2008,59835,hg/ha,Yield
44,Colombia,"Cashew nuts, with shell",2009,55437,hg/ha,Yield
44,Colombia,"Cashew nuts, with shell",2010,54567,hg/ha,Yield
44,Colombia,"Cashew nuts, with shell",2011,48084,hg/ha,Yield
44,Colombia,"Cashew nuts, with shell",2012,41827,hg/ha,Yield
44,Colombia,"Cashew nuts, with shell",2013,40574,hg/ha,Yield
44,Colombia,"Cashew nuts, with shell",2014,39401,hg/ha,Yield
44,Colombia,"Cashew nuts, with shell",2015,23120,hg/ha,Yield
44,Colombia,"Cashew nuts, with shell",2016,23120,hg/ha,Yield
44,Colombia,"Cashew nuts, with shell",2017,21106,hg/ha,Yield
44,Colombia,"Cashew nuts, with shell",2018,19662,hg/ha,Yield
44,Colombia,"Cashew nuts, with shell",2019,23444,hg/ha,Yield
56,Dominican Republic,"Cashew nuts, with shell",1985,1820,hg/ha,Yield
56,Dominican Republic,"Cashew nuts, with shell",1986,1840,hg/ha,Yield
56,Dominican Republic,"Cashew nuts, with shell",1987,1840,hg/ha,Yield
56,Dominican Republic,"Cashew nuts, with shell",1988,1840,hg/ha,Yield
56,Dominican Republic,"Cashew nuts, with shell",1989,1860,hg/ha,Yield
56,Dominican Republic,"Cashew nuts, with shell",1990,1921,hg/ha,Yield
56,Dominican Republic,"Cashew nuts, with shell",1991,1620,hg/ha,Yield
56,Dominican Republic,"Cashew nuts, with shell",1992,1618,hg/ha,Yield
56,Dominican Republic,"Cashew nuts, with shell",1993,1616,hg/ha,Yield
56,Dominican Republic,"Cashew nuts, with shell",1994,1614,hg/ha,Yield
56,Dominican Republic,"Cashew nuts, with shell",1995,1612,hg/ha,Yield
56,Dominican Republic,"Cashew nuts, with shell",1996,1610,hg/ha,Yield
56,Dominican Republic,"Cashew nuts, with shell",1997,1706,hg/ha,Yield
56,Dominican Republic,"Cashew nuts, with shell",1998,1707,hg/ha,Yield
56,Dominican Republic,"Cashew nuts, with shell",1999,1727,hg/ha,Yield
56,Dominican Republic,"Cashew nuts, with shell",2000,1722,hg/ha,Yield
56,Dominican Republic,"Cashew nuts, with shell",2001,1714,hg/ha,Yield
56,Dominican Republic,"Cashew nuts, with shell",2002,1706,hg/ha,Yield
56,Dominican Republic,"Cashew nuts, with shell",2003,1724,hg/ha,Yield
56,Dominican Republic,"Cashew nuts, with shell",2004,1683,hg/ha,Yield
56,Dominican Republic,"Cashew nuts, with shell",2005,1663,hg/ha,Yield
56,Dominican Republic,"Cashew nuts, with shell",2006,1643,hg/ha,Yield
56,Dominican Republic,"Cashew nuts, with shell",2007,1737,hg/ha,Yield
56,Dominican Republic,"Cashew nuts, with shell",2008,1739,hg/ha,Yield
56,Dominican Republic,"Cashew nuts, with shell",2009,1507,hg/ha,Yield
56,Dominican Republic,"Cashew nuts, with shell",2010,1404,hg/ha,Yield
56,Dominican Republic,"Cashew nuts, with shell",2011,1292,hg/ha,Yield
56,Dominican Republic,"Cashew nuts, with shell",2012,933,hg/ha,Yield
56,Dominican Republic,"Cashew nuts, with shell",2013,933,hg/ha,Yield
56,Dominican Republic,"Cashew nuts, with shell",2014,1055,hg/ha,Yield
56,Dominican Republic,"Cashew nuts, with shell",2015,1038,hg/ha,Yield
56,Dominican Republic,"Cashew nuts, with shell",2016,981,hg/ha,Yield
56,Dominican Republic,"Cashew nuts, with shell",2017,933,hg/ha,Yield
56,Dominican Republic,"Cashew nuts, with shell",2018,882,hg/ha,Yield
56,Dominican Republic,"Cashew nuts, with shell",2019,690,hg/ha,Yield
60,El Salvador,"Cashew nuts, with shell",1961,8571,hg/ha,Yield
60,El Salvador,"Cashew nuts, with shell",1962,8571,hg/ha,Yield
60,El Salvador,"Cashew nuts, with shell",1963,8611,hg/ha,Yield
60,El Salvador,"Cashew nuts, with shell",1964,8611,hg/ha,Yield
60,El Salvador,"Cashew nuts, with shell",1965,8649,hg/ha,Yield
60,El Salvador,"Cashew nuts, with shell",1966,8649,hg/ha,Yield
60,El Salvador,"Cashew nuts, with shell",1967,8684,hg/ha,Yield
60,El Salvador,"Cashew nuts, with shell",1968,8462,hg/ha,Yield
60,El Salvador,"Cashew nuts, with shell",1969,8500,hg/ha,Yield
60,El Salvador,"Cashew nuts, with shell",1970,8293,hg/ha,Yield
60,El Salvador,"Cashew nuts, with shell",1971,8333,hg/ha,Yield
60,El Salvador,"Cashew nuts, with shell",1972,8140,hg/ha,Yield
60,El Salvador,"Cashew nuts, with shell",1973,8182,hg/ha,Yield
60,El Salvador,"Cashew nuts, with shell",1974,8222,hg/ha,Yield
60,El Salvador,"Cashew nuts, with shell",1975,8302,hg/ha,Yield
60,El Salvador,"Cashew nuts, with shell",1976,8302,hg/ha,Yield
60,El Salvador,"Cashew nuts, with shell",1977,8105,hg/ha,Yield
60,El Salvador,"Cashew nuts, with shell",1978,7884,hg/ha,Yield
60,El Salvador,"Cashew nuts, with shell",1979,7886,hg/ha,Yield
60,El Salvador,"Cashew nuts, with shell",1980,7886,hg/ha,Yield
60,El Salvador,"Cashew nuts, with shell",1981,7886,hg/ha,Yield
60,El Salvador,"Cashew nuts, with shell",1982,7886,hg/ha,Yield
60,El Salvador,"Cashew nuts, with shell",1983,7950,hg/ha,Yield
60,El Salvador,"Cashew nuts, with shell",1984,7839,hg/ha,Yield
60,El Salvador,"Cashew nuts, with shell",1985,7721,hg/ha,Yield
60,El Salvador,"Cashew nuts, with shell",1986,7886,hg/ha,Yield
60,El Salvador,"Cashew nuts, with shell",1987,6768,hg/ha,Yield
60,El Salvador,"Cashew nuts, with shell",1988,6636,hg/ha,Yield
60,El Salvador,"Cashew nuts, with shell",1989,7229,hg/ha,Yield
60,El Salvador,"Cashew nuts, with shell",1990,7493,hg/ha,Yield
60,El Salvador,"Cashew nuts, with shell",1991,7143,hg/ha,Yield
60,El Salvador,"Cashew nuts, with shell",1992,6857,hg/ha,Yield
60,El Salvador,"Cashew nuts, with shell",1993,7018,hg/ha,Yield
60,El Salvador,"Cashew nuts, with shell",1994,7000,hg/ha,Yield
60,El Salvador,"Cashew nuts, with shell",1995,6977,hg/ha,Yield
60,El Salvador,"Cashew nuts, with shell",1996,7229,hg/ha,Yield
