calib_targets,sector
mcf_lsmm_anaerobic_digester,AFOLU
frac_lsmm_n_loss_volatilisation_storage_solid,AFOLU
mcf_lsmm_dry_lot,AFOLU
frac_lsmm_n_loss_volatilisation_poultry_manure,AFOLU
frac_lsmm_n_loss_volatilisation_liquid_slurry,AFOLU
frac_lsmm_n_loss_volatilisation_incineration,AFOLU
frac_lsmm_n_loss_volatilisation_dry_lot,AFOLU
frac_lsmm_n_loss_volatilisation_deep_bedding,AFOLU
frac_lsmm_n_loss_volatilisation_daily_spread,AFOLU
frac_lsmm_n_loss_volatilisation_composting,AFOLU
frac_lsmm_n_loss_volatilisation_paddock_pasture_range,AFOLU
mcf_lsmm_incineration,AFOLU
mcf_lsmm_liquid_slurry,AFOLU
mcf_lsmm_paddock_pasture_range,AFOLU
frac_lndu_soil_mineral_forests_mangroves,AFOLU
frac_lndu_soil_mineral_croplands,AFOLU
ef_soil_ef4_n_volatilisation_n2o_wet_climate,AFOLU
ef_soil_ef2_n_drained_managed_soils_n2o_tropical_forest_kg_n2on_ha,AFOLU
ef_soil_ef2_n_drained_managed_soils_n2o_tropical_crop_grass_kg_n2on_ha,AFOLU
ef_soil_ef2_n_drained_managed_soils_n2o_temperate_forest_nutrient_rich_kg_n2on_ha,AFOLU
ef_soil_ef2_n_drained_managed_soils_n2o_temperate_forest_nutrient_poor_kg_n2on_ha,AFOLU
ef_soil_ef2_n_drained_managed_soils_n2o_temperate_crop_grass_kg_n2on_ha,AFOLU
ef_soil_ef1_n_synthetic_fertilizer_n2o_wet_climate,AFOLU
ef_soil_ef1_n_organic_amerndments_fertilizer_n2o_wet_climate,AFOLU
ef_soil_c_liming_limestone,AFOLU
ef_soil_c_liming_dolomite,AFOLU
ratio_lsmm_n2_to_n2o,AFOLU
mcf_lsmm_storage_solid,AFOLU
mcf_lsmm_poultry_manure,AFOLU
frac_lsmm_n_loss_volatilisation_anaerobic_lagoon,AFOLU
frac_lsmm_n_loss_volatilisation_anaerobic_digester,AFOLU
frac_lsmm_n_loss_leaching_poultry_manure,AFOLU
frac_lsmm_n_loss_leaching_paddock_pasture_range,AFOLU
ef_lsmm_direct_management_anaerobic_digester_n2o_per_n,AFOLU
physparam_lvst_bo_sheep_kg_ch4_kg_manure,AFOLU
physparam_lvst_bo_pigs_kg_ch4_kg_manure,AFOLU
physparam_lvst_bo_mules_kg_ch4_kg_manure,AFOLU
physparam_lvst_bo_horses_kg_ch4_kg_manure,AFOLU
physparam_lvst_bo_goats_kg_ch4_kg_manure,AFOLU
