,Nation,Year,personas,rural_pob_share,urban_pob_share
846,costa_rica,1963,1486555.0,0.6539400000000001,0.34606000000000003
857,dominican_republic,1963,3638110.0,0.66948,0.33052
864,ecuador,1963,4948991.0,0.6439400000000001,0.35606000000000004
890,guatemala,1963,4508444.0,0.6691400000000001,0.33086
892,guyana,1963,622580.0,0.70871,0.29129
895,honduras,1963,2216712.0,0.75509,0.24491
898,haiti,1963,4097755.0,0.83238,0.16762
915,jamaica,1963,1703660.0,0.64015,0.35985
952,mexico,1963,41462373.0,0.46735,0.53265
973,nicaragua,1963,1946240.0,0.58995,0.41005
983,panama,1963,1238893.0,0.56863,0.43137000000000003
984,peru,1963,11062295.0,0.50368,0.49632
993,paraguay,1963,2060340.0,0.6408400000000001,0.35916
1009,el_salvador,1963,3019224.0,0.61271,0.38728999999999997
1048,uruguay,1963,2635125.0,0.19100999999999999,0.80899
1073,argentina,1964,21824427.0,0.24156,0.7584399999999999
1087,bahamas,1964,133705.0,0.37357999999999997,0.62642
1090,belize,1964,103069.0,0.4721,0.5279
1093,brazil,1964,81064572.0,0.49941,0.50059
1094,barbados,1964,234588.0,0.62932,0.37067999999999995
1103,chile,1964,8821855.0,0.29045000000000004,0.70955
1109,colombia,1964,18175187.0,0.47973,0.52027
1112,costa_rica,1964,1539942.0,0.64803,0.35197
1123,dominican_republic,1964,3757123.0,0.6595399999999999,0.34046
1130,ecuador,1964,5093848.0,0.63878,0.36122
1156,guatemala,1964,4640795.0,0.66318,0.33682
1158,guyana,1964,637835.0,0.70831,0.29169
1161,honduras,1964,2280044.0,0.7490600000000001,0.25094
1164,haiti,1964,4177631.0,0.82832,0.17168
1181,jamaica,1964,1730739.0,0.6325999999999999,0.3674
1218,mexico,1964,42771077.0,0.45899999999999996,0.541
1239,nicaragua,1964,2006478.0,0.58145,0.41855
1249,panama,1964,1276331.0,0.56216,0.43784
1250,peru,1964,11383364.0,0.49248,0.50752
1259,paraguay,1964,2115573.0,0.63921,0.36079
1275,el_salvador,1964,3109571.0,0.6117,0.3883
1314,uruguay,1964,2665383.0,0.18886,0.8111400000000001
1339,argentina,1965,22159644.0,0.23631,0.76369
1353,bahamas,1965,140060.0,0.36656999999999995,0.63343
1356,belize,1965,106120.0,0.47519,0.52481
1359,brazil,1965,83373533.0,0.48963,0.51037
1360,barbados,1965,235415.0,0.62859,0.37140999999999996
1369,chile,1965,8989607.0,0.28303999999999996,0.7169599999999999
1375,colombia,1965,18725242.0,0.4718,0.5282
1378,costa_rica,1965,1592834.0,0.64209,0.35790999999999995
1389,dominican_republic,1965,3877768.0,0.64948,0.35052
1396,ecuador,1965,5243980.0,0.6335999999999999,0.3664
1422,guatemala,1965,4774984.0,0.66011,0.33988999999999997
1424,guyana,1965,651865.0,0.7079099999999999,0.29209
1427,honduras,1965,2346005.0,0.7429600000000001,0.25704
1430,haiti,1965,4258734.0,0.8242,0.17579999999999998
1447,jamaica,1965,1756508.0,0.62501,0.37499000000000005
1484,mexico,1965,44123863.0,0.45069000000000004,0.54931
1505,nicaragua,1965,2068379.0,0.5729299999999999,0.42707
1515,panama,1965,1314679.0,0.55569,0.44431
1516,peru,1965,11711402.0,0.48131999999999997,0.51868
1525,paraguay,1965,2172309.0,0.63757,0.36243000000000003
1541,el_salvador,1965,3201310.0,0.6106900000000001,0.38931
1580,uruguay,1965,2694537.0,0.18672,0.81328
1605,argentina,1966,22494031.0,0.23112,0.76888
1619,bahamas,1966,146381.0,0.35960000000000003,0.6404000000000001
1622,belize,1966,109348.0,0.4783,0.5217
1625,brazil,1966,85696502.0,0.47984000000000004,0.52016
1626,barbados,1966,236084.0,0.62786,0.37213999999999997
1635,chile,1966,9152848.0,0.27573000000000003,0.7242700000000001
1641,colombia,1966,19279734.0,0.46413,0.5358700000000001
1644,costa_rica,1966,1645076.0,0.6361,0.3639
1655,dominican_republic,1966,3999796.0,0.63927,0.36073
1662,ecuador,1966,5399423.0,0.62838,0.37162
1688,guatemala,1966,4910790.0,0.6570199999999999,0.34298
1690,guyana,1966,664518.0,0.7075100000000001,0.29248999999999997
1693,honduras,1966,2414805.0,0.73675,0.26325
1696,haiti,1966,4341325.0,0.81999,0.18001
1713,jamaica,1966,1780522.0,0.61735,0.38265
1750,mexico,1966,45519746.0,0.44238999999999995,0.55761
1771,nicaragua,1966,2131973.0,0.56435,0.43565
1781,panama,1966,1353847.0,0.5492,0.4508
1782,peru,1966,12045783.0,0.47017000000000003,0.52983
1791,paraguay,1966,2230733.0,0.63593,0.36406999999999995
1807,el_salvador,1966,3293954.0,0.6096699999999999,0.39033
1846,uruguay,1966,2722871.0,0.18461,0.8153900000000001
1871,argentina,1967,22828872.0,0.22602,0.77398
1885,bahamas,1967,152621.0,0.3527,0.6473
1888,belize,1967,112707.0,0.4814,0.5186
1891,brazil,1967,88035815.0,0.47007,0.52993
1892,barbados,1967,236661.0,0.62713,0.37287
1901,chile,1967,9312091.0,0.26854,0.73146
1907,colombia,1967,19837508.0,0.45648000000000005,0.54352
1910,costa_rica,1967,1696742.0,0.63007,0.36993000000000004
1921,dominican_republic,1967,4123100.0,0.6289399999999999,0.37106
1928,ecuador,1967,5560013.0,0.62314,0.37686
1954,guatemala,1967,5047435.0,0.65392,0.34607999999999994
1956,guyana,1967,675861.0,0.70711,0.29289000000000004
1959,honduras,1967,2486418.0,0.73045,0.26954999999999996
1962,haiti,1967,4425318.0,0.8157099999999999,0.18428999999999998
1979,jamaica,1967,1803324.0,0.60964,0.39036000000000004
2016,mexico,1967,46956208.0,0.43412999999999996,0.56587
2037,nicaragua,1967,2197303.0,0.5557300000000001,0.44427
2047,panama,1967,1393824.0,0.54268,0.45732
2048,peru,1967,12386868.0,0.45904000000000006,0.54096
2057,paraguay,1967,2290797.0,0.63429,0.36571
2073,el_salvador,1967,3387384.0,0.60866,0.39134
2112,uruguay,1967,2750091.0,0.18251,0.8174899999999999
2137,argentina,1968,23168268.0,0.22099,0.77901
2151,bahamas,1968,158648.0,0.34584000000000004,0.65416
2154,belize,1968,116065.0,0.48451,0.51549
2157,brazil,1968,90387079.0,0.4603,0.5397
2158,barbados,1968,237241.0,0.6264,0.3736
2167,chile,1968,9468851.0,0.26146,0.73854
2173,colombia,1968,20393704.0,0.44883,0.5511699999999999
2176,costa_rica,1968,1747690.0,0.62399,0.37601
2187,dominican_republic,1968,4247559.0,0.61847,0.38153
2194,ecuador,1968,5725462.0,0.61785,0.38215000000000005
2220,guatemala,1968,5184095.0,0.65081,0.34918999999999994
2222,guyana,1968,686144.0,0.7067100000000001,0.29329
2225,honduras,1968,2560723.0,0.72404,0.27596
2228,haiti,1968,4509811.0,0.81134,0.18866
2245,jamaica,1968,1825873.0,0.60185,0.39815
2282,mexico,1968,48431971.0,0.42589,0.57411
2303,nicaragua,1968,2264623.0,0.5470700000000001,0.45293
2313,panama,1968,1434676.0,0.53615,0.46385
2314,peru,1968,12735491.0,0.44793,0.5520700000000001
2323,paraguay,1968,2351926.0,0.63265,0.36735
2339,el_salvador,1968,3481624.0,0.6076400000000001,0.39236
2378,uruguay,1968,2774761.0,0.18042000000000002,0.81958
2403,argentina,1969,23517613.0,0.21606000000000003,0.7839400000000001
2417,bahamas,1969,164265.0,0.33907,0.66093
2420,belize,1969,119269.0,0.48762,0.51238
2423,brazil,1969,92746607.0,0.4506,0.5494
2424,barbados,1969,237963.0,0.62567,0.37433
2433,chile,1969,9625304.0,0.25453,0.74547
2439,colombia,1969,20942453.0,0.44122999999999996,0.55877
2442,costa_rica,1969,1797891.0,0.61788,0.38212
2453,dominican_republic,1969,4373127.0,0.60793,0.39207000000000003
2460,ecuador,1969,5895368.0,0.61256,0.38744
2486,guatemala,1969,5320100.0,0.64768,0.35231999999999997
2488,guyana,1969,695743.0,0.70631,0.29369
2491,honduras,1969,2637515.0,0.71756,0.28244
2494,haiti,1969,4593666.0,0.8069,0.1931
2511,jamaica,1969,1849658.0,0.59404,0.40596
2548,mexico,1969,49945278.0,0.41771,0.58229
2569,nicaragua,1969,2334285.0,0.5384,0.46159999999999995
2579,panama,1969,1476481.0,0.52962,0.47037999999999996
2580,peru,1969,13092846.0,0.43691,0.56309
2589,paraguay,1969,2413396.0,0.631,0.369
2605,el_salvador,1969,3576834.0,0.60663,0.39337000000000005
2644,uruguay,1969,2795037.0,0.17836,0.82164
2669,argentina,1970,23880564.0,0.2112,0.7888
2683,bahamas,1970,169376.0,0.33236,0.66764
2686,belize,1970,122184.0,0.49037,0.50963
2689,brazil,1970,95113265.0,0.44091,0.55909
2690,barbados,1970,238895.0,0.6245,0.37549999999999994
2699,chile,1970,9783134.0,0.24773,0.75227
2705,colombia,1970,21480064.0,0.43365000000000004,0.56635
2708,costa_rica,1970,1847394.0,0.61173,0.38827
2719,dominican_republic,1970,4499722.0,0.59726,0.40274
2726,ecuador,1970,6069375.0,0.60722,0.39277999999999996
2752,guatemala,1970,5455197.0,0.64455,0.35545000000000004
2754,guyana,1970,704930.0,0.70575,0.29425
2757,honduras,1970,2716652.0,0.71098,0.28902
2760,haiti,1970,4676237.0,0.80238,0.19762000000000002
2777,jamaica,1970,1875637.0,0.5867600000000001,0.41324
2814,mexico,1970,51493565.0,0.40979,0.59021
2835,nicaragua,1970,2406523.0,0.5297,0.4703
2845,panama,1970,1519286.0,0.5236,0.4764
2846,peru,1970,13459789.0,0.42594,0.57406
2855,paraguay,1970,2474757.0,0.6293500000000001,0.37065
2871,el_salvador,1970,3673066.0,0.60561,0.39439
2910,uruguay,1970,2809799.0,0.17632,0.82368
2935,argentina,1971,24259564.0,0.20678999999999997,0.79321
2949,bahamas,1971,173894.0,0.32571,0.6742900000000001
2952,belize,1971,124795.0,0.49195,0.50805
2955,brazil,1971,97482928.0,0.43106,0.56894
2956,barbados,1971,240093.0,0.6219100000000001,0.37809
2965,chile,1971,9942716.0,0.24117,0.75883
2971,colombia,1971,22003983.0,0.4261,0.5739
2974,costa_rica,1971,1896074.0,0.60555,0.39445
2985,dominican_republic,1971,4627202.0,0.58649,0.41351
2992,ecuador,1971,6247421.0,0.60187,0.39813000000000004
3018,guatemala,1971,5589563.0,0.6413899999999999,0.35861
3020,guyana,1971,713684.0,0.70467,0.29533000000000004
3023,honduras,1971,2798125.0,0.70431,0.29569
3026,haiti,1971,4757175.0,0.79778,0.20222
3043,jamaica,1971,1904281.0,0.58142,0.41857999999999995
3080,mexico,1971,53076366.0,0.40220999999999996,0.59779
3101,nicaragua,1971,2481345.0,0.52215,0.47784999999999994
3111,panama,1971,1563093.0,0.52081,0.47918999999999995
3112,peru,1971,13836365.0,0.41503999999999996,0.58496
3121,paraguay,1971,2535877.0,0.6277,0.37229999999999996
3137,el_salvador,1971,3770060.0,0.60456,0.39543999999999996
3176,uruguay,1971,2818283.0,0.1743,0.8256999999999999
3201,argentina,1972,24653172.0,0.20257000000000003,0.79743
3215,bahamas,1972,177863.0,0.31912,0.6808799999999999
3218,belize,1972,127152.0,0.49354,0.50646
3221,brazil,1972,99859388.0,0.42121000000000003,0.57879
3222,barbados,1972,241523.0,0.6193,0.3807
3231,chile,1972,10103675.0,0.23472,0.7652800000000001
3237,colombia,1972,22516429.0,0.41857,0.58143
3240,costa_rica,1972,1944170.0,0.5993200000000001,0.40068
3251,dominican_republic,1972,4755464.0,0.57563,0.42436999999999997
3258,ecuador,1972,6429377.0,0.59648,0.40352
3284,guatemala,1972,5723759.0,0.63823,0.36177
3286,guyana,1972,721949.0,0.7035899999999999,0.29641
3289,honduras,1972,2882102.0,0.69754,0.30246
3292,haiti,1972,4837334.0,0.7967700000000001,0.20323
3309,jamaica,1972,1935089.0,0.57605,0.42395000000000005
3346,mexico,1972,54689944.0,0.39468000000000003,0.60532
3367,nicaragua,1972,2558705.0,0.51937,0.48063
3377,panama,1972,1607797.0,0.51801,0.48199
3378,peru,1972,14221954.0,0.40453000000000006,0.5954699999999999
3387,paraguay,1972,2597149.0,0.62604,0.37396
3403,el_salvador,1972,3867310.0,0.59957,0.40043
3442,uruguay,1972,2821458.0,0.17229,0.8277100000000001
3467,argentina,1973,25056475.0,0.19841999999999999,0.80158
3481,bahamas,1973,181519.0,0.31262,0.68738
3484,belize,1973,129294.0,0.49512,0.50488
3487,brazil,1973,102259497.0,0.41145000000000004,0.58855
3488,barbados,1973,243076.0,0.61669,0.38331000000000004
3497,chile,1973,10265827.0,0.22841,0.7715900000000001
3503,colombia,1973,23024512.0,0.4111,0.5889
3506,costa_rica,1973,1992522.0,0.59345,0.40655
3517,dominican_republic,1973,4884460.0,0.56473,0.43527
3524,ecuador,1973,6614840.0,0.5910799999999999,0.40892
3550,guatemala,1973,5858466.0,0.63506,0.36494
3552,guyana,1973,729909.0,0.7025,0.2975
3555,honduras,1973,2968978.0,0.6907,0.3093
3558,haiti,1973,4918625.0,0.7965000000000001,0.20350000000000001
3575,jamaica,1973,1966978.0,0.57067,0.42933
3612,mexico,1973,56324310.0,0.38720999999999994,0.6127900000000001
3633,nicaragua,1973,2638699.0,0.51659,0.48341
3643,panama,1973,1653208.0,0.5152100000000001,0.48479
3644,peru,1973,14615847.0,0.39812,0.60188
3653,paraguay,1973,2659418.0,0.6208400000000001,0.37915999999999994
3669,el_salvador,1973,3964273.0,0.59457,0.40543
3708,uruguay,1973,2822112.0,0.1703,0.8297
3733,argentina,1974,25462305.0,0.19433,0.8056699999999999
3747,bahamas,1974,185105.0,0.30619,0.69381
3750,belize,1974,131305.0,0.49671,0.50329
3753,brazil,1974,104706193.0,0.40174,0.59826
3754,barbados,1974,244643.0,0.61408,0.38592
3763,chile,1974,10428803.0,0.22222,0.77778
3769,colombia,1974,23538390.0,0.40393,0.59607
3772,costa_rica,1974,2042242.0,0.58998,0.41002000000000005
3783,dominican_republic,1974,5014187.0,0.55374,0.44626
3790,ecuador,1974,6803271.0,0.58543,0.41457
3816,guatemala,1974,5994300.0,0.63191,0.36809
3818,guyana,1974,737846.0,0.7014199999999999,0.29858
3821,honduras,1974,3059245.0,0.6842900000000001,0.31571
3824,haiti,1974,5003708.0,0.79623,0.20376999999999998
3841,jamaica,1974,1998313.0,0.56528,0.43472
3878,mexico,1974,57966812.0,0.37978,0.62022
3899,nicaragua,1974,2721417.0,0.5138,0.48619999999999997
3909,panama,1974,1699056.0,0.51241,0.48759
3910,peru,1974,15017060.0,0.39173,0.60827
3919,paraguay,1974,2723816.0,0.61553,0.38447000000000003
3935,el_salvador,1974,4060255.0,0.58954,0.41046
3974,uruguay,1974,2824095.0,0.16832999999999998,0.83167
3999,argentina,1975,25865775.0,0.19030999999999998,0.8096899999999999
4013,bahamas,1975,188895.0,0.29983,0.70017
4016,belize,1975,133264.0,0.49829,0.50171
4019,brazil,1975,107216209.0,0.39210999999999996,0.60789
4020,barbados,1975,246158.0,0.61145,0.38854999999999995
4029,chile,1975,10592310.0,0.21614,0.78386
4035,colombia,1975,24065502.0,0.39694,0.6030599999999999
4038,costa_rica,1975,2094186.0,0.5865100000000001,0.41348999999999997
4049,dominican_republic,1975,5144632.0,0.54271,0.45729
4056,ecuador,1975,6994331.0,0.57637,0.42363
4082,guatemala,1975,6131151.0,0.62875,0.37125
4084,guyana,1975,745847.0,0.70033,0.29967
4087,honduras,1975,3153252.0,0.6789000000000001,0.3211
4090,haiti,1975,5094570.0,0.79596,0.20404
4107,jamaica,1975,2028019.0,0.55987,0.44012999999999997
4144,mexico,1975,59607947.0,0.37241,0.62759
4165,nicaragua,1975,2806859.0,0.5110199999999999,0.48898
4175,panama,1975,1745142.0,0.5096200000000001,0.49038
4176,peru,1975,15424745.0,0.38539,0.61461
4185,paraguay,1975,2791236.0,0.61019,0.38981
4201,el_salvador,1975,4154689.0,0.58449,0.41551000000000005
4240,uruguay,1975,2830172.0,0.16613,0.83387
4265,argentina,1976,26264681.0,0.18634,0.81366
4279,bahamas,1976,192903.0,0.29353,0.70647
4282,belize,1976,135143.0,0.49988,0.50012
4285,brazil,1976,109790943.0,0.38255,0.6174499999999999
4286,barbados,1976,247584.0,0.60882,0.39118
4295,chile,1976,10756876.0,0.21018,0.78982
4301,colombia,1976,24608102.0,0.38997,0.61003
4304,costa_rica,1976,2148681.0,0.58302,0.41698
4315,dominican_republic,1976,5275767.0,0.53162,0.46838
4322,ecuador,1976,7187794.0,0.56724,0.43276000000000003
4348,guatemala,1976,6269983.0,0.6255700000000001,0.37443
4350,guyana,1976,754101.0,0.6992400000000001,0.30076
4353,honduras,1976,3251145.0,0.6734699999999999,0.32653
4356,haiti,1976,5191637.0,0.79569,0.20431000000000002
4373,jamaica,1976,2055371.0,0.55443,0.44557
4410,mexico,1976,61242189.0,0.36509,0.63491
4431,nicaragua,1976,2894967.0,0.50823,0.49177
4441,panama,1976,1791389.0,0.50681,0.49319
4442,peru,1976,15838568.0,0.37906999999999996,0.62093
4451,paraguay,1976,2861868.0,0.60482,0.39518000000000003
4467,el_salvador,1976,4247508.0,0.57942,0.42058
4506,uruguay,1976,2841371.0,0.16194,0.83806
4531,argentina,1977,26661397.0,0.18245,0.81755
4545,bahamas,1977,197100.0,0.28734000000000004,0.7126600000000001
4548,belize,1977,136990.0,0.50146,0.49854
4551,brazil,1977,112425392.0,0.37311,0.62689
4552,barbados,1977,248931.0,0.60619,0.39381
4561,chile,1977,10922777.0,0.20434999999999998,0.79565
4567,colombia,1977,25164544.0,0.38307,0.61693
4570,costa_rica,1977,2205618.0,0.57954,0.42046
4581,dominican_republic,1977,5407496.0,0.52052,0.47948
4588,ecuador,1977,7383713.0,0.55809,0.44191
4614,guatemala,1977,6412667.0,0.62238,0.37762
4616,guyana,1977,762424.0,0.69814,0.30186
4619,honduras,1977,3352825.0,0.6679999999999999,0.332
4622,haiti,1977,5294625.0,0.79541,0.20459
4639,jamaica,1977,2080824.0,0.5489999999999999,0.451
4676,mexico,1977,62869908.0,0.35784999999999995,0.64215
4697,nicaragua,1977,2985480.0,0.50544,0.49456000000000006
4707,panama,1977,1837804.0,0.50402,0.49598
4708,peru,1977,16258323.0,0.37281,0.62719
4717,paraguay,1977,2935710.0,0.59944,0.40055999999999997
4733,el_salvador,1977,4338451.0,0.57435,0.42565
4772,uruguay,1977,2856958.0,0.15785,0.8421500000000001
4797,argentina,1978,27061041.0,0.17861000000000002,0.82139
4811,bahamas,1978,201482.0,0.28120999999999996,0.71879
4814,belize,1978,138975.0,0.50305,0.49695
4817,brazil,1978,115121158.0,0.36375,0.63625
4818,barbados,1978,250200.0,0.60354,0.39646000000000003
4827,chile,1978,11089165.0,0.19864,0.80136
4833,colombia,1978,25733669.0,0.37621000000000004,0.62379
4836,costa_rica,1978,2264942.0,0.57604,0.42396
4847,dominican_republic,1978,5539596.0,0.50939,0.49061
4854,ecuador,1978,7582357.0,0.54889,0.45110999999999996
4880,guatemala,1978,6561919.0,0.61919,0.38081000000000004
4882,guyana,1978,770128.0,0.69705,0.30295
4885,honduras,1978,3458102.0,0.6624800000000001,0.33752000000000004
4888,haiti,1978,5404020.0,0.79514,0.20486000000000001
4905,jamaica,1978,2105903.0,0.54355,0.45645
4942,mexico,1978,64494872.0,0.35066,0.64934
4963,nicaragua,1978,3077861.0,0.50266,0.49734
4973,panama,1978,1884427.0,0.50121,0.49878999999999996
4974,peru,1978,16683451.0,0.36658999999999997,0.63341
4983,paraguay,1978,3013281.0,0.59402,0.40598
4999,el_salvador,1978,4426679.0,0.5692499999999999,0.43075
5038,uruguay,1978,2875724.0,0.15384,0.84616
5063,argentina,1979,27471046.0,0.17484000000000002,0.82516
5077,bahamas,1979,205991.0,0.27515999999999996,0.7248399999999999
5080,belize,1979,141302.0,0.50463,0.49537
5083,brazil,1979,117878412.0,0.35448999999999997,0.64551
5084,barbados,1979,251347.0,0.6009,0.39909999999999995
5093,chile,1979,11254877.0,0.19305,0.80695
5099,colombia,1979,26312996.0,0.36939,0.63061
5102,costa_rica,1979,2326460.0,0.57253,0.42747
5113,dominican_republic,1979,5671801.0,0.49825,0.5017499999999999
5120,ecuador,1979,7784074.0,0.53966,0.46033999999999997
5146,guatemala,1979,6720582.0,0.61598,0.38402000000000003
5148,guyana,1979,776257.0,0.69595,0.30405
5151,honduras,1979,3566661.0,0.65691,0.34308999999999995
5154,haiti,1979,5520187.0,0.79487,0.20513
5171,jamaica,1979,2132784.0,0.53809,0.46191000000000004
5208,mexico,1979,66123908.0,0.34354,0.65646
5229,nicaragua,1979,3171404.0,0.49987000000000004,0.50013
5239,panama,1979,1931302.0,0.49841,0.50159
5240,peru,1979,17113393.0,0.3604,0.6396000000000001
5249,paraguay,1979,3095151.0,0.5885900000000001,0.41141
5265,el_salvador,1979,4511127.0,0.56414,0.43585999999999997
5304,uruguay,1979,2895683.0,0.14991,0.85009
5329,argentina,1980,27896532.0,0.17113,0.82887
5343,bahamas,1980,210589.0,0.26898,0.73102
5346,belize,1980,144142.0,0.5062599999999999,0.49374
5349,brazil,1980,120694012.0,0.34531999999999996,0.65468
5350,barbados,1980,252388.0,0.5989800000000001,0.40102
5359,chile,1980,11419350.0,0.18757000000000001,0.81243
5365,colombia,1980,26900508.0,0.36262,0.63738
5368,costa_rica,1980,2389973.0,0.56901,0.43099
5379,dominican_republic,1980,5803929.0,0.48710000000000003,0.5129
5386,ecuador,1980,7989178.0,0.53039,0.46960999999999997
5412,guatemala,1980,6890346.0,0.6127600000000001,0.38724
5414,guyana,1980,780153.0,0.69512,0.30488
5417,honduras,1980,3678274.0,0.6513,0.34869999999999995
5420,haiti,1980,5643175.0,0.79459,0.20541
5437,jamaica,1980,2162839.0,0.53261,0.46738999999999997
5474,mexico,1980,67761367.0,0.33661,0.66339
5495,nicaragua,1980,3265520.0,0.49707999999999997,0.50292
5505,panama,1980,1978489.0,0.49552999999999997,0.50447
5506,peru,1980,17547612.0,0.35426,0.64574
5515,paraguay,1980,3181627.0,0.58312,0.41688000000000003
5531,el_salvador,1980,4591135.0,0.55901,0.44099
5570,uruguay,1980,2915389.0,0.14606,0.85394
5595,argentina,1981,28338514.0,0.16687000000000002,0.83313
5609,bahamas,1981,215321.0,0.26157,0.73843
5612,belize,1981,147572.0,0.50817,0.49183
5615,brazil,1981,123570327.0,0.33630000000000004,0.6637000000000001
5616,barbados,1981,253296.0,0.6017199999999999,0.39828
5625,chile,1981,11582020.0,0.18222000000000002,0.8177800000000001
5631,colombia,1981,27496608.0,0.35592,0.64408
5634,costa_rica,1981,2455593.0,0.5655,0.43450000000000005
5645,dominican_republic,1981,5935895.0,0.47598999999999997,0.5240100000000001
5652,ecuador,1981,8197648.0,0.52112,0.47888
5678,guatemala,1981,7071186.0,0.60953,0.39047
5680,guyana,1981,781734.0,0.69604,0.30396
5683,honduras,1981,3792922.0,0.64565,0.35435
5686,haiti,1981,5773367.0,0.79432,0.20568
5703,jamaica,1981,2196921.0,0.5271399999999999,0.47286
5740,mexico,1981,69407623.0,0.33130000000000004,0.6687000000000001
5761,nicaragua,1981,3360142.0,0.4943,0.5057
5771,panama,1981,2025965.0,0.49213999999999997,0.50786
5772,peru,1981,17985398.0,0.34818,0.6518200000000001
5781,paraguay,1981,3272922.0,0.57765,0.42235
5797,el_salvador,1981,4666361.0,0.5538799999999999,0.44612
5836,uruguay,1981,2934624.0,0.14231,0.8576900000000001
5861,argentina,1982,28794550.0,0.16241,0.8375900000000001
5875,bahamas,1982,220182.0,0.25428999999999996,0.74571
5878,belize,1982,151486.0,0.51008,0.48991999999999997
5881,brazil,1982,126498322.0,0.32738,0.67262
5882,barbados,1982,254078.0,0.60446,0.39554
5891,chile,1982,11743909.0,0.17774,0.82226
5897,colombia,1982,28101824.0,0.34926999999999997,0.6507299999999999
5900,costa_rica,1982,2523358.0,0.5619700000000001,0.43803
5911,dominican_republic,1982,6067769.0,0.46950000000000003,0.5305
5918,ecuador,1982,8409396.0,0.51182,0.48818
5944,guatemala,1982,7262658.0,0.6063000000000001,0.3937
