Nation,Year,value,model,iso_code3
barbados,2009,110.0,IPPU,BRB
barbados,2010,100.0,IPPU,BRB
barbados,2011,100.0,IPPU,BRB
barbados,2012,80.0,IPPU,BRB
barbados,2013,70.0,IPPU,BRB
barbados,2014,70.0,IPPU,BRB
barbados,2015,70.0,IPPU,BRB
barbados,2016,70.0,IPPU,BRB
barbados,2017,70.0,IPPU,BRB
barbados,2018,70.0,IPPU,BRB
barbados,2019,70.0,IPPU,BRB
belize,1990,0.0,IPPU,BLZ
belize,1991,0.0,IPPU,BLZ
belize,1992,0.0,IPPU,BLZ
belize,1993,0.0,IPPU,BLZ
belize,1994,0.0,IPPU,BLZ
belize,1995,0.0,IPPU,BLZ
belize,1996,0.0,IPPU,BLZ
belize,1997,0.0,IPPU,BLZ
belize,1998,0.0,IPPU,BLZ
belize,1999,0.0,IPPU,BLZ
belize,2000,0.0,IPPU,BLZ
belize,2001,0.0,IPPU,BLZ
belize,2002,0.0,IPPU,BLZ
belize,2003,0.0,IPPU,BLZ
belize,2004,0.0,IPPU,BLZ
belize,2005,0.0,IPPU,BLZ
belize,2006,0.0,IPPU,BLZ
belize,2007,0.0,IPPU,BLZ
belize,2008,0.0,IPPU,BLZ
belize,2009,0.0,IPPU,BLZ
belize,2010,0.0,IPPU,BLZ
belize,2011,0.0,IPPU,BLZ
belize,2012,0.0,IPPU,BLZ
belize,2013,0.0,IPPU,BLZ
belize,2014,0.0,IPPU,BLZ
belize,2015,0.0,IPPU,BLZ
belize,2016,0.0,IPPU,BLZ
belize,2017,0.0,IPPU,BLZ
belize,2018,0.0,IPPU,BLZ
belize,2019,0.0,IPPU,BLZ
bolivia,1990,250.0,IPPU,BOL
bolivia,1991,270.0,IPPU,BOL
bolivia,1992,270.0,IPPU,BOL
bolivia,1993,300.0,IPPU,BOL
bolivia,1994,350.0,IPPU,BOL
bolivia,1995,400.0,IPPU,BOL
bolivia,1996,420.0,IPPU,BOL
bolivia,1997,470.0,IPPU,BOL
bolivia,1998,530.0,IPPU,BOL
bolivia,1999,540.0,IPPU,BOL
bolivia,2000,480.0,IPPU,BOL
bolivia,2001,440.0,IPPU,BOL
bolivia,2002,440.0,IPPU,BOL
bolivia,2003,490.0,IPPU,BOL
bolivia,2004,550.0,IPPU,BOL
bolivia,2005,610.0,IPPU,BOL
bolivia,2006,690.0,IPPU,BOL
bolivia,2007,720.0,IPPU,BOL
bolivia,2008,800.0,IPPU,BOL
bolivia,2009,910.0,IPPU,BOL
bolivia,2010,950.0,IPPU,BOL
bolivia,2011,1040.0,IPPU,BOL
bolivia,2012,1060.0,IPPU,BOL
bolivia,2013,1200.0,IPPU,BOL
bolivia,2014,1320.0,IPPU,BOL
bolivia,2015,1370.0,IPPU,BOL
bolivia,2016,1420.0,IPPU,BOL
bolivia,2017,1420.0,IPPU,BOL
bolivia,2018,1440.0,IPPU,BOL
bolivia,2019,1440.0,IPPU,BOL
brazil,1990,11060.0,IPPU,BRA
brazil,1991,11780.0,IPPU,BRA
brazil,1992,9770.0,IPPU,BRA
brazil,1993,10160.0,IPPU,BRA
brazil,1994,10090.0,IPPU,BRA
brazil,1995,11530.0,IPPU,BRA
brazil,1996,13880.0,IPPU,BRA
brazil,1997,15270.0,IPPU,BRA
brazil,1998,16180.0,IPPU,BRA
brazil,1999,16440.0,IPPU,BRA
brazil,2000,16050.0,IPPU,BRA
brazil,2001,15230.0,IPPU,BRA
brazil,2002,14390.0,IPPU,BRA
brazil,2003,13100.0,IPPU,BRA
brazil,2004,13270.0,IPPU,BRA
brazil,2005,14350.0,IPPU,BRA
brazil,2006,15440.0,IPPU,BRA
brazil,2007,17200.0,IPPU,BRA
brazil,2008,18880.0,IPPU,BRA
brazil,2009,19030.0,IPPU,BRA
brazil,2010,21290.0,IPPU,BRA
brazil,2011,22850.0,IPPU,BRA
brazil,2012,25000.0,IPPU,BRA
brazil,2013,26650.0,IPPU,BRA
brazil,2014,26910.0,IPPU,BRA
brazil,2015,25080.0,IPPU,BRA
brazil,2016,22420.0,IPPU,BRA
brazil,2017,21030.0,IPPU,BRA
brazil,2018,20640.0,IPPU,BRA
brazil,2019,21030.0,IPPU,BRA
chile,1990,660.0,IPPU,CHL
chile,1991,770.0,IPPU,CHL
chile,1992,850.0,IPPU,CHL
chile,1993,860.0,IPPU,CHL
chile,1994,940.0,IPPU,CHL
chile,1995,990.0,IPPU,CHL
chile,1996,960.0,IPPU,CHL
chile,1997,950.0,IPPU,CHL
chile,1998,1130.0,IPPU,CHL
chile,1999,950.0,IPPU,CHL
chile,2000,1010.0,IPPU,CHL
chile,2001,1010.0,IPPU,CHL
chile,2002,1080.0,IPPU,CHL
chile,2003,1110.0,IPPU,CHL
chile,2004,1190.0,IPPU,CHL
chile,2005,1150.0,IPPU,CHL
chile,2006,1240.0,IPPU,CHL
chile,2007,1320.0,IPPU,CHL
chile,2008,1310.0,IPPU,CHL
chile,2009,1080.0,IPPU,CHL
chile,2010,1050.0,IPPU,CHL
chile,2011,1080.0,IPPU,CHL
chile,2012,1130.0,IPPU,CHL
chile,2013,1090.0,IPPU,CHL
chile,2014,1020.0,IPPU,CHL
chile,2015,1030.0,IPPU,CHL
chile,2016,1120.0,IPPU,CHL
chile,2017,870.0,IPPU,CHL
chile,2018,780.0,IPPU,CHL
chile,2019,780.0,IPPU,CHL
colombia,1990,2720.0,IPPU,COL
colombia,1991,2720.0,IPPU,COL
colombia,1992,2890.0,IPPU,COL
colombia,1993,3320.0,IPPU,COL
colombia,1994,3920.0,IPPU,COL
colombia,1995,3900.0,IPPU,COL
colombia,1996,3730.0,IPPU,COL
colombia,1997,3850.0,IPPU,COL
colombia,1998,3820.0,IPPU,COL
colombia,1999,2880.0,IPPU,COL
colombia,2000,3240.0,IPPU,COL
colombia,2001,3120.0,IPPU,COL
colombia,2002,3110.0,IPPU,COL
colombia,2003,3380.0,IPPU,COL
colombia,2004,3440.0,IPPU,COL
colombia,2005,4130.0,IPPU,COL
colombia,2006,4120.0,IPPU,COL
colombia,2007,4540.0,IPPU,COL
colombia,2008,4440.0,IPPU,COL
colombia,2009,3930.0,IPPU,COL
colombia,2010,4040.0,IPPU,COL
colombia,2011,4590.0,IPPU,COL
colombia,2012,5050.0,IPPU,COL
colombia,2013,4790.0,IPPU,COL
colombia,2014,5280.0,IPPU,COL
colombia,2015,5610.0,IPPU,COL
colombia,2016,5320.0,IPPU,COL
colombia,2017,5240.0,IPPU,COL
colombia,2018,5310.0,IPPU,COL
colombia,2019,5310.0,IPPU,COL
costa_rica,1990,270.0,IPPU,CRI
costa_rica,1991,300.0,IPPU,CRI
costa_rica,1992,300.0,IPPU,CRI
costa_rica,1993,370.0,IPPU,CRI
costa_rica,1994,400.0,IPPU,CRI
costa_rica,1995,370.0,IPPU,CRI
costa_rica,1996,360.0,IPPU,CRI
costa_rica,1997,400.0,IPPU,CRI
costa_rica,1998,460.0,IPPU,CRI
costa_rica,1999,470.0,IPPU,CRI
costa_rica,2000,450.0,IPPU,CRI
costa_rica,2001,510.0,IPPU,CRI
costa_rica,2002,500.0,IPPU,CRI
costa_rica,2003,470.0,IPPU,CRI
costa_rica,2004,620.0,IPPU,CRI
costa_rica,2005,820.0,IPPU,CRI
costa_rica,2006,570.0,IPPU,CRI
costa_rica,2007,920.0,IPPU,CRI
costa_rica,2008,830.0,IPPU,CRI
costa_rica,2009,830.0,IPPU,CRI
costa_rica,2010,500.0,IPPU,CRI
costa_rica,2011,550.0,IPPU,CRI
costa_rica,2012,540.0,IPPU,CRI
costa_rica,2013,570.0,IPPU,CRI
costa_rica,2014,580.0,IPPU,CRI
costa_rica,2015,620.0,IPPU,CRI
costa_rica,2016,620.0,IPPU,CRI
costa_rica,2017,700.0,IPPU,CRI
costa_rica,2018,740.0,IPPU,CRI
costa_rica,2019,740.0,IPPU,CRI
cuba,1990,1510.0,IPPU,CUB
cuba,1991,860.0,IPPU,CUB
cuba,1992,540.0,IPPU,CUB
cuba,1993,520.0,IPPU,CUB
cuba,1994,570.0,IPPU,CUB
cuba,1995,730.0,IPPU,CUB
cuba,1996,720.0,IPPU,CUB
cuba,1997,940.0,IPPU,CUB
cuba,1998,860.0,IPPU,CUB
cuba,1999,890.0,IPPU,CUB
cuba,2000,810.0,IPPU,CUB
cuba,2001,800.0,IPPU,CUB
cuba,2002,980.0,IPPU,CUB
cuba,2003,920.0,IPPU,CUB
cuba,2004,940.0,IPPU,CUB
cuba,2005,1070.0,IPPU,CUB
cuba,2006,1140.0,IPPU,CUB
cuba,2007,1160.0,IPPU,CUB
cuba,2008,1080.0,IPPU,CUB
cuba,2009,1020.0,IPPU,CUB
cuba,2010,930.0,IPPU,CUB
cuba,2011,940.0,IPPU,CUB
cuba,2012,950.0,IPPU,CUB
cuba,2013,920.0,IPPU,CUB
cuba,2014,710.0,IPPU,CUB
cuba,2015,670.0,IPPU,CUB
cuba,2016,670.0,IPPU,CUB
cuba,2017,640.0,IPPU,CUB
cuba,2018,720.0,IPPU,CUB
cuba,2019,720.0,IPPU,CUB
dominica,1990,0.0,IPPU,DMA
dominica,1991,0.0,IPPU,DMA
dominica,1992,0.0,IPPU,DMA
dominica,1993,0.0,IPPU,DMA
dominica,1994,0.0,IPPU,DMA
dominica,1995,0.0,IPPU,DMA
dominica,1996,0.0,IPPU,DMA
dominica,1997,0.0,IPPU,DMA
dominica,1998,0.0,IPPU,DMA
dominica,1999,0.0,IPPU,DMA
dominica,2000,0.0,IPPU,DMA
dominica,2001,0.0,IPPU,DMA
dominica,2002,0.0,IPPU,DMA
dominica,2003,0.0,IPPU,DMA
dominica,2004,0.0,IPPU,DMA
dominica,2005,0.0,IPPU,DMA
dominica,2006,0.0,IPPU,DMA
dominica,2007,0.0,IPPU,DMA
dominica,2008,0.0,IPPU,DMA
dominica,2009,0.0,IPPU,DMA
dominica,2010,0.0,IPPU,DMA
dominica,2011,0.0,IPPU,DMA
dominica,2012,0.0,IPPU,DMA
dominica,2013,0.0,IPPU,DMA
dominica,2014,0.0,IPPU,DMA
dominica,2015,0.0,IPPU,DMA
dominica,2016,0.0,IPPU,DMA
dominica,2017,0.0,IPPU,DMA
dominica,2018,0.0,IPPU,DMA
dominica,2019,0.0,IPPU,DMA
dominican_republic,1990,460.0,IPPU,DOM
dominican_republic,1991,530.0,IPPU,DOM
dominican_republic,1992,590.0,IPPU,DOM
dominican_republic,1993,550.0,IPPU,DOM
dominican_republic,1994,550.0,IPPU,DOM
dominican_republic,1995,620.0,IPPU,DOM
dominican_republic,1996,700.0,IPPU,DOM
dominican_republic,1997,790.0,IPPU,DOM
dominican_republic,1998,810.0,IPPU,DOM
dominican_republic,1999,970.0,IPPU,DOM
dominican_republic,2000,1070.0,IPPU,DOM
dominican_republic,2001,1160.0,IPPU,DOM
dominican_republic,2002,1280.0,IPPU,DOM
dominican_republic,2003,1210.0,IPPU,DOM
dominican_republic,2004,1100.0,IPPU,DOM
dominican_republic,2005,1140.0,IPPU,DOM
dominican_republic,2006,1540.0,IPPU,DOM
dominican_republic,2007,1640.0,IPPU,DOM
dominican_republic,2008,1670.0,IPPU,DOM
dominican_republic,2009,1520.0,IPPU,DOM
dominican_republic,2010,1620.0,IPPU,DOM
dominican_republic,2011,1560.0,IPPU,DOM
dominican_republic,2012,1610.0,IPPU,DOM
dominican_republic,2013,1650.0,IPPU,DOM
dominican_republic,2014,1950.0,IPPU,DOM
dominican_republic,2015,2009.9999999999998,IPPU,DOM
dominican_republic,2016,2009.9999999999998,IPPU,DOM
dominican_republic,2017,2040.0,IPPU,DOM
dominican_republic,2018,2050.0,IPPU,DOM
dominican_republic,2019,2050.0,IPPU,DOM
ecuador,1990,1020.0,IPPU,ECU
ecuador,1991,1040.0,IPPU,ECU
ecuador,1992,1020.0,IPPU,ECU
ecuador,1993,950.0,IPPU,ECU
ecuador,1994,980.0,IPPU,ECU
ecuador,1995,1180.0,IPPU,ECU
ecuador,1996,1360.0,IPPU,ECU
ecuador,1997,1300.0,IPPU,ECU
ecuador,1998,1170.0,IPPU,ECU
ecuador,1999,1030.0,IPPU,ECU
ecuador,2000,1260.0,IPPU,ECU
ecuador,2001,1300.0,IPPU,ECU
ecuador,2002,1320.0,IPPU,ECU
ecuador,2003,1350.0,IPPU,ECU
ecuador,2004,1490.0,IPPU,ECU
ecuador,2005,1570.0,IPPU,ECU
ecuador,2006,1740.0,IPPU,ECU
ecuador,2007,1830.0,IPPU,ECU
ecuador,2008,2220.0,IPPU,ECU
ecuador,2009,2110.0,IPPU,ECU
ecuador,2010,2090.0,IPPU,ECU
ecuador,2011,2240.0,IPPU,ECU
ecuador,2012,2350.0,IPPU,ECU
ecuador,2013,2610.0,IPPU,ECU
ecuador,2014,2600.0,IPPU,ECU
ecuador,2015,2450.0,IPPU,ECU
ecuador,2016,2210.0,IPPU,ECU
ecuador,2017,2250.0,IPPU,ECU
ecuador,2018,2290.0,IPPU,ECU
ecuador,2019,2290.0,IPPU,ECU
el_salvador,1990,280.0,IPPU,SLV
el_salvador,1991,290.0,IPPU,SLV
el_salvador,1992,180.0,IPPU,SLV
el_salvador,1993,370.0,IPPU,SLV
el_salvador,1994,370.0,IPPU,SLV
el_salvador,1995,380.0,IPPU,SLV
el_salvador,1996,410.0,IPPU,SLV
el_salvador,1997,440.0,IPPU,SLV
el_salvador,1998,460.0,IPPU,SLV
el_salvador,1999,440.0,IPPU,SLV
el_salvador,2000,450.0,IPPU,SLV
el_salvador,2001,500.0,IPPU,SLV
el_salvador,2002,560.0,IPPU,SLV
el_salvador,2003,580.0,IPPU,SLV
el_salvador,2004,520.0,IPPU,SLV
el_salvador,2005,460.0,IPPU,SLV
el_salvador,2006,530.0,IPPU,SLV
el_salvador,2007,520.0,IPPU,SLV
el_salvador,2008,520.0,IPPU,SLV
el_salvador,2009,480.0,IPPU,SLV
el_salvador,2010,510.0,IPPU,SLV
el_salvador,2011,520.0,IPPU,SLV
el_salvador,2012,540.0,IPPU,SLV
el_salvador,2013,470.0,IPPU,SLV
el_salvador,2014,390.0,IPPU,SLV
el_salvador,2015,390.0,IPPU,SLV
el_salvador,2016,390.0,IPPU,SLV
el_salvador,2017,390.0,IPPU,SLV
el_salvador,2018,390.0,IPPU,SLV
el_salvador,2019,390.0,IPPU,SLV
grenada,1990,0.0,IPPU,GRD
grenada,1991,0.0,IPPU,GRD
grenada,1992,0.0,IPPU,GRD
grenada,1993,0.0,IPPU,GRD
grenada,1994,0.0,IPPU,GRD
grenada,1995,0.0,IPPU,GRD
grenada,1996,0.0,IPPU,GRD
grenada,1997,0.0,IPPU,GRD
grenada,1998,0.0,IPPU,GRD
grenada,1999,0.0,IPPU,GRD
grenada,2000,0.0,IPPU,GRD
grenada,2001,0.0,IPPU,GRD
grenada,2002,0.0,IPPU,GRD
grenada,2003,0.0,IPPU,GRD
grenada,2004,0.0,IPPU,GRD
grenada,2005,0.0,IPPU,GRD
grenada,2006,0.0,IPPU,GRD
grenada,2007,0.0,IPPU,GRD
grenada,2008,0.0,IPPU,GRD
grenada,2009,0.0,IPPU,GRD
grenada,2010,0.0,IPPU,GRD
grenada,2011,0.0,IPPU,GRD
grenada,2012,0.0,IPPU,GRD
grenada,2013,0.0,IPPU,GRD
grenada,2014,0.0,IPPU,GRD
grenada,2015,0.0,IPPU,GRD
grenada,2016,0.0,IPPU,GRD
grenada,2017,0.0,IPPU,GRD
grenada,2018,0.0,IPPU,GRD
grenada,2019,0.0,IPPU,GRD
guatemala,1990,730.0,IPPU,GTM
guatemala,1991,620.0,IPPU,GTM
guatemala,1992,600.0,IPPU,GTM
guatemala,1993,480.0,IPPU,GTM
guatemala,1994,520.0,IPPU,GTM
guatemala,1995,490.0,IPPU,GTM
guatemala,1996,470.0,IPPU,GTM
guatemala,1997,550.0,IPPU,GTM
guatemala,1998,640.0,IPPU,GTM
guatemala,1999,680.0,IPPU,GTM
guatemala,2000,840.0,IPPU,GTM
guatemala,2001,850.0,IPPU,GTM
guatemala,2002,840.0,IPPU,GTM
guatemala,2003,830.0,IPPU,GTM
guatemala,2004,910.0,IPPU,GTM
guatemala,2005,990.0,IPPU,GTM
guatemala,2006,980.0,IPPU,GTM
guatemala,2007,1000.0,IPPU,GTM
guatemala,2008,990.0,IPPU,GTM
guatemala,2009,590.0,IPPU,GTM
guatemala,2010,1100.0,IPPU,GTM
guatemala,2011,1110.0,IPPU,GTM
guatemala,2012,1120.0,IPPU,GTM
guatemala,2013,1150.0,IPPU,GTM
guatemala,2014,1360.0,IPPU,GTM
guatemala,2015,1360.0,IPPU,GTM
guatemala,2016,1400.0,IPPU,GTM
guatemala,2017,1430.0,IPPU,GTM
guatemala,2018,1470.0,IPPU,GTM
guatemala,2019,1470.0,IPPU,GTM
guyana,1990,0.0,IPPU,GUY
guyana,1991,0.0,IPPU,GUY
guyana,1992,0.0,IPPU,GUY
guyana,1993,0.0,IPPU,GUY
guyana,1994,0.0,IPPU,GUY
guyana,1995,0.0,IPPU,GUY
guyana,1996,0.0,IPPU,GUY
guyana,1997,0.0,IPPU,GUY
guyana,1998,0.0,IPPU,GUY
guyana,1999,0.0,IPPU,GUY
guyana,2000,0.0,IPPU,GUY
guyana,2001,0.0,IPPU,GUY
guyana,2002,0.0,IPPU,GUY
guyana,2003,0.0,IPPU,GUY
guyana,2004,0.0,IPPU,GUY
guyana,2005,0.0,IPPU,GUY
guyana,2006,0.0,IPPU,GUY
guyana,2007,0.0,IPPU,GUY
guyana,2008,0.0,IPPU,GUY
guyana,2009,0.0,IPPU,GUY
guyana,2010,0.0,IPPU,GUY
guyana,2011,0.0,IPPU,GUY
guyana,2012,0.0,IPPU,GUY
guyana,2013,0.0,IPPU,GUY
guyana,2014,0.0,IPPU,GUY
guyana,2015,40.0,IPPU,GUY
guyana,2016,160.0,IPPU,GUY
guyana,2017,160.0,IPPU,GUY
guyana,2018,160.0,IPPU,GUY
guyana,2019,160.0,IPPU,GUY
haiti,1990,90.0,IPPU,HTI
haiti,1991,110.0,IPPU,HTI
haiti,1992,90.0,IPPU,HTI
haiti,1993,40.0,IPPU,HTI
haiti,1994,0.0,IPPU,HTI
haiti,1995,0.0,IPPU,HTI
haiti,1996,0.0,IPPU,HTI
haiti,1997,0.0,IPPU,HTI
haiti,1998,0.0,IPPU,HTI
haiti,1999,0.0,IPPU,HTI
haiti,2000,0.0,IPPU,HTI
haiti,2001,90.0,IPPU,HTI
haiti,2002,120.0,IPPU,HTI
haiti,2003,120.0,IPPU,HTI
haiti,2004,120.0,IPPU,HTI
haiti,2005,120.0,IPPU,HTI
haiti,2006,120.0,IPPU,HTI
haiti,2007,120.0,IPPU,HTI
haiti,2008,120.0,IPPU,HTI
haiti,2009,120.0,IPPU,HTI
haiti,2010,120.0,IPPU,HTI
haiti,2011,20.0,IPPU,HTI
haiti,2012,30.0,IPPU,HTI
haiti,2013,40.0,IPPU,HTI
haiti,2014,80.0,IPPU,HTI
haiti,2015,80.0,IPPU,HTI
haiti,2016,80.0,IPPU,HTI
haiti,2017,80.0,IPPU,HTI
haiti,2018,80.0,IPPU,HTI
haiti,2019,80.0,IPPU,HTI
honduras,1990,280.0,IPPU,HND
honduras,1991,290.0,IPPU,HND
honduras,1992,270.0,IPPU,HND
honduras,1993,300.0,IPPU,HND
honduras,1994,250.0,IPPU,HND
honduras,1995,290.0,IPPU,HND
honduras,1996,380.0,IPPU,HND
honduras,1997,420.0,IPPU,HND
honduras,1998,350.0,IPPU,HND
honduras,1999,380.0,IPPU,HND
honduras,2000,500.0,IPPU,HND
honduras,2001,510.0,IPPU,HND
honduras,2002,470.0,IPPU,HND
honduras,2003,480.0,IPPU,HND
honduras,2004,520.0,IPPU,HND
honduras,2005,510.0,IPPU,HND
honduras,2006,620.0,IPPU,HND
honduras,2007,640.0,IPPU,HND
honduras,2008,650.0,IPPU,HND
honduras,2009,640.0,IPPU,HND
honduras,2010,610.0,IPPU,HND
honduras,2011,670.0,IPPU,HND
honduras,2012,770.0,IPPU,HND
honduras,2013,690.0,IPPU,HND
honduras,2014,660.0,IPPU,HND
honduras,2015,720.0,IPPU,HND
honduras,2016,720.0,IPPU,HND
honduras,2017,720.0,IPPU,HND
honduras,2018,770.0,IPPU,HND
honduras,2019,770.0,IPPU,HND
jamaica,1990,220.0,IPPU,JAM
jamaica,1991,190.0,IPPU,JAM
jamaica,1992,240.0,IPPU,JAM
jamaica,1993,230.0,IPPU,JAM
jamaica,1994,220.0,IPPU,JAM
jamaica,1995,260.0,IPPU,JAM
jamaica,1996,270.0,IPPU,JAM
jamaica,1997,240.0,IPPU,JAM
jamaica,1998,260.0,IPPU,JAM
jamaica,1999,240.0,IPPU,JAM
jamaica,2000,270.0,IPPU,JAM
jamaica,2001,270.0,IPPU,JAM
jamaica,2002,280.0,IPPU,JAM
jamaica,2003,310.0,IPPU,JAM
jamaica,2004,320.0,IPPU,JAM
jamaica,2005,280.0,IPPU,JAM
jamaica,2006,310.0,IPPU,JAM
jamaica,2007,270.0,IPPU,JAM
jamaica,2008,300.0,IPPU,JAM
jamaica,2009,390.0,IPPU,JAM
jamaica,2010,330.0,IPPU,JAM
jamaica,2011,330.0,IPPU,JAM
jamaica,2012,340.0,IPPU,JAM
jamaica,2013,360.0,IPPU,JAM
jamaica,2014,410.0,IPPU,JAM
jamaica,2015,420.0,IPPU,JAM
jamaica,2016,400.0,IPPU,JAM
jamaica,2017,360.0,IPPU,JAM
jamaica,2018,320.0,IPPU,JAM
jamaica,2019,330.0,IPPU,JAM
mexico,1990,10740.0,IPPU,MEX
mexico,1991,10950.0,IPPU,MEX
mexico,1992,11750.0,IPPU,MEX
mexico,1993,12390.0,IPPU,MEX
mexico,1994,13840.0,IPPU,MEX
mexico,1995,11030.0,IPPU,MEX
mexico,1996,12270.0,IPPU,MEX
mexico,1997,12910.0,IPPU,MEX
mexico,1998,13410.0,IPPU,MEX
mexico,1999,13900.0,IPPU,MEX
mexico,2000,14570.0,IPPU,MEX
mexico,2001,14060.0,IPPU,MEX
mexico,2002,14550.0,IPPU,MEX
mexico,2003,14650.0,IPPU,MEX
mexico,2004,15350.0,IPPU,MEX
mexico,2005,16670.0,IPPU,MEX
mexico,2006,17820.0,IPPU,MEX
mexico,2007,18970.0,IPPU,MEX
mexico,2008,18640.0,IPPU,MEX
mexico,2009,17860.0,IPPU,MEX
mexico,2010,17050.0,IPPU,MEX
mexico,2011,17770.0,IPPU,MEX
mexico,2012,18410.0,IPPU,MEX
mexico,2013,17440.0,IPPU,MEX
mexico,2014,18260.0,IPPU,MEX
mexico,2015,19160.0,IPPU,MEX
mexico,2016,17520.0,IPPU,MEX
mexico,2017,17960.0,IPPU,MEX
mexico,2018,20860.0,IPPU,MEX
mexico,2019,20860.0,IPPU,MEX
nicaragua,1990,90.0,IPPU,NIC
nicaragua,1991,100.0,IPPU,NIC
