Year,Nation,prodinit_ippu_paper_tonne
1995,chile,79608.18552471555
1996,chile,79608.18552471555
1997,chile,79608.18552471555
1998,chile,79608.18552471555
1999,chile,79608.18552471555
2000,chile,79608.18552471555
2001,chile,79608.18552471555
2002,chile,79608.18552471555
2003,chile,79608.18552471555
2004,chile,79608.18552471555
2005,chile,79608.18552471555
2006,chile,79608.18552471555
2007,chile,79608.18552471555
2008,chile,79608.18552471555
2009,chile,79608.18552471555
2010,chile,79608.18552471555
2011,chile,79608.18552471555
2012,chile,79608.18552471555
2013,chile,79608.18552471555
2014,chile,79608.18552471555
2015,chile,79608.18552471555
2016,chile,79608.18552471555
2017,chile,79608.18552471555
2018,chile,79608.18552471555
2019,chile,79608.18552471555
1990,colombia,155419.85858998328
1991,colombia,155419.85858998328
1992,colombia,155419.85858998328
1993,colombia,155419.85858998328
1994,colombia,155419.85858998328
1995,colombia,155419.85858998328
1996,colombia,155419.85858998328
1997,colombia,155419.85858998328
1998,colombia,155419.85858998328
1999,colombia,155419.85858998328
2000,colombia,155419.85858998328
2001,colombia,155419.85858998328
2002,colombia,155419.85858998328
2003,colombia,155419.85858998328
2004,colombia,155419.85858998328
2005,colombia,155419.85858998328
2006,colombia,155419.85858998328
2007,colombia,155419.85858998328
2008,colombia,155419.85858998328
2009,colombia,155419.85858998328
2010,colombia,155419.85858998328
2011,colombia,155419.85858998328
2012,colombia,155419.85858998328
2013,colombia,155419.85858998328
2014,colombia,155419.85858998328
2015,colombia,155419.85858998328
2016,colombia,155419.85858998328
2017,colombia,155419.85858998328
2018,colombia,155419.85858998328
2019,colombia,155419.85858998328
1990,costa_rica,21930.993955733426
1991,costa_rica,21930.993955733426
1992,costa_rica,21930.993955733426
1993,costa_rica,21930.993955733426
1994,costa_rica,21930.993955733426
1995,costa_rica,21930.993955733426
1996,costa_rica,21930.993955733426
1997,costa_rica,21930.993955733426
1998,costa_rica,21930.993955733426
1999,costa_rica,21930.993955733426
2000,costa_rica,21930.993955733426
2001,costa_rica,21930.993955733426
2002,costa_rica,21930.993955733426
2003,costa_rica,21930.993955733426
2004,costa_rica,21930.993955733426
2005,costa_rica,21930.993955733426
2006,costa_rica,21930.993955733426
2007,costa_rica,21930.993955733426
2008,costa_rica,21930.993955733426
2009,costa_rica,21930.993955733426
2010,costa_rica,21930.993955733426
2011,costa_rica,21930.993955733426
2012,costa_rica,21930.993955733426
2013,costa_rica,21930.993955733426
2014,costa_rica,21930.993955733426
2015,costa_rica,21930.993955733426
2016,costa_rica,21930.993955733426
2017,costa_rica,21930.993955733426
2018,costa_rica,21930.993955733426
2019,costa_rica,21930.993955733426
1990,dominican_republic,4395.6087106518335
1991,dominican_republic,4395.6087106518335
1992,dominican_republic,4395.6087106518335
1993,dominican_republic,4395.6087106518335
1994,dominican_republic,4395.6087106518335
1995,dominican_republic,4395.6087106518335
1996,dominican_republic,4395.6087106518335
1997,dominican_republic,4395.6087106518335
1998,dominican_republic,4395.6087106518335
1999,dominican_republic,4395.6087106518335
2000,dominican_republic,4395.6087106518335
2001,dominican_republic,4395.6087106518335
2002,dominican_republic,4395.6087106518335
2003,dominican_republic,4395.6087106518335
2004,dominican_republic,4395.6087106518335
2005,dominican_republic,4395.6087106518335
2006,dominican_republic,4395.6087106518335
2007,dominican_republic,4395.6087106518335
2008,dominican_republic,4395.6087106518335
2009,dominican_republic,4395.6087106518335
2010,dominican_republic,4395.6087106518335
2011,dominican_republic,4395.6087106518335
2012,dominican_republic,4395.6087106518335
2013,dominican_republic,4395.6087106518335
2014,dominican_republic,4395.6087106518335
2015,dominican_republic,4395.6087106518335
2016,dominican_republic,4395.6087106518335
2017,dominican_republic,4395.6087106518335
2018,dominican_republic,4395.6087106518335
2019,dominican_republic,4395.6087106518335
1990,ecuador,36730.202181633846
1991,ecuador,36730.202181633846
1992,ecuador,36730.202181633846
1993,ecuador,36730.202181633846
1994,ecuador,36730.202181633846
1995,ecuador,36730.202181633846
1996,ecuador,36730.202181633846
1997,ecuador,36730.202181633846
1998,ecuador,36730.202181633846
1999,ecuador,36730.202181633846
2000,ecuador,36730.202181633846
2001,ecuador,36730.202181633846
2002,ecuador,36730.202181633846
2003,ecuador,36730.202181633846
2004,ecuador,36730.202181633846
2005,ecuador,36730.202181633846
2006,ecuador,36730.202181633846
2007,ecuador,36730.202181633846
2008,ecuador,36730.202181633846
2009,ecuador,36730.202181633846
2010,ecuador,36730.202181633846
2011,ecuador,36730.202181633846
2012,ecuador,36730.202181633846
2013,ecuador,36730.202181633846
2014,ecuador,36730.202181633846
2015,ecuador,36730.202181633846
2016,ecuador,36730.202181633846
2017,ecuador,36730.202181633846
2018,ecuador,36730.202181633846
2019,ecuador,36730.202181633846
1990,el_salvador,17152.57037878021
1991,el_salvador,17152.57037878021
1992,el_salvador,17152.57037878021
1993,el_salvador,17152.57037878021
1994,el_salvador,17152.57037878021
1995,el_salvador,17152.57037878021
1996,el_salvador,17152.57037878021
1997,el_salvador,17152.57037878021
1998,el_salvador,17152.57037878021
1999,el_salvador,17152.57037878021
2000,el_salvador,17152.57037878021
2001,el_salvador,17152.57037878021
2002,el_salvador,17152.57037878021
2003,el_salvador,17152.57037878021
2004,el_salvador,17152.57037878021
2005,el_salvador,17152.57037878021
2006,el_salvador,17152.57037878021
2007,el_salvador,17152.57037878021
2008,el_salvador,17152.57037878021
2009,el_salvador,17152.57037878021
2010,el_salvador,17152.57037878021
2011,el_salvador,17152.57037878021
2012,el_salvador,17152.57037878021
2013,el_salvador,17152.57037878021
2014,el_salvador,17152.57037878021
2015,el_salvador,17152.57037878021
2016,el_salvador,17152.57037878021
2017,el_salvador,17152.57037878021
2018,el_salvador,17152.57037878021
2019,el_salvador,17152.57037878021
1990,guatemala,23645.966350922383
1991,guatemala,23645.966350922383
1992,guatemala,23645.966350922383
1993,guatemala,23645.966350922383
1994,guatemala,23645.966350922383
1995,guatemala,23645.966350922383
1996,guatemala,23645.966350922383
1997,guatemala,23645.966350922383
1998,guatemala,23645.966350922383
1999,guatemala,23645.966350922383
2000,guatemala,23645.966350922383
2001,guatemala,23645.966350922383
2002,guatemala,23645.966350922383
2003,guatemala,23645.966350922383
2004,guatemala,23645.966350922383
2005,guatemala,23645.966350922383
2006,guatemala,23645.966350922383
2007,guatemala,23645.966350922383
2008,guatemala,23645.966350922383
2009,guatemala,23645.966350922383
2010,guatemala,23645.966350922383
2011,guatemala,23645.966350922383
2012,guatemala,23645.966350922383
2013,guatemala,23645.966350922383
2014,guatemala,23645.966350922383
2015,guatemala,23645.966350922383
2016,guatemala,23645.966350922383
2017,guatemala,23645.966350922383
2018,guatemala,23645.966350922383
2019,guatemala,23645.966350922383
1990,guyana,145414.9041312342
1991,guyana,145414.9041312342
1992,guyana,145414.9041312342
1993,guyana,145414.9041312342
1994,guyana,145414.9041312342
1995,guyana,145414.9041312342
1996,guyana,145414.9041312342
1997,guyana,145414.9041312342
1998,guyana,145414.9041312342
1999,guyana,145414.9041312342
2000,guyana,145414.9041312342
2001,guyana,145414.9041312342
2002,guyana,145414.9041312342
2003,guyana,145414.9041312342
2004,guyana,145414.9041312342
2005,guyana,145414.9041312342
2006,guyana,145414.9041312342
2007,guyana,145414.9041312342
2008,guyana,145414.9041312342
2009,guyana,145414.9041312342
2010,guyana,145414.9041312342
2011,guyana,145414.9041312342
2012,guyana,145414.9041312342
2013,guyana,145414.9041312342
2014,guyana,145414.9041312342
2015,guyana,145414.9041312342
2016,guyana,145414.9041312342
2017,guyana,145414.9041312342
2018,guyana,145414.9041312342
2019,guyana,145414.9041312342
1990,haiti,145414.9041312342
1991,haiti,145414.9041312342
1992,haiti,145414.9041312342
1993,haiti,145414.9041312342
1994,haiti,145414.9041312342
1995,haiti,145414.9041312342
1996,haiti,145414.9041312342
1997,haiti,145414.9041312342
1998,haiti,145414.9041312342
1999,haiti,145414.9041312342
2000,haiti,145414.9041312342
2001,haiti,145414.9041312342
2002,haiti,145414.9041312342
2003,haiti,145414.9041312342
2004,haiti,145414.9041312342
2005,haiti,145414.9041312342
2006,haiti,145414.9041312342
2007,haiti,145414.9041312342
2008,haiti,145414.9041312342
2009,haiti,145414.9041312342
2010,haiti,145414.9041312342
2011,haiti,145414.9041312342
2012,haiti,145414.9041312342
2013,haiti,145414.9041312342
2014,haiti,145414.9041312342
2015,haiti,145414.9041312342
2016,haiti,145414.9041312342
2017,haiti,145414.9041312342
2018,haiti,145414.9041312342
2019,haiti,145414.9041312342
1990,honduras,5242.8004952451165
1991,honduras,5242.8004952451165
1992,honduras,5242.8004952451165
1993,honduras,5242.8004952451165
1994,honduras,5242.8004952451165
1995,honduras,5242.8004952451165
1996,honduras,5242.8004952451165
1997,honduras,5242.8004952451165
1998,honduras,5242.8004952451165
1999,honduras,5242.8004952451165
2000,honduras,5242.8004952451165
2001,honduras,5242.8004952451165
2002,honduras,5242.8004952451165
2003,honduras,5242.8004952451165
2004,honduras,5242.8004952451165
2005,honduras,5242.8004952451165
2006,honduras,5242.8004952451165
2007,honduras,5242.8004952451165
2008,honduras,5242.8004952451165
2009,honduras,5242.8004952451165
2010,honduras,5242.8004952451165
2011,honduras,5242.8004952451165
2012,honduras,5242.8004952451165
2013,honduras,5242.8004952451165
2014,honduras,5242.8004952451165
2015,honduras,5242.8004952451165
2016,honduras,5242.8004952451165
2017,honduras,5242.8004952451165
2018,honduras,5242.8004952451165
2019,honduras,5242.8004952451165
1990,jamaica,145414.9041312342
1991,jamaica,145414.9041312342
1992,jamaica,145414.9041312342
1993,jamaica,145414.9041312342
1994,jamaica,145414.9041312342
1995,jamaica,145414.9041312342
1996,jamaica,145414.9041312342
1997,jamaica,145414.9041312342
1998,jamaica,145414.9041312342
1999,jamaica,145414.9041312342
2000,jamaica,145414.9041312342
2001,jamaica,145414.9041312342
2002,jamaica,145414.9041312342
2003,jamaica,145414.9041312342
2004,jamaica,145414.9041312342
2005,jamaica,145414.9041312342
2006,jamaica,145414.9041312342
2007,jamaica,145414.9041312342
2008,jamaica,145414.9041312342
2009,jamaica,145414.9041312342
2010,jamaica,145414.9041312342
2011,jamaica,145414.9041312342
2012,jamaica,145414.9041312342
2013,jamaica,145414.9041312342
2014,jamaica,145414.9041312342
2015,jamaica,145414.9041312342
2016,jamaica,145414.9041312342
2017,jamaica,145414.9041312342
2018,jamaica,145414.9041312342
2019,jamaica,145414.9041312342
1990,mexico,529519.4314004753
1991,mexico,529519.4314004753
1992,mexico,529519.4314004753
1993,mexico,529519.4314004753
1994,mexico,529519.4314004753
1995,mexico,529519.4314004753
1996,mexico,529519.4314004753
1997,mexico,529519.4314004753
1998,mexico,529519.4314004753
1999,mexico,529519.4314004753
2000,mexico,529519.4314004753
2001,mexico,529519.4314004753
2002,mexico,529519.4314004753
2003,mexico,529519.4314004753
2004,mexico,529519.4314004753
2005,mexico,529519.4314004753
2006,mexico,529519.4314004753
2007,mexico,529519.4314004753
2008,mexico,529519.4314004753
2009,mexico,529519.4314004753
2010,mexico,529519.4314004753
2011,mexico,529519.4314004753
2012,mexico,529519.4314004753
2013,mexico,529519.4314004753
2014,mexico,529519.4314004753
2015,mexico,529519.4314004753
2016,mexico,529519.4314004753
2017,mexico,529519.4314004753
2018,mexico,529519.4314004753
2019,mexico,529519.4314004753
1990,nicaragua,1607.1895230063035
1991,nicaragua,1607.1895230063035
1992,nicaragua,1607.1895230063035
1993,nicaragua,1607.1895230063035
1994,nicaragua,1607.1895230063035
1995,nicaragua,1607.1895230063035
1996,nicaragua,1607.1895230063035
1997,nicaragua,1607.1895230063035
1998,nicaragua,1607.1895230063035
1999,nicaragua,1607.1895230063035
2000,nicaragua,1607.1895230063035
2001,nicaragua,1607.1895230063035
2002,nicaragua,1607.1895230063035
2003,nicaragua,1607.1895230063035
2004,nicaragua,1607.1895230063035
2005,nicaragua,1607.1895230063035
2006,nicaragua,1607.1895230063035
2007,nicaragua,1607.1895230063035
2008,nicaragua,1607.1895230063035
2009,nicaragua,1607.1895230063035
2010,nicaragua,1607.1895230063035
2011,nicaragua,1607.1895230063035
2012,nicaragua,1607.1895230063035
2013,nicaragua,1607.1895230063035
2014,nicaragua,1607.1895230063035
2015,nicaragua,1607.1895230063035
2016,nicaragua,1607.1895230063035
2017,nicaragua,1607.1895230063035
2018,nicaragua,1607.1895230063035
2019,nicaragua,1607.1895230063035
1990,panama,8740.209137247848
1991,panama,8740.209137247848
1992,panama,8740.209137247848
1993,panama,8740.209137247848
1994,panama,8740.209137247848
1995,panama,8740.209137247848
1996,panama,8740.209137247848
1997,panama,8740.209137247848
1998,panama,8740.209137247848
1999,panama,8740.209137247848
2000,panama,8740.209137247848
2001,panama,8740.209137247848
2002,panama,8740.209137247848
2003,panama,8740.209137247848
2004,panama,8740.209137247848
2005,panama,8740.209137247848
2006,panama,8740.209137247848
2007,panama,8740.209137247848
2008,panama,8740.209137247848
2009,panama,8740.209137247848
2010,panama,8740.209137247848
2011,panama,8740.209137247848
2012,panama,8740.209137247848
2013,panama,8740.209137247848
2014,panama,8740.209137247848
2015,panama,8740.209137247848
2016,panama,8740.209137247848
2017,panama,8740.209137247848
2018,panama,8740.209137247848
2019,panama,8740.209137247848
1990,paraguay,22915.811729381156
1991,paraguay,22915.811729381156
1992,paraguay,22915.811729381156
1993,paraguay,22915.811729381156
1994,paraguay,22915.811729381156
1995,paraguay,22915.811729381156
1996,paraguay,22915.811729381156
1997,paraguay,22915.811729381156
1998,paraguay,22915.811729381156
1999,paraguay,22915.811729381156
2000,paraguay,22915.811729381156
2001,paraguay,22915.811729381156
2002,paraguay,22915.811729381156
2003,paraguay,22915.811729381156
2004,paraguay,22915.811729381156
2005,paraguay,22915.811729381156
2006,paraguay,22915.811729381156
2007,paraguay,22915.811729381156
2008,paraguay,22915.811729381156
2009,paraguay,22915.811729381156
2010,paraguay,22915.811729381156
2011,paraguay,22915.811729381156
2012,paraguay,22915.811729381156
2013,paraguay,22915.811729381156
2014,paraguay,22915.811729381156
2015,paraguay,22915.811729381156
2016,paraguay,22915.811729381156
2017,paraguay,22915.811729381156
2018,paraguay,22915.811729381156
2019,paraguay,22915.811729381156
1990,peru,104998.10693824552
1991,peru,104998.10693824552
1992,peru,104998.10693824552
1993,peru,104998.10693824552
1994,peru,104998.10693824552
1995,peru,104998.10693824552
1996,peru,104998.10693824552
1997,peru,104998.10693824552
1998,peru,104998.10693824552
1999,peru,104998.10693824552
2000,peru,104998.10693824552
2001,peru,104998.10693824552
2002,peru,104998.10693824552
2003,peru,104998.10693824552
2004,peru,104998.10693824552
2005,peru,104998.10693824552
2006,peru,104998.10693824552
2007,peru,104998.10693824552
2008,peru,104998.10693824552
2009,peru,104998.10693824552
2010,peru,104998.10693824552
2011,peru,104998.10693824552
2012,peru,104998.10693824552
2013,peru,104998.10693824552
2014,peru,104998.10693824552
2015,peru,104998.10693824552
2016,peru,104998.10693824552
2017,peru,104998.10693824552
2018,peru,104998.10693824552
2019,peru,104998.10693824552
1990,suriname,145414.9041312342
1991,suriname,145414.9041312342
1992,suriname,145414.9041312342
1993,suriname,145414.9041312342
1994,suriname,145414.9041312342
1995,suriname,145414.9041312342
1996,suriname,145414.9041312342
1997,suriname,145414.9041312342
1998,suriname,145414.9041312342
1999,suriname,145414.9041312342
2000,suriname,145414.9041312342
2001,suriname,145414.9041312342
2002,suriname,145414.9041312342
2003,suriname,145414.9041312342
2004,suriname,145414.9041312342
2005,suriname,145414.9041312342
2006,suriname,145414.9041312342
2007,suriname,145414.9041312342
2008,suriname,145414.9041312342
2009,suriname,145414.9041312342
2010,suriname,145414.9041312342
2011,suriname,145414.9041312342
2012,suriname,145414.9041312342
2013,suriname,145414.9041312342
2014,suriname,145414.9041312342
2015,suriname,145414.9041312342
2016,suriname,145414.9041312342
2017,suriname,145414.9041312342
2018,suriname,145414.9041312342
2019,suriname,145414.9041312342
1990,trinidad_and_tobago,145414.9041312342
1991,trinidad_and_tobago,145414.9041312342
1992,trinidad_and_tobago,145414.9041312342
1993,trinidad_and_tobago,145414.9041312342
1994,trinidad_and_tobago,145414.9041312342
1995,trinidad_and_tobago,145414.9041312342
1996,trinidad_and_tobago,145414.9041312342
1997,trinidad_and_tobago,145414.9041312342
1998,trinidad_and_tobago,145414.9041312342
1999,trinidad_and_tobago,145414.9041312342
2000,trinidad_and_tobago,145414.9041312342
2001,trinidad_and_tobago,145414.9041312342
2002,trinidad_and_tobago,145414.9041312342
2003,trinidad_and_tobago,145414.9041312342
2004,trinidad_and_tobago,145414.9041312342
2005,trinidad_and_tobago,145414.9041312342
2006,trinidad_and_tobago,145414.9041312342
2007,trinidad_and_tobago,145414.9041312342
2008,trinidad_and_tobago,145414.9041312342
2009,trinidad_and_tobago,145414.9041312342
2010,trinidad_and_tobago,145414.9041312342
2011,trinidad_and_tobago,145414.9041312342
2012,trinidad_and_tobago,145414.9041312342
2013,trinidad_and_tobago,145414.9041312342
2014,trinidad_and_tobago,145414.9041312342
2015,trinidad_and_tobago,145414.9041312342
2016,trinidad_and_tobago,145414.9041312342
2017,trinidad_and_tobago,145414.9041312342
2018,trinidad_and_tobago,145414.9041312342
2019,trinidad_and_tobago,145414.9041312342
1990,uruguay,42227.19829789172
1991,uruguay,42227.19829789172
1992,uruguay,42227.19829789172
1993,uruguay,42227.19829789172
1994,uruguay,42227.19829789172
1995,uruguay,42227.19829789172
1996,uruguay,42227.19829789172
1997,uruguay,42227.19829789172
1998,uruguay,42227.19829789172
1999,uruguay,42227.19829789172
2000,uruguay,42227.19829789172
2001,uruguay,42227.19829789172
2002,uruguay,42227.19829789172
2003,uruguay,42227.19829789172
2004,uruguay,42227.19829789172
2005,uruguay,42227.19829789172
2006,uruguay,42227.19829789172
2007,uruguay,42227.19829789172
2008,uruguay,42227.19829789172
2009,uruguay,42227.19829789172
2010,uruguay,42227.19829789172
2011,uruguay,42227.19829789172
2012,uruguay,42227.19829789172
2013,uruguay,42227.19829789172
2014,uruguay,42227.19829789172
2015,uruguay,42227.19829789172
2016,uruguay,42227.19829789172
2017,uruguay,42227.19829789172
2018,uruguay,42227.19829789172
2019,uruguay,42227.19829789172
1990,venezuela,64534.8820163724
1991,venezuela,64534.8820163724
1992,venezuela,64534.8820163724
1993,venezuela,64534.8820163724
1994,venezuela,64534.8820163724
1995,venezuela,64534.8820163724
1996,venezuela,64534.8820163724
1997,venezuela,64534.8820163724
1998,venezuela,64534.8820163724
1999,venezuela,64534.8820163724
2000,venezuela,64534.8820163724
2001,venezuela,64534.8820163724
2002,venezuela,64534.8820163724
2003,venezuela,64534.8820163724
2004,venezuela,64534.8820163724
2005,venezuela,64534.8820163724
2006,venezuela,64534.8820163724
2007,venezuela,64534.8820163724
2008,venezuela,64534.8820163724
2009,venezuela,64534.8820163724
2010,venezuela,64534.8820163724
2011,venezuela,64534.8820163724
2012,venezuela,64534.8820163724
2013,venezuela,64534.8820163724
2014,venezuela,64534.8820163724
2015,venezuela,64534.8820163724
2016,venezuela,64534.8820163724
2017,venezuela,64534.8820163724
2018,venezuela,64534.8820163724
2019,venezuela,64534.8820163724
