Year,Nation,prodinit_ippu_metals_tonne
1996,barbados,56407.79437993306
1997,barbados,56407.79437993306
1998,barbados,56407.79437993306
1999,barbados,56407.79437993306
2000,barbados,56407.79437993306
2001,barbados,56407.79437993306
2002,barbados,56407.79437993306
2003,barbados,56407.79437993306
2004,barbados,56407.79437993306
2005,barbados,56407.79437993306
2006,barbados,56407.79437993306
2007,barbados,56407.79437993306
2008,barbados,56407.79437993306
2009,barbados,56407.79437993306
2010,barbados,56407.79437993306
2011,barbados,56407.79437993306
2012,barbados,56407.79437993306
2013,barbados,56407.79437993306
2014,barbados,56407.79437993306
2015,barbados,56407.79437993306
2016,barbados,56407.79437993306
2017,barbados,56407.79437993306
2018,barbados,56407.79437993306
2019,barbados,56407.79437993306
1990,belize,56407.79437993306
1991,belize,56407.79437993306
1992,belize,56407.79437993306
1993,belize,56407.79437993306
1994,belize,56407.79437993306
1995,belize,56407.79437993306
1996,belize,56407.79437993306
1997,belize,56407.79437993306
1998,belize,56407.79437993306
1999,belize,56407.79437993306
2000,belize,56407.79437993306
2001,belize,56407.79437993306
2002,belize,56407.79437993306
2003,belize,56407.79437993306
2004,belize,56407.79437993306
2005,belize,56407.79437993306
2006,belize,56407.79437993306
2007,belize,56407.79437993306
2008,belize,56407.79437993306
2009,belize,56407.79437993306
2010,belize,56407.79437993306
2011,belize,56407.79437993306
2012,belize,56407.79437993306
2013,belize,56407.79437993306
2014,belize,56407.79437993306
2015,belize,56407.79437993306
2016,belize,56407.79437993306
2017,belize,56407.79437993306
2018,belize,56407.79437993306
2019,belize,56407.79437993306
1990,bolivia,1089.547196476264
1991,bolivia,1089.547196476264
1992,bolivia,1089.547196476264
1993,bolivia,1089.547196476264
1994,bolivia,1089.547196476264
1995,bolivia,1089.547196476264
1996,bolivia,1089.547196476264
1997,bolivia,1089.547196476264
1998,bolivia,1089.547196476264
1999,bolivia,1089.547196476264
2000,bolivia,1089.547196476264
2001,bolivia,1089.547196476264
2002,bolivia,1089.547196476264
2003,bolivia,1089.547196476264
2004,bolivia,1089.547196476264
2005,bolivia,1089.547196476264
2006,bolivia,1089.547196476264
2007,bolivia,1089.547196476264
2008,bolivia,1089.547196476264
2009,bolivia,1089.547196476264
2010,bolivia,1089.547196476264
2011,bolivia,1089.547196476264
2012,bolivia,1089.547196476264
2013,bolivia,1089.547196476264
2014,bolivia,1089.547196476264
2015,bolivia,1089.547196476264
2016,bolivia,1089.547196476264
2017,bolivia,1089.547196476264
2018,bolivia,1089.547196476264
2019,bolivia,1089.547196476264
1990,brazil,491911.34164315206
1991,brazil,491911.34164315206
1992,brazil,491911.34164315206
1993,brazil,491911.34164315206
1994,brazil,491911.34164315206
1995,brazil,491911.34164315206
1996,brazil,491911.34164315206
1997,brazil,491911.34164315206
1998,brazil,491911.34164315206
1999,brazil,491911.34164315206
2000,brazil,491911.34164315206
2001,brazil,491911.34164315206
2002,brazil,491911.34164315206
2003,brazil,491911.34164315206
2004,brazil,491911.34164315206
2005,brazil,491911.34164315206
2006,brazil,491911.34164315206
2007,brazil,491911.34164315206
2008,brazil,491911.34164315206
2009,brazil,491911.34164315206
2010,brazil,491911.34164315206
2011,brazil,491911.34164315206
2012,brazil,491911.34164315206
2013,brazil,491911.34164315206
2014,brazil,491911.34164315206
2015,brazil,491911.34164315206
2016,brazil,491911.34164315206
2017,brazil,491911.34164315206
2018,brazil,491911.34164315206
2019,brazil,491911.34164315206
1990,chile,19231.616216708062
1991,chile,19231.616216708062
1992,chile,19231.616216708062
1993,chile,19231.616216708062
1994,chile,19231.616216708062
1995,chile,19231.616216708062
1996,chile,19231.616216708062
1997,chile,19231.616216708062
1998,chile,19231.616216708062
1999,chile,19231.616216708062
2000,chile,19231.616216708062
2001,chile,19231.616216708062
2002,chile,19231.616216708062
2003,chile,19231.616216708062
2004,chile,19231.616216708062
2005,chile,19231.616216708062
2006,chile,19231.616216708062
2007,chile,19231.616216708062
2008,chile,19231.616216708062
2009,chile,19231.616216708062
2010,chile,19231.616216708062
2011,chile,19231.616216708062
2012,chile,19231.616216708062
2013,chile,19231.616216708062
2014,chile,19231.616216708062
2015,chile,19231.616216708062
2016,chile,19231.616216708062
2017,chile,19231.616216708062
2018,chile,19231.616216708062
2019,chile,19231.616216708062
1990,colombia,33957.23104971719
1991,colombia,33957.23104971719
1992,colombia,33957.23104971719
1993,colombia,33957.23104971719
1994,colombia,33957.23104971719
1995,colombia,33957.23104971719
1996,colombia,33957.23104971719
1997,colombia,33957.23104971719
1998,colombia,33957.23104971719
1999,colombia,33957.23104971719
2000,colombia,33957.23104971719
2001,colombia,33957.23104971719
2002,colombia,33957.23104971719
2003,colombia,33957.23104971719
2004,colombia,33957.23104971719
2005,colombia,33957.23104971719
2006,colombia,33957.23104971719
2007,colombia,33957.23104971719
2008,colombia,33957.23104971719
2009,colombia,33957.23104971719
2010,colombia,33957.23104971719
2011,colombia,33957.23104971719
2012,colombia,33957.23104971719
2013,colombia,33957.23104971719
2014,colombia,33957.23104971719
2015,colombia,33957.23104971719
2016,colombia,33957.23104971719
2017,colombia,33957.23104971719
2018,colombia,33957.23104971719
2019,colombia,33957.23104971719
1990,costa_rica,3250.7769056635752
1991,costa_rica,3250.7769056635752
1992,costa_rica,3250.7769056635752
1993,costa_rica,3250.7769056635752
1994,costa_rica,3250.7769056635752
1995,costa_rica,3250.7769056635752
1996,costa_rica,3250.7769056635752
1997,costa_rica,3250.7769056635752
1998,costa_rica,3250.7769056635752
1999,costa_rica,3250.7769056635752
2000,costa_rica,3250.7769056635752
2001,costa_rica,3250.7769056635752
2002,costa_rica,3250.7769056635752
2003,costa_rica,3250.7769056635752
2004,costa_rica,3250.7769056635752
2005,costa_rica,3250.7769056635752
2006,costa_rica,3250.7769056635752
2007,costa_rica,3250.7769056635752
2008,costa_rica,3250.7769056635752
2009,costa_rica,3250.7769056635752
2010,costa_rica,3250.7769056635752
2011,costa_rica,3250.7769056635752
2012,costa_rica,3250.7769056635752
2013,costa_rica,3250.7769056635752
2014,costa_rica,3250.7769056635752
2015,costa_rica,3250.7769056635752
2016,costa_rica,3250.7769056635752
2017,costa_rica,3250.7769056635752
2018,costa_rica,3250.7769056635752
2019,costa_rica,3250.7769056635752
1990,dominican_republic,5496.017275756486
1991,dominican_republic,5496.017275756486
1992,dominican_republic,5496.017275756486
1993,dominican_republic,5496.017275756486
1994,dominican_republic,5496.017275756486
1995,dominican_republic,5496.017275756486
1996,dominican_republic,5496.017275756486
1997,dominican_republic,5496.017275756486
1998,dominican_republic,5496.017275756486
1999,dominican_republic,5496.017275756486
2000,dominican_republic,5496.017275756486
2001,dominican_republic,5496.017275756486
2002,dominican_republic,5496.017275756486
2003,dominican_republic,5496.017275756486
2004,dominican_republic,5496.017275756486
2005,dominican_republic,5496.017275756486
2006,dominican_republic,5496.017275756486
2007,dominican_republic,5496.017275756486
2008,dominican_republic,5496.017275756486
2009,dominican_republic,5496.017275756486
2010,dominican_republic,5496.017275756486
2011,dominican_republic,5496.017275756486
2012,dominican_republic,5496.017275756486
2013,dominican_republic,5496.017275756486
2014,dominican_republic,5496.017275756486
2015,dominican_republic,5496.017275756486
2016,dominican_republic,5496.017275756486
2017,dominican_republic,5496.017275756486
2018,dominican_republic,5496.017275756486
2019,dominican_republic,5496.017275756486
1990,ecuador,8871.841470208956
1991,ecuador,8871.841470208956
1992,ecuador,8871.841470208956
1993,ecuador,8871.841470208956
1994,ecuador,8871.841470208956
1995,ecuador,8871.841470208956
1996,ecuador,8871.841470208956
1997,ecuador,8871.841470208956
1998,ecuador,8871.841470208956
1999,ecuador,8871.841470208956
2000,ecuador,8871.841470208956
2001,ecuador,8871.841470208956
2002,ecuador,8871.841470208956
2003,ecuador,8871.841470208956
2004,ecuador,8871.841470208956
2005,ecuador,8871.841470208956
2006,ecuador,8871.841470208956
2007,ecuador,8871.841470208956
2008,ecuador,8871.841470208956
2009,ecuador,8871.841470208956
2010,ecuador,8871.841470208956
2011,ecuador,8871.841470208956
2012,ecuador,8871.841470208956
2013,ecuador,8871.841470208956
2014,ecuador,8871.841470208956
2015,ecuador,8871.841470208956
2016,ecuador,8871.841470208956
2017,ecuador,8871.841470208956
2018,ecuador,8871.841470208956
2019,ecuador,8871.841470208956
1990,el_salvador,2124.8946705945086
1991,el_salvador,2124.8946705945086
1992,el_salvador,2124.8946705945086
1993,el_salvador,2124.8946705945086
1994,el_salvador,2124.8946705945086
1995,el_salvador,2124.8946705945086
1996,el_salvador,2124.8946705945086
1997,el_salvador,2124.8946705945086
1998,el_salvador,2124.8946705945086
1999,el_salvador,2124.8946705945086
2000,el_salvador,2124.8946705945086
2001,el_salvador,2124.8946705945086
2002,el_salvador,2124.8946705945086
2003,el_salvador,2124.8946705945086
2004,el_salvador,2124.8946705945086
2005,el_salvador,2124.8946705945086
2006,el_salvador,2124.8946705945086
2007,el_salvador,2124.8946705945086
2008,el_salvador,2124.8946705945086
2009,el_salvador,2124.8946705945086
2010,el_salvador,2124.8946705945086
2011,el_salvador,2124.8946705945086
2012,el_salvador,2124.8946705945086
2013,el_salvador,2124.8946705945086
2014,el_salvador,2124.8946705945086
2015,el_salvador,2124.8946705945086
2016,el_salvador,2124.8946705945086
2017,el_salvador,2124.8946705945086
2018,el_salvador,2124.8946705945086
2019,el_salvador,2124.8946705945086
1990,guatemala,6593.441165871154
1991,guatemala,6593.441165871154
1992,guatemala,6593.441165871154
1993,guatemala,6593.441165871154
1994,guatemala,6593.441165871154
1995,guatemala,6593.441165871154
1996,guatemala,6593.441165871154
1997,guatemala,6593.441165871154
1998,guatemala,6593.441165871154
1999,guatemala,6593.441165871154
2000,guatemala,6593.441165871154
2001,guatemala,6593.441165871154
2002,guatemala,6593.441165871154
2003,guatemala,6593.441165871154
2004,guatemala,6593.441165871154
2005,guatemala,6593.441165871154
2006,guatemala,6593.441165871154
2007,guatemala,6593.441165871154
2008,guatemala,6593.441165871154
2009,guatemala,6593.441165871154
2010,guatemala,6593.441165871154
2011,guatemala,6593.441165871154
2012,guatemala,6593.441165871154
2013,guatemala,6593.441165871154
2014,guatemala,6593.441165871154
2015,guatemala,6593.441165871154
2016,guatemala,6593.441165871154
2017,guatemala,6593.441165871154
2018,guatemala,6593.441165871154
2019,guatemala,6593.441165871154
1990,guyana,56407.79437993306
1991,guyana,56407.79437993306
1992,guyana,56407.79437993306
1993,guyana,56407.79437993306
1994,guyana,56407.79437993306
1995,guyana,56407.79437993306
1996,guyana,56407.79437993306
1997,guyana,56407.79437993306
1998,guyana,56407.79437993306
1999,guyana,56407.79437993306
2000,guyana,56407.79437993306
2001,guyana,56407.79437993306
2002,guyana,56407.79437993306
2003,guyana,56407.79437993306
2004,guyana,56407.79437993306
2005,guyana,56407.79437993306
2006,guyana,56407.79437993306
2007,guyana,56407.79437993306
2008,guyana,56407.79437993306
2009,guyana,56407.79437993306
2010,guyana,56407.79437993306
2011,guyana,56407.79437993306
2012,guyana,56407.79437993306
2013,guyana,56407.79437993306
2014,guyana,56407.79437993306
2015,guyana,56407.79437993306
2016,guyana,56407.79437993306
2017,guyana,56407.79437993306
2018,guyana,56407.79437993306
2019,guyana,56407.79437993306
1990,haiti,56407.79437993306
1991,haiti,56407.79437993306
1992,haiti,56407.79437993306
1993,haiti,56407.79437993306
1994,haiti,56407.79437993306
1995,haiti,56407.79437993306
1996,haiti,56407.79437993306
1997,haiti,56407.79437993306
1998,haiti,56407.79437993306
1999,haiti,56407.79437993306
2000,haiti,56407.79437993306
2001,haiti,56407.79437993306
2002,haiti,56407.79437993306
2003,haiti,56407.79437993306
2004,haiti,56407.79437993306
2005,haiti,56407.79437993306
2006,haiti,56407.79437993306
2007,haiti,56407.79437993306
2008,haiti,56407.79437993306
2009,haiti,56407.79437993306
2010,haiti,56407.79437993306
2011,haiti,56407.79437993306
2012,haiti,56407.79437993306
2013,haiti,56407.79437993306
2014,haiti,56407.79437993306
2015,haiti,56407.79437993306
2016,haiti,56407.79437993306
2017,haiti,56407.79437993306
2018,haiti,56407.79437993306
2019,haiti,56407.79437993306
1990,honduras,389.08251317084756
1991,honduras,389.08251317084756
1992,honduras,389.08251317084756
1993,honduras,389.08251317084756
1994,honduras,389.08251317084756
1995,honduras,389.08251317084756
1996,honduras,389.08251317084756
1997,honduras,389.08251317084756
1998,honduras,389.08251317084756
1999,honduras,389.08251317084756
2000,honduras,389.08251317084756
2001,honduras,389.08251317084756
2002,honduras,389.08251317084756
2003,honduras,389.08251317084756
2004,honduras,389.08251317084756
2005,honduras,389.08251317084756
2006,honduras,389.08251317084756
2007,honduras,389.08251317084756
2008,honduras,389.08251317084756
2009,honduras,389.08251317084756
2010,honduras,389.08251317084756
2011,honduras,389.08251317084756
2012,honduras,389.08251317084756
2013,honduras,389.08251317084756
2014,honduras,389.08251317084756
2015,honduras,389.08251317084756
2016,honduras,389.08251317084756
2017,honduras,389.08251317084756
2018,honduras,389.08251317084756
2019,honduras,389.08251317084756
1990,jamaica,56407.79437993306
1991,jamaica,56407.79437993306
1992,jamaica,56407.79437993306
1993,jamaica,56407.79437993306
1994,jamaica,56407.79437993306
1995,jamaica,56407.79437993306
1996,jamaica,56407.79437993306
1997,jamaica,56407.79437993306
1998,jamaica,56407.79437993306
1999,jamaica,56407.79437993306
2000,jamaica,56407.79437993306
2001,jamaica,56407.79437993306
2002,jamaica,56407.79437993306
2003,jamaica,56407.79437993306
2004,jamaica,56407.79437993306
2005,jamaica,56407.79437993306
2006,jamaica,56407.79437993306
2007,jamaica,56407.79437993306
2008,jamaica,56407.79437993306
2009,jamaica,56407.79437993306
2010,jamaica,56407.79437993306
2011,jamaica,56407.79437993306
2012,jamaica,56407.79437993306
2013,jamaica,56407.79437993306
2014,jamaica,56407.79437993306
2015,jamaica,56407.79437993306
2016,jamaica,56407.79437993306
2017,jamaica,56407.79437993306
2018,jamaica,56407.79437993306
2019,jamaica,56407.79437993306
1990,mexico,283737.0408923549
1991,mexico,283737.0408923549
1992,mexico,283737.0408923549
1993,mexico,283737.0408923549
1994,mexico,283737.0408923549
1995,mexico,283737.0408923549
1996,mexico,283737.0408923549
1997,mexico,283737.0408923549
1998,mexico,283737.0408923549
1999,mexico,283737.0408923549
2000,mexico,283737.0408923549
2001,mexico,283737.0408923549
2002,mexico,283737.0408923549
2003,mexico,283737.0408923549
2004,mexico,283737.0408923549
2005,mexico,283737.0408923549
2006,mexico,283737.0408923549
2007,mexico,283737.0408923549
2008,mexico,283737.0408923549
2009,mexico,283737.0408923549
2010,mexico,283737.0408923549
2011,mexico,283737.0408923549
2012,mexico,283737.0408923549
2013,mexico,283737.0408923549
2014,mexico,283737.0408923549
2015,mexico,283737.0408923549
2016,mexico,283737.0408923549
2017,mexico,283737.0408923549
2018,mexico,283737.0408923549
2019,mexico,283737.0408923549
1990,nicaragua,447.58242106549955
1991,nicaragua,447.58242106549955
1992,nicaragua,447.58242106549955
1993,nicaragua,447.58242106549955
1994,nicaragua,447.58242106549955
1995,nicaragua,447.58242106549955
1996,nicaragua,447.58242106549955
1997,nicaragua,447.58242106549955
1998,nicaragua,447.58242106549955
1999,nicaragua,447.58242106549955
2000,nicaragua,447.58242106549955
2001,nicaragua,447.58242106549955
2002,nicaragua,447.58242106549955
2003,nicaragua,447.58242106549955
2004,nicaragua,447.58242106549955
2005,nicaragua,447.58242106549955
2006,nicaragua,447.58242106549955
2007,nicaragua,447.58242106549955
2008,nicaragua,447.58242106549955
2009,nicaragua,447.58242106549955
2010,nicaragua,447.58242106549955
2011,nicaragua,447.58242106549955
2012,nicaragua,447.58242106549955
2013,nicaragua,447.58242106549955
2014,nicaragua,447.58242106549955
2015,nicaragua,447.58242106549955
2016,nicaragua,447.58242106549955
2017,nicaragua,447.58242106549955
2018,nicaragua,447.58242106549955
2019,nicaragua,447.58242106549955
1990,panama,626.3427273398983
1991,panama,626.3427273398983
1992,panama,626.3427273398983
1993,panama,626.3427273398983
1994,panama,626.3427273398983
1995,panama,626.3427273398983
1996,panama,626.3427273398983
1997,panama,626.3427273398983
1998,panama,626.3427273398983
1999,panama,626.3427273398983
2000,panama,626.3427273398983
2001,panama,626.3427273398983
2002,panama,626.3427273398983
2003,panama,626.3427273398983
2004,panama,626.3427273398983
2005,panama,626.3427273398983
2006,panama,626.3427273398983
2007,panama,626.3427273398983
2008,panama,626.3427273398983
2009,panama,626.3427273398983
2010,panama,626.3427273398983
2011,panama,626.3427273398983
2012,panama,626.3427273398983
2013,panama,626.3427273398983
2014,panama,626.3427273398983
2015,panama,626.3427273398983
2016,panama,626.3427273398983
2017,panama,626.3427273398983
2018,panama,626.3427273398983
2019,panama,626.3427273398983
1990,paraguay,1167.0598992565538
1991,paraguay,1167.0598992565538
1992,paraguay,1167.0598992565538
1993,paraguay,1167.0598992565538
1994,paraguay,1167.0598992565538
1995,paraguay,1167.0598992565538
1996,paraguay,1167.0598992565538
1997,paraguay,1167.0598992565538
1998,paraguay,1167.0598992565538
1999,paraguay,1167.0598992565538
2000,paraguay,1167.0598992565538
2001,paraguay,1167.0598992565538
2002,paraguay,1167.0598992565538
2003,paraguay,1167.0598992565538
2004,paraguay,1167.0598992565538
2005,paraguay,1167.0598992565538
2006,paraguay,1167.0598992565538
2007,paraguay,1167.0598992565538
2008,paraguay,1167.0598992565538
2009,paraguay,1167.0598992565538
2010,paraguay,1167.0598992565538
2011,paraguay,1167.0598992565538
2012,paraguay,1167.0598992565538
2013,paraguay,1167.0598992565538
2014,paraguay,1167.0598992565538
2015,paraguay,1167.0598992565538
2016,paraguay,1167.0598992565538
2017,paraguay,1167.0598992565538
2018,paraguay,1167.0598992565538
2019,paraguay,1167.0598992565538
1990,peru,19758.247401546516
1991,peru,19758.247401546516
1992,peru,19758.247401546516
1993,peru,19758.247401546516
1994,peru,19758.247401546516
1995,peru,19758.247401546516
1996,peru,19758.247401546516
1997,peru,19758.247401546516
1998,peru,19758.247401546516
1999,peru,19758.247401546516
2000,peru,19758.247401546516
2001,peru,19758.247401546516
2002,peru,19758.247401546516
2003,peru,19758.247401546516
2004,peru,19758.247401546516
2005,peru,19758.247401546516
2006,peru,19758.247401546516
2007,peru,19758.247401546516
2008,peru,19758.247401546516
2009,peru,19758.247401546516
2010,peru,19758.247401546516
2011,peru,19758.247401546516
2012,peru,19758.247401546516
2013,peru,19758.247401546516
2014,peru,19758.247401546516
2015,peru,19758.247401546516
2016,peru,19758.247401546516
2017,peru,19758.247401546516
2018,peru,19758.247401546516
2019,peru,19758.247401546516
1990,suriname,56407.79437993306
1991,suriname,56407.79437993306
1992,suriname,56407.79437993306
1993,suriname,56407.79437993306
1994,suriname,56407.79437993306
1995,suriname,56407.79437993306
1996,suriname,56407.79437993306
1997,suriname,56407.79437993306
1998,suriname,56407.79437993306
1999,suriname,56407.79437993306
2000,suriname,56407.79437993306
2001,suriname,56407.79437993306
2002,suriname,56407.79437993306
2003,suriname,56407.79437993306
2004,suriname,56407.79437993306
2005,suriname,56407.79437993306
2006,suriname,56407.79437993306
2007,suriname,56407.79437993306
2008,suriname,56407.79437993306
2009,suriname,56407.79437993306
2010,suriname,56407.79437993306
2011,suriname,56407.79437993306
2012,suriname,56407.79437993306
2013,suriname,56407.79437993306
2014,suriname,56407.79437993306
2015,suriname,56407.79437993306
2016,suriname,56407.79437993306
2017,suriname,56407.79437993306
2018,suriname,56407.79437993306
2019,suriname,56407.79437993306
1990,trinidad_and_tobago,56407.79437993306
1991,trinidad_and_tobago,56407.79437993306
1992,trinidad_and_tobago,56407.79437993306
1993,trinidad_and_tobago,56407.79437993306
1994,trinidad_and_tobago,56407.79437993306
1995,trinidad_and_tobago,56407.79437993306
1996,trinidad_and_tobago,56407.79437993306
1997,trinidad_and_tobago,56407.79437993306
1998,trinidad_and_tobago,56407.79437993306
1999,trinidad_and_tobago,56407.79437993306
2000,trinidad_and_tobago,56407.79437993306
2001,trinidad_and_tobago,56407.79437993306
2002,trinidad_and_tobago,56407.79437993306
2003,trinidad_and_tobago,56407.79437993306
2004,trinidad_and_tobago,56407.79437993306
2005,trinidad_and_tobago,56407.79437993306
2006,trinidad_and_tobago,56407.79437993306
2007,trinidad_and_tobago,56407.79437993306
2008,trinidad_and_tobago,56407.79437993306
2009,trinidad_and_tobago,56407.79437993306
2010,trinidad_and_tobago,56407.79437993306
2011,trinidad_and_tobago,56407.79437993306
2012,trinidad_and_tobago,56407.79437993306
2013,trinidad_and_tobago,56407.79437993306
2014,trinidad_and_tobago,56407.79437993306
2015,trinidad_and_tobago,56407.79437993306
2016,trinidad_and_tobago,56407.79437993306
2017,trinidad_and_tobago,56407.79437993306
2018,trinidad_and_tobago,56407.79437993306
2019,trinidad_and_tobago,56407.79437993306
1990,uruguay,2356.088000602667
1991,uruguay,2356.088000602667
1992,uruguay,2356.088000602667
1993,uruguay,2356.088000602667
1994,uruguay,2356.088000602667
1995,uruguay,2356.088000602667
1996,uruguay,2356.088000602667
1997,uruguay,2356.088000602667
1998,uruguay,2356.088000602667
1999,uruguay,2356.088000602667
2000,uruguay,2356.088000602667
2001,uruguay,2356.088000602667
2002,uruguay,2356.088000602667
2003,uruguay,2356.088000602667
2004,uruguay,2356.088000602667
2005,uruguay,2356.088000602667
2006,uruguay,2356.088000602667
2007,uruguay,2356.088000602667
2008,uruguay,2356.088000602667
2009,uruguay,2356.088000602667
2010,uruguay,2356.088000602667
2011,uruguay,2356.088000602667
2012,uruguay,2356.088000602667
2013,uruguay,2356.088000602667
2014,uruguay,2356.088000602667
2015,uruguay,2356.088000602667
2016,uruguay,2356.088000602667
2017,uruguay,2356.088000602667
2018,uruguay,2356.088000602667
2019,uruguay,2356.088000602667
1990,venezuela,13291.026760051353
1991,venezuela,13291.026760051353
1992,venezuela,13291.026760051353
1993,venezuela,13291.026760051353
1994,venezuela,13291.026760051353
1995,venezuela,13291.026760051353
1996,venezuela,13291.026760051353
1997,venezuela,13291.026760051353
1998,venezuela,13291.026760051353
1999,venezuela,13291.026760051353
2000,venezuela,13291.026760051353
2001,venezuela,13291.026760051353
2002,venezuela,13291.026760051353
2003,venezuela,13291.026760051353
2004,venezuela,13291.026760051353
2005,venezuela,13291.026760051353
2006,venezuela,13291.026760051353
2007,venezuela,13291.026760051353
2008,venezuela,13291.026760051353
2009,venezuela,13291.026760051353
2010,venezuela,13291.026760051353
2011,venezuela,13291.026760051353
2012,venezuela,13291.026760051353
2013,venezuela,13291.026760051353
2014,venezuela,13291.026760051353
2015,venezuela,13291.026760051353
2016,venezuela,13291.026760051353
2017,venezuela,13291.026760051353
2018,venezuela,13291.026760051353
2019,venezuela,13291.026760051353
