Nation,iso_code3,Code,Year,nemomod_entc_residual_capacity_pp_coal_gw
el_salvador,SLV,222,2045,0.0
el_salvador,SLV,222,2046,0.0
el_salvador,SLV,222,2047,0.0
el_salvador,SLV,222,2048,0.0
el_salvador,SLV,222,2049,0.0
el_salvador,SLV,222,2050,0.0
guatemala,GTM,320,2022,0.5017
guatemala,GTM,320,2023,0.5017
guatemala,GTM,320,2024,0.5017
guatemala,GTM,320,2025,0.5017
guatemala,GTM,320,2026,0.5017
guatemala,GTM,320,2027,0.5017
guatemala,GTM,320,2028,0.5017
guatemala,GTM,320,2029,0.5017
guatemala,GTM,320,2030,0.5017
guatemala,GTM,320,2031,0.5017
guatemala,GTM,320,2032,0.5017
guatemala,GTM,320,2033,0.5017
guatemala,GTM,320,2034,0.5017
guatemala,GTM,320,2035,0.5017
guatemala,GTM,320,2036,0.5017
guatemala,GTM,320,2037,0.5017
guatemala,GTM,320,2038,0.5017
guatemala,GTM,320,2039,0.5017
guatemala,GTM,320,2040,0.5017
guatemala,GTM,320,2041,0.5017
guatemala,GTM,320,2042,0.5017
guatemala,GTM,320,2043,0.5017
guatemala,GTM,320,2044,0.5017
guatemala,GTM,320,2045,0.5017
guatemala,GTM,320,2046,0.5017
guatemala,GTM,320,2047,0.5017
guatemala,GTM,320,2048,0.5017
guatemala,GTM,320,2049,0.5017
guatemala,GTM,320,2050,0.5017
guyana,GUY,328,2022,0.0
guyana,GUY,328,2023,0.0
guyana,GUY,328,2024,0.0
guyana,GUY,328,2025,0.0
guyana,GUY,328,2026,0.0
guyana,GUY,328,2027,0.0
guyana,GUY,328,2028,0.0
guyana,GUY,328,2029,0.0
guyana,GUY,328,2030,0.0
guyana,GUY,328,2031,0.0
guyana,GUY,328,2032,0.0
guyana,GUY,328,2033,0.0
guyana,GUY,328,2034,0.0
guyana,GUY,328,2035,0.0
guyana,GUY,328,2036,0.0
guyana,GUY,328,2037,0.0
guyana,GUY,328,2038,0.0
guyana,GUY,328,2039,0.0
guyana,GUY,328,2040,0.0
guyana,GUY,328,2041,0.0
guyana,GUY,328,2042,0.0
guyana,GUY,328,2043,0.0
guyana,GUY,328,2044,0.0
guyana,GUY,328,2045,0.0
guyana,GUY,328,2046,0.0
guyana,GUY,328,2047,0.0
guyana,GUY,328,2048,0.0
guyana,GUY,328,2049,0.0
guyana,GUY,328,2050,0.0
haiti,HTI,332,2022,0.0
haiti,HTI,332,2023,0.0
haiti,HTI,332,2024,0.0
haiti,HTI,332,2025,0.0
haiti,HTI,332,2026,0.0
haiti,HTI,332,2027,0.0
haiti,HTI,332,2028,0.0
haiti,HTI,332,2029,0.0
haiti,HTI,332,2030,0.0
haiti,HTI,332,2031,0.0
haiti,HTI,332,2032,0.0
haiti,HTI,332,2033,0.0
haiti,HTI,332,2034,0.0
haiti,HTI,332,2035,0.0
haiti,HTI,332,2036,0.0
haiti,HTI,332,2037,0.0
haiti,HTI,332,2038,0.0
haiti,HTI,332,2039,0.0
haiti,HTI,332,2040,0.0
haiti,HTI,332,2041,0.0
haiti,HTI,332,2042,0.0
haiti,HTI,332,2043,0.0
haiti,HTI,332,2044,0.0
haiti,HTI,332,2045,0.0
haiti,HTI,332,2046,0.0
haiti,HTI,332,2047,0.0
haiti,HTI,332,2048,0.0
haiti,HTI,332,2049,0.0
haiti,HTI,332,2050,0.0
honduras,HND,340,2022,0.0
honduras,HND,340,2023,0.0
honduras,HND,340,2024,0.0
honduras,HND,340,2025,0.0
honduras,HND,340,2026,0.0
honduras,HND,340,2027,0.0
honduras,HND,340,2028,0.0
honduras,HND,340,2029,0.0
honduras,HND,340,2030,0.0
honduras,HND,340,2031,0.0
honduras,HND,340,2032,0.0
honduras,HND,340,2033,0.0
honduras,HND,340,2034,0.0
honduras,HND,340,2035,0.0
honduras,HND,340,2036,0.0
honduras,HND,340,2037,0.0
honduras,HND,340,2038,0.0
honduras,HND,340,2039,0.0
honduras,HND,340,2040,0.0
honduras,HND,340,2041,0.0
honduras,HND,340,2042,0.0
honduras,HND,340,2043,0.0
honduras,HND,340,2044,0.0
honduras,HND,340,2045,0.0
honduras,HND,340,2046,0.0
honduras,HND,340,2047,0.0
honduras,HND,340,2048,0.0
honduras,HND,340,2049,0.0
honduras,HND,340,2050,0.0
jamaica,JAM,388,2022,0.0
jamaica,JAM,388,2023,0.0
jamaica,JAM,388,2024,0.0
jamaica,JAM,388,2025,0.0
jamaica,JAM,388,2026,0.0
jamaica,JAM,388,2027,0.0
jamaica,JAM,388,2028,0.0
jamaica,JAM,388,2029,0.0
jamaica,JAM,388,2030,0.0
jamaica,JAM,388,2031,0.0
jamaica,JAM,388,2032,0.0
jamaica,JAM,388,2033,0.0
jamaica,JAM,388,2034,0.0
jamaica,JAM,388,2035,0.0
jamaica,JAM,388,2036,0.0
jamaica,JAM,388,2037,0.0
jamaica,JAM,388,2038,0.0
jamaica,JAM,388,2039,0.0
jamaica,JAM,388,2040,0.0
jamaica,JAM,388,2041,0.0
jamaica,JAM,388,2042,0.0
jamaica,JAM,388,2043,0.0
jamaica,JAM,388,2044,0.0
jamaica,JAM,388,2045,0.0
jamaica,JAM,388,2046,0.0
jamaica,JAM,388,2047,0.0
jamaica,JAM,388,2048,0.0
jamaica,JAM,388,2049,0.0
jamaica,JAM,388,2050,0.0
mexico,MEX,484,2022,5.958
mexico,MEX,484,2023,5.958
mexico,MEX,484,2024,5.958
mexico,MEX,484,2025,5.958
mexico,MEX,484,2026,5.958
mexico,MEX,484,2027,5.958
mexico,MEX,484,2028,5.958
mexico,MEX,484,2029,5.958
mexico,MEX,484,2030,5.958
mexico,MEX,484,2031,5.958
mexico,MEX,484,2032,5.958
mexico,MEX,484,2033,5.958
mexico,MEX,484,2034,5.958
mexico,MEX,484,2035,5.958
mexico,MEX,484,2036,5.958
mexico,MEX,484,2037,5.958
mexico,MEX,484,2038,5.958
mexico,MEX,484,2039,5.958
mexico,MEX,484,2040,5.958
mexico,MEX,484,2041,5.958
mexico,MEX,484,2042,5.958
mexico,MEX,484,2043,5.958
mexico,MEX,484,2044,5.958
mexico,MEX,484,2045,5.958
mexico,MEX,484,2046,5.958
mexico,MEX,484,2047,5.958
mexico,MEX,484,2048,5.958
mexico,MEX,484,2049,5.958
mexico,MEX,484,2050,5.958
nicaragua,NIC,558,2022,0.0
nicaragua,NIC,558,2023,0.0
nicaragua,NIC,558,2024,0.0
nicaragua,NIC,558,2025,0.0
nicaragua,NIC,558,2026,0.0
nicaragua,NIC,558,2027,0.0
nicaragua,NIC,558,2028,0.0
nicaragua,NIC,558,2029,0.0
nicaragua,NIC,558,2030,0.0
nicaragua,NIC,558,2031,0.0
nicaragua,NIC,558,2032,0.0
nicaragua,NIC,558,2033,0.0
nicaragua,NIC,558,2034,0.0
nicaragua,NIC,558,2035,0.0
nicaragua,NIC,558,2036,0.0
nicaragua,NIC,558,2037,0.0
nicaragua,NIC,558,2038,0.0
nicaragua,NIC,558,2039,0.0
nicaragua,NIC,558,2040,0.0
nicaragua,NIC,558,2041,0.0
nicaragua,NIC,558,2042,0.0
nicaragua,NIC,558,2043,0.0
nicaragua,NIC,558,2044,0.0
nicaragua,NIC,558,2045,0.0
nicaragua,NIC,558,2046,0.0
nicaragua,NIC,558,2047,0.0
nicaragua,NIC,558,2048,0.0
nicaragua,NIC,558,2049,0.0
nicaragua,NIC,558,2050,0.0
panama,PAN,591,2022,0.3
panama,PAN,591,2023,0.3
panama,PAN,591,2024,0.3
panama,PAN,591,2025,0.3
panama,PAN,591,2026,0.3
panama,PAN,591,2027,0.3
panama,PAN,591,2028,0.3
panama,PAN,591,2029,0.3
panama,PAN,591,2030,0.3
panama,PAN,591,2031,0.3
panama,PAN,591,2032,0.3
panama,PAN,591,2033,0.3
panama,PAN,591,2034,0.3
panama,PAN,591,2035,0.3
panama,PAN,591,2036,0.3
panama,PAN,591,2037,0.3
panama,PAN,591,2038,0.3
panama,PAN,591,2039,0.3
panama,PAN,591,2040,0.3
panama,PAN,591,2041,0.3
panama,PAN,591,2042,0.3
panama,PAN,591,2043,0.3
panama,PAN,591,2044,0.3
panama,PAN,591,2045,0.3
panama,PAN,591,2046,0.3
panama,PAN,591,2047,0.3
panama,PAN,591,2048,0.3
panama,PAN,591,2049,0.3
panama,PAN,591,2050,0.3
paraguay,PRY,600,2022,0.0
paraguay,PRY,600,2023,0.0
paraguay,PRY,600,2024,0.0
paraguay,PRY,600,2025,0.0
paraguay,PRY,600,2026,0.0
paraguay,PRY,600,2027,0.0
paraguay,PRY,600,2028,0.0
paraguay,PRY,600,2029,0.0
paraguay,PRY,600,2030,0.0
paraguay,PRY,600,2031,0.0
paraguay,PRY,600,2032,0.0
paraguay,PRY,600,2033,0.0
paraguay,PRY,600,2034,0.0
paraguay,PRY,600,2035,0.0
paraguay,PRY,600,2036,0.0
paraguay,PRY,600,2037,0.0
