Nation,Category,Year,Emission
Bolivia (Plurinational State of),2.  Industrial Processes,2002,10116.34
Bolivia (Plurinational State of),2.  Industrial Processes,2003,NA
Bolivia (Plurinational State of),2.  Industrial Processes,2004,21270.58
Bolivia (Plurinational State of),2.  Industrial Processes,2005,NA
Bolivia (Plurinational State of),2.  Industrial Processes,2006,NA
Bolivia (Plurinational State of),2.  Industrial Processes,2007,NA
Bolivia (Plurinational State of),2.  Industrial Processes,2008,NA
Bolivia (Plurinational State of),2.  Industrial Processes,2009,NA
Bolivia (Plurinational State of),2.  Industrial Processes,2010,NA
Bolivia (Plurinational State of),2.  Industrial Processes,2011,NA
Bolivia (Plurinational State of),2.  Industrial Processes,2012,NA
Bolivia (Plurinational State of),2.  Industrial Processes,2013,NA
Bolivia (Plurinational State of),2.  Industrial Processes,2014,NA
Bolivia (Plurinational State of),2.  Industrial Processes,2015,NA
Bolivia (Plurinational State of),2.  Industrial Processes,2016,NA
Bolivia (Plurinational State of),2.  Industrial Processes,2017,NA
Bolivia (Plurinational State of),2.  Industrial Processes,2018,NA
Bolivia (Plurinational State of),2.  Industrial Processes,2019,NA
Brazil,2.  Industrial Processes,1990,52059.52
Brazil,2.  Industrial Processes,1991,58732.89
Brazil,2.  Industrial Processes,1992,57273.45
Brazil,2.  Industrial Processes,1993,61650.1
Brazil,2.  Industrial Processes,1994,62232.6
Brazil,2.  Industrial Processes,1995,65357.8
Brazil,2.  Industrial Processes,1996,66718.12
Brazil,2.  Industrial Processes,1997,68348.7
Brazil,2.  Industrial Processes,1998,70978.15
Brazil,2.  Industrial Processes,1999,70696.67
Brazil,2.  Industrial Processes,2000,73896.544
Brazil,2.  Industrial Processes,2001,70270.45
Brazil,2.  Industrial Processes,2002,74503.304
Brazil,2.  Industrial Processes,2003,75137.312
Brazil,2.  Industrial Processes,2004,80350.712
Brazil,2.  Industrial Processes,2005,78249.072
Brazil,2.  Industrial Processes,2006,79533.98
Brazil,2.  Industrial Processes,2007,79425.61
Brazil,2.  Industrial Processes,2008,82151.08
Brazil,2.  Industrial Processes,2009,72694.17
Brazil,2.  Industrial Processes,2010,89945.895
Brazil,2.  Industrial Processes,2011,94865.59
Brazil,2.  Industrial Processes,2012,95929.01
Brazil,2.  Industrial Processes,2013,96775.97
Brazil,2.  Industrial Processes,2014,97327.14
Brazil,2.  Industrial Processes,2015,96171.89
Brazil,2.  Industrial Processes,2016,90106.78
Brazil,2.  Industrial Processes,2017,NA
Brazil,2.  Industrial Processes,2018,NA
Brazil,2.  Industrial Processes,2019,NA
Chile,2.  Industrial Processes,1990,2181.533
Chile,2.  Industrial Processes,1991,NA
Chile,2.  Industrial Processes,1992,NA
Chile,2.  Industrial Processes,1993,2211.6
Chile,2.  Industrial Processes,1994,2550.69
Chile,2.  Industrial Processes,1995,NA
Chile,2.  Industrial Processes,1996,NA
Chile,2.  Industrial Processes,1997,NA
Chile,2.  Industrial Processes,1998,NA
Chile,2.  Industrial Processes,1999,NA
Chile,2.  Industrial Processes,2000,4801.161
Chile,2.  Industrial Processes,2001,NA
Chile,2.  Industrial Processes,2002,NA
Chile,2.  Industrial Processes,2003,NA
Chile,2.  Industrial Processes,2004,NA
Chile,2.  Industrial Processes,2005,NA
Chile,2.  Industrial Processes,2006,5244.965509
Chile,2.  Industrial Processes,2007,NA
Chile,2.  Industrial Processes,2008,NA
Chile,2.  Industrial Processes,2009,NA
Chile,2.  Industrial Processes,2010,4679.161
Chile,2.  Industrial Processes,2011,NA
Chile,2.  Industrial Processes,2012,NA
Chile,2.  Industrial Processes,2013,5854.498
Chile,2.  Industrial Processes,2014,NA
Chile,2.  Industrial Processes,2015,NA
Chile,2.  Industrial Processes,2016,7128.338
Chile,2.  Industrial Processes,2017,NA
Chile,2.  Industrial Processes,2018,8273.146
Chile,2.  Industrial Processes,2019,NA
Colombia,2.  Industrial Processes,1990,4810.70021
Colombia,2.  Industrial Processes,1991,NA
Colombia,2.  Industrial Processes,1992,NA
Colombia,2.  Industrial Processes,1993,NA
Colombia,2.  Industrial Processes,1994,5297.99042
Colombia,2.  Industrial Processes,1995,NA
Colombia,2.  Industrial Processes,1996,NA
Colombia,2.  Industrial Processes,1997,NA
Colombia,2.  Industrial Processes,1998,NA
Colombia,2.  Industrial Processes,1999,NA
Colombia,2.  Industrial Processes,2000,7289.301
Colombia,2.  Industrial Processes,2001,NA
Colombia,2.  Industrial Processes,2002,NA
Colombia,2.  Industrial Processes,2003,NA
Colombia,2.  Industrial Processes,2004,9070.107
Colombia,2.  Industrial Processes,2005,NA
Colombia,2.  Industrial Processes,2006,NA
Colombia,2.  Industrial Processes,2007,NA
Colombia,2.  Industrial Processes,2008,NA
Colombia,2.  Industrial Processes,2009,NA
Colombia,2.  Industrial Processes,2010,NA
Colombia,2.  Industrial Processes,2011,NA
Colombia,2.  Industrial Processes,2012,NA
Colombia,2.  Industrial Processes,2013,NA
Colombia,2.  Industrial Processes,2014,NA
Colombia,2.  Industrial Processes,2015,NA
Colombia,2.  Industrial Processes,2016,NA
Colombia,2.  Industrial Processes,2017,NA
Colombia,2.  Industrial Processes,2018,NA
Colombia,2.  Industrial Processes,2019,NA
Costa Rica,2.  Industrial Processes,1990,367.9
Costa Rica,2.  Industrial Processes,1991,NA
Costa Rica,2.  Industrial Processes,1992,NA
Costa Rica,2.  Industrial Processes,1993,NA
Costa Rica,2.  Industrial Processes,1994,NA
Costa Rica,2.  Industrial Processes,1995,NA
Costa Rica,2.  Industrial Processes,1996,571.48
Costa Rica,2.  Industrial Processes,1997,NA
Costa Rica,2.  Industrial Processes,1998,NA
Costa Rica,2.  Industrial Processes,1999,NA
Costa Rica,2.  Industrial Processes,2000,387.504
Costa Rica,2.  Industrial Processes,2001,NA
Costa Rica,2.  Industrial Processes,2002,NA
Costa Rica,2.  Industrial Processes,2003,NA
Costa Rica,2.  Industrial Processes,2004,NA
Costa Rica,2.  Industrial Processes,2005,496.604
Costa Rica,2.  Industrial Processes,2006,NA
Costa Rica,2.  Industrial Processes,2007,NA
Costa Rica,2.  Industrial Processes,2008,NA
Costa Rica,2.  Industrial Processes,2009,NA
Costa Rica,2.  Industrial Processes,2010,NA
Costa Rica,2.  Industrial Processes,2011,NA
Costa Rica,2.  Industrial Processes,2012,NA
Costa Rica,2.  Industrial Processes,2013,NA
Costa Rica,2.  Industrial Processes,2014,NA
Costa Rica,2.  Industrial Processes,2015,NA
Costa Rica,2.  Industrial Processes,2016,NA
Costa Rica,2.  Industrial Processes,2017,NA
Costa Rica,2.  Industrial Processes,2018,NA
Costa Rica,2.  Industrial Processes,2019,NA
Dominican Republic,2.  Industrial Processes,1990,541.1
Dominican Republic,2.  Industrial Processes,1991,NA
Dominican Republic,2.  Industrial Processes,1992,NA
Dominican Republic,2.  Industrial Processes,1993,NA
Dominican Republic,2.  Industrial Processes,1994,643.8
Dominican Republic,2.  Industrial Processes,1995,NA
Dominican Republic,2.  Industrial Processes,1996,NA
Dominican Republic,2.  Industrial Processes,1997,NA
Dominican Republic,2.  Industrial Processes,1998,1045.7
Dominican Republic,2.  Industrial Processes,1999,NA
Dominican Republic,2.  Industrial Processes,2000,811.06
Dominican Republic,2.  Industrial Processes,2001,NA
Dominican Republic,2.  Industrial Processes,2002,NA
Dominican Republic,2.  Industrial Processes,2003,NA
Dominican Republic,2.  Industrial Processes,2004,NA
Dominican Republic,2.  Industrial Processes,2005,NA
Dominican Republic,2.  Industrial Processes,2006,NA
Dominican Republic,2.  Industrial Processes,2007,NA
Dominican Republic,2.  Industrial Processes,2008,NA
Dominican Republic,2.  Industrial Processes,2009,NA
Dominican Republic,2.  Industrial Processes,2010,1803.45
Dominican Republic,2.  Industrial Processes,2011,NA
Dominican Republic,2.  Industrial Processes,2012,NA
Dominican Republic,2.  Industrial Processes,2013,NA
Dominican Republic,2.  Industrial Processes,2014,NA
Dominican Republic,2.  Industrial Processes,2015,NA
Dominican Republic,2.  Industrial Processes,2016,NA
Dominican Republic,2.  Industrial Processes,2017,NA
Dominican Republic,2.  Industrial Processes,2018,NA
Dominican Republic,2.  Industrial Processes,2019,NA
Ecuador,2.  Industrial Processes,1990,1726.78
Ecuador,2.  Industrial Processes,1991,NA
Ecuador,2.  Industrial Processes,1992,NA
Ecuador,2.  Industrial Processes,1993,NA
Ecuador,2.  Industrial Processes,1994,2036.81
Ecuador,2.  Industrial Processes,1995,NA
Ecuador,2.  Industrial Processes,1996,NA
Ecuador,2.  Industrial Processes,1997,NA
Ecuador,2.  Industrial Processes,1998,NA
Ecuador,2.  Industrial Processes,1999,NA
Ecuador,2.  Industrial Processes,2000,1389.97
Ecuador,2.  Industrial Processes,2001,NA
Ecuador,2.  Industrial Processes,2002,NA
Ecuador,2.  Industrial Processes,2003,NA
Ecuador,2.  Industrial Processes,2004,NA
Ecuador,2.  Industrial Processes,2005,NA
Ecuador,2.  Industrial Processes,2006,2762.61
Ecuador,2.  Industrial Processes,2007,NA
Ecuador,2.  Industrial Processes,2008,NA
Ecuador,2.  Industrial Processes,2009,NA
Ecuador,2.  Industrial Processes,2010,2658.84
Ecuador,2.  Industrial Processes,2011,NA
Ecuador,2.  Industrial Processes,2012,4571.716
Ecuador,2.  Industrial Processes,2013,NA
Ecuador,2.  Industrial Processes,2014,NA
Ecuador,2.  Industrial Processes,2015,NA
Ecuador,2.  Industrial Processes,2016,NA
Ecuador,2.  Industrial Processes,2017,NA
Ecuador,2.  Industrial Processes,2018,NA
Ecuador,2.  Industrial Processes,2019,NA
El Salvador,2.  Industrial Processes,1990,NA
El Salvador,2.  Industrial Processes,1991,NA
El Salvador,2.  Industrial Processes,1992,NA
El Salvador,2.  Industrial Processes,1993,NA
El Salvador,2.  Industrial Processes,1994,490.12
El Salvador,2.  Industrial Processes,1995,NA
El Salvador,2.  Industrial Processes,1996,NA
El Salvador,2.  Industrial Processes,1997,NA
El Salvador,2.  Industrial Processes,1998,NA
El Salvador,2.  Industrial Processes,1999,NA
El Salvador,2.  Industrial Processes,2000,NA
El Salvador,2.  Industrial Processes,2001,NA
El Salvador,2.  Industrial Processes,2002,NA
El Salvador,2.  Industrial Processes,2003,NA
El Salvador,2.  Industrial Processes,2004,NA
El Salvador,2.  Industrial Processes,2005,442.08
El Salvador,2.  Industrial Processes,2006,NA
El Salvador,2.  Industrial Processes,2007,NA
El Salvador,2.  Industrial Processes,2008,NA
El Salvador,2.  Industrial Processes,2009,NA
El Salvador,2.  Industrial Processes,2010,NA
El Salvador,2.  Industrial Processes,2011,NA
El Salvador,2.  Industrial Processes,2012,NA
El Salvador,2.  Industrial Processes,2013,NA
El Salvador,2.  Industrial Processes,2014,NA
El Salvador,2.  Industrial Processes,2015,NA
El Salvador,2.  Industrial Processes,2016,NA
El Salvador,2.  Industrial Processes,2017,NA
El Salvador,2.  Industrial Processes,2018,NA
El Salvador,2.  Industrial Processes,2019,NA
Guatemala,2.  Industrial Processes,1990,544.664
Guatemala,2.  Industrial Processes,1991,NA
Guatemala,2.  Industrial Processes,1992,NA
Guatemala,2.  Industrial Processes,1993,NA
Guatemala,2.  Industrial Processes,1994,777.534
Guatemala,2.  Industrial Processes,1995,NA
Guatemala,2.  Industrial Processes,1996,NA
Guatemala,2.  Industrial Processes,1997,NA
Guatemala,2.  Industrial Processes,1998,NA
Guatemala,2.  Industrial Processes,1999,NA
Guatemala,2.  Industrial Processes,2000,1235.727
Guatemala,2.  Industrial Processes,2001,NA
Guatemala,2.  Industrial Processes,2002,NA
Guatemala,2.  Industrial Processes,2003,NA
Guatemala,2.  Industrial Processes,2004,NA
Guatemala,2.  Industrial Processes,2005,1541.089
Guatemala,2.  Industrial Processes,2006,NA
Guatemala,2.  Industrial Processes,2007,NA
Guatemala,2.  Industrial Processes,2008,NA
Guatemala,2.  Industrial Processes,2009,NA
Guatemala,2.  Industrial Processes,2010,NA
Guatemala,2.  Industrial Processes,2011,NA
Guatemala,2.  Industrial Processes,2012,NA
Guatemala,2.  Industrial Processes,2013,NA
Guatemala,2.  Industrial Processes,2014,NA
Guatemala,2.  Industrial Processes,2015,NA
Guatemala,2.  Industrial Processes,2016,NA
Guatemala,2.  Industrial Processes,2017,NA
Guatemala,2.  Industrial Processes,2018,NA
Guatemala,2.  Industrial Processes,2019,NA
Honduras,2.  Industrial Processes,1990,NA
Honduras,2.  Industrial Processes,1991,NA
Honduras,2.  Industrial Processes,1992,NA
Honduras,2.  Industrial Processes,1993,NA
Honduras,2.  Industrial Processes,1994,NA
Honduras,2.  Industrial Processes,1995,514.7902066
Honduras,2.  Industrial Processes,1996,NA
Honduras,2.  Industrial Processes,1997,NA
Honduras,2.  Industrial Processes,1998,NA
Honduras,2.  Industrial Processes,1999,NA
Honduras,2.  Industrial Processes,2000,689.97
Honduras,2.  Industrial Processes,2001,NA
Honduras,2.  Industrial Processes,2002,NA
Honduras,2.  Industrial Processes,2003,NA
Honduras,2.  Industrial Processes,2004,NA
Honduras,2.  Industrial Processes,2005,540.37
Honduras,2.  Industrial Processes,2006,NA
Honduras,2.  Industrial Processes,2007,NA
Honduras,2.  Industrial Processes,2008,NA
Honduras,2.  Industrial Processes,2009,NA
Honduras,2.  Industrial Processes,2010,NA
Honduras,2.  Industrial Processes,2011,NA
Honduras,2.  Industrial Processes,2012,NA
Honduras,2.  Industrial Processes,2013,NA
Honduras,2.  Industrial Processes,2014,NA
Honduras,2.  Industrial Processes,2015,1532.85
Honduras,2.  Industrial Processes,2016,NA
Honduras,2.  Industrial Processes,2017,NA
Honduras,2.  Industrial Processes,2018,NA
Honduras,2.  Industrial Processes,2019,NA
Jamaica,2.  Industrial Processes,1990,NA
Jamaica,2.  Industrial Processes,1991,NA
Jamaica,2.  Industrial Processes,1992,NA
Jamaica,2.  Industrial Processes,1993,NA
Jamaica,2.  Industrial Processes,1994,379
Jamaica,2.  Industrial Processes,1995,NA
Jamaica,2.  Industrial Processes,1996,NA
Jamaica,2.  Industrial Processes,1997,NA
Jamaica,2.  Industrial Processes,1998,NA
Jamaica,2.  Industrial Processes,1999,NA
Jamaica,2.  Industrial Processes,2000,NA
Jamaica,2.  Industrial Processes,2001,NA
Jamaica,2.  Industrial Processes,2002,NA
Jamaica,2.  Industrial Processes,2003,NA
Jamaica,2.  Industrial Processes,2004,NA
Jamaica,2.  Industrial Processes,2005,NA
Jamaica,2.  Industrial Processes,2006,615.01
Jamaica,2.  Industrial Processes,2007,567.09
Jamaica,2.  Industrial Processes,2008,629.53
Jamaica,2.  Industrial Processes,2009,579.12
Jamaica,2.  Industrial Processes,2010,510.7
Jamaica,2.  Industrial Processes,2011,NA
Jamaica,2.  Industrial Processes,2012,528.38
Jamaica,2.  Industrial Processes,2013,NA
Jamaica,2.  Industrial Processes,2014,NA
Jamaica,2.  Industrial Processes,2015,NA
Jamaica,2.  Industrial Processes,2016,NA
Jamaica,2.  Industrial Processes,2017,NA
Jamaica,2.  Industrial Processes,2018,NA
Jamaica,2.  Industrial Processes,2019,NA
Mexico,2.  Industrial Processes,1990,29364.96
Mexico,2.  Industrial Processes,1991,30105.27
Mexico,2.  Industrial Processes,1992,30492.08
Mexico,2.  Industrial Processes,1993,31259.1
Mexico,2.  Industrial Processes,1994,33180.5
Mexico,2.  Industrial Processes,1995,32287.4
Mexico,2.  Industrial Processes,1996,37206.94
Mexico,2.  Industrial Processes,1997,40097.62
Mexico,2.  Industrial Processes,1998,40526.09
Mexico,2.  Industrial Processes,1999,43975.29
Mexico,2.  Industrial Processes,2000,47612.16
Mexico,2.  Industrial Processes,2001,48041.41
Mexico,2.  Industrial Processes,2002,45272.82
Mexico,2.  Industrial Processes,2003,44096.48
Mexico,2.  Industrial Processes,2004,52506.99
Mexico,2.  Industrial Processes,2005,47705.14
Mexico,2.  Industrial Processes,2006,54711.12
Mexico,2.  Industrial Processes,2007,54434.48
Mexico,2.  Industrial Processes,2008,56536.07
Mexico,2.  Industrial Processes,2009,53262.77
Mexico,2.  Industrial Processes,2010,60944.77
Mexico,2.  Industrial Processes,2011,57150.73
Mexico,2.  Industrial Processes,2012,56435.73
Mexico,2.  Industrial Processes,2013,43321.83
Mexico,2.  Industrial Processes,2014,NA
Mexico,2.  Industrial Processes,2015,NA
Mexico,2.  Industrial Processes,2016,NA
Mexico,2.  Industrial Processes,2017,NA
Mexico,2.  Industrial Processes,2018,NA
Mexico,2.  Industrial Processes,2019,NA
Nicaragua,2.  Industrial Processes,1990,NA
Nicaragua,2.  Industrial Processes,1991,NA
Nicaragua,2.  Industrial Processes,1992,NA
Nicaragua,2.  Industrial Processes,1993,NA
Nicaragua,2.  Industrial Processes,1994,354.84
Nicaragua,2.  Industrial Processes,1995,NA
Nicaragua,2.  Industrial Processes,1996,NA
Nicaragua,2.  Industrial Processes,1997,NA
Nicaragua,2.  Industrial Processes,1998,NA
Nicaragua,2.  Industrial Processes,1999,NA
Nicaragua,2.  Industrial Processes,2000,305.85
Nicaragua,2.  Industrial Processes,2001,NA
Nicaragua,2.  Industrial Processes,2002,NA
Nicaragua,2.  Industrial Processes,2003,NA
Nicaragua,2.  Industrial Processes,2004,NA
Nicaragua,2.  Industrial Processes,2005,NA
Nicaragua,2.  Industrial Processes,2006,NA
Nicaragua,2.  Industrial Processes,2007,NA
Nicaragua,2.  Industrial Processes,2008,NA
Nicaragua,2.  Industrial Processes,2009,NA
Nicaragua,2.  Industrial Processes,2010,NA
Nicaragua,2.  Industrial Processes,2011,NA
Nicaragua,2.  Industrial Processes,2012,NA
Nicaragua,2.  Industrial Processes,2013,NA
Nicaragua,2.  Industrial Processes,2014,NA
Nicaragua,2.  Industrial Processes,2015,NA
Nicaragua,2.  Industrial Processes,2016,NA
Nicaragua,2.  Industrial Processes,2017,NA
Nicaragua,2.  Industrial Processes,2018,NA
Nicaragua,2.  Industrial Processes,2019,NA
Panama,2.  Industrial Processes,1990,NA
Panama,2.  Industrial Processes,1991,NA
Panama,2.  Industrial Processes,1992,NA
Panama,2.  Industrial Processes,1993,NA
Panama,2.  Industrial Processes,1994,412.94
Panama,2.  Industrial Processes,1995,NA
Panama,2.  Industrial Processes,1996,NA
Panama,2.  Industrial Processes,1997,NA
Panama,2.  Industrial Processes,1998,NA
Panama,2.  Industrial Processes,1999,NA
Panama,2.  Industrial Processes,2000,592.7
Panama,2.  Industrial Processes,2001,NA
Panama,2.  Industrial Processes,2002,NA
Panama,2.  Industrial Processes,2003,NA
Panama,2.  Industrial Processes,2004,NA
Panama,2.  Industrial Processes,2005,NA
Panama,2.  Industrial Processes,2006,NA
Panama,2.  Industrial Processes,2007,NA
Panama,2.  Industrial Processes,2008,NA
Panama,2.  Industrial Processes,2009,NA
Panama,2.  Industrial Processes,2010,NA
Panama,2.  Industrial Processes,2011,NA
Panama,2.  Industrial Processes,2012,NA
Panama,2.  Industrial Processes,2013,NA
Panama,2.  Industrial Processes,2014,NA
Panama,2.  Industrial Processes,2015,NA
Panama,2.  Industrial Processes,2016,NA
Panama,2.  Industrial Processes,2017,NA
Panama,2.  Industrial Processes,2018,NA
Panama,2.  Industrial Processes,2019,NA
Paraguay,2.  Industrial Processes,1990,334.32252
Paraguay,2.  Industrial Processes,1991,NA
Paraguay,2.  Industrial Processes,1992,NA
Paraguay,2.  Industrial Processes,1993,NA
Paraguay,2.  Industrial Processes,1994,743.84
Paraguay,2.  Industrial Processes,1995,NA
Paraguay,2.  Industrial Processes,1996,NA
Paraguay,2.  Industrial Processes,1997,NA
Paraguay,2.  Industrial Processes,1998,NA
Paraguay,2.  Industrial Processes,1999,NA
Paraguay,2.  Industrial Processes,2000,395.2
Paraguay,2.  Industrial Processes,2001,NA
Paraguay,2.  Industrial Processes,2002,NA
Paraguay,2.  Industrial Processes,2003,NA
Paraguay,2.  Industrial Processes,2004,NA
Paraguay,2.  Industrial Processes,2005,706.869
Paraguay,2.  Industrial Processes,2006,NA
Paraguay,2.  Industrial Processes,2007,NA
Paraguay,2.  Industrial Processes,2008,NA
Paraguay,2.  Industrial Processes,2009,NA
Paraguay,2.  Industrial Processes,2010,NA
Paraguay,2.  Industrial Processes,2011,614.5
Paraguay,2.  Industrial Processes,2012,692.9063
Paraguay,2.  Industrial Processes,2013,NA
Paraguay,2.  Industrial Processes,2014,NA
Paraguay,2.  Industrial Processes,2015,938.77
Paraguay,2.  Industrial Processes,2016,NA
Paraguay,2.  Industrial Processes,2017,907.2036222
Paraguay,2.  Industrial Processes,2018,NA
Paraguay,2.  Industrial Processes,2019,NA
Peru,2.  Industrial Processes,1990,NA
Peru,2.  Industrial Processes,1991,NA
Peru,2.  Industrial Processes,1992,NA
Peru,2.  Industrial Processes,1993,NA
Peru,2.  Industrial Processes,1994,9899.22
Peru,2.  Industrial Processes,1995,NA
Peru,2.  Industrial Processes,1996,NA
Peru,2.  Industrial Processes,1997,NA
Peru,2.  Industrial Processes,1998,NA
Peru,2.  Industrial Processes,1999,NA
Peru,2.  Industrial Processes,2000,7918
Peru,2.  Industrial Processes,2001,NA
Peru,2.  Industrial Processes,2002,NA
Peru,2.  Industrial Processes,2003,NA
Peru,2.  Industrial Processes,2004,NA
Peru,2.  Industrial Processes,2005,NA
Peru,2.  Industrial Processes,2006,NA
Peru,2.  Industrial Processes,2007,NA
Peru,2.  Industrial Processes,2008,NA
Peru,2.  Industrial Processes,2009,NA
Peru,2.  Industrial Processes,2010,6274.04
Peru,2.  Industrial Processes,2011,NA
Peru,2.  Industrial Processes,2012,6063
Peru,2.  Industrial Processes,2013,NA
Peru,2.  Industrial Processes,2014,NA
Peru,2.  Industrial Processes,2015,NA
Peru,2.  Industrial Processes,2016,NA
Peru,2.  Industrial Processes,2017,NA
Peru,2.  Industrial Processes,2018,NA
Peru,2.  Industrial Processes,2019,NA
Suriname,2.  Industrial Processes,1990,NA
Suriname,2.  Industrial Processes,1991,NA
Suriname,2.  Industrial Processes,1992,NA
Suriname,2.  Industrial Processes,1993,NA
Suriname,2.  Industrial Processes,1994,NA
Suriname,2.  Industrial Processes,1995,NA
Suriname,2.  Industrial Processes,1996,NA
Suriname,2.  Industrial Processes,1997,NA
Suriname,2.  Industrial Processes,1998,NA
Suriname,2.  Industrial Processes,1999,NA
Suriname,2.  Industrial Processes,2000,NA
Suriname,2.  Industrial Processes,2001,NA
Suriname,2.  Industrial Processes,2002,NA
Suriname,2.  Industrial Processes,2003,65
Suriname,2.  Industrial Processes,2004,NA
Suriname,2.  Industrial Processes,2005,NA
Suriname,2.  Industrial Processes,2006,NA
Suriname,2.  Industrial Processes,2007,NA
Suriname,2.  Industrial Processes,2008,NA
Suriname,2.  Industrial Processes,2009,NA
Suriname,2.  Industrial Processes,2010,NA
Suriname,2.  Industrial Processes,2011,NA
Suriname,2.  Industrial Processes,2012,NA
Suriname,2.  Industrial Processes,2013,NA
Suriname,2.  Industrial Processes,2014,NA
Suriname,2.  Industrial Processes,2015,NA
Suriname,2.  Industrial Processes,2016,NA
Suriname,2.  Industrial Processes,2017,NA
Suriname,2.  Industrial Processes,2018,NA
Suriname,2.  Industrial Processes,2019,NA
Trinidad and Tobago,2.  Industrial Processes,1990,5116.905
