waste_var_calib,sum_group,sum_restriction_by_group,var_in_01_interval,parameter_constant_q,Fixed_Parameter,Calibration,Calibration_in_integrated_only,Parameter_That_Needs_Better_Starting_Value_Before_Calibration,Historical_Data_,Historical_Data_for_Initial_Time_Period_Future_Projections,Output_from_other_Models,Fixed_in_Calibration_(future_lever),Notes
frac_waso_initial_composition_mun_plastic,4.0,=1,,,,,,,1.0,,,,Only the value in the first period matters. Future values are projected based on elasticities and gdp/capita
frac_waso_initial_composition_mun_rubber_leather,4.0,=1,,,,,,,1.0,,,,Only the value in the first period matters. Future values are projected based on elasticities and gdp/capita
frac_waso_initial_composition_mun_sludge,4.0,=1,,,,,,,1.0,,,,Only the value in the first period matters. Future values are projected based on elasticities and gdp/capita
frac_waso_initial_composition_mun_textiles,4.0,=1,,,,,,,1.0,,,,Only the value in the first period matters. Future values are projected based on elasticities and gdp/capita
frac_waso_initial_composition_mun_wood,4.0,=1,,,,,,,1.0,,,,Only the value in the first period matters. Future values are projected based on elasticities and gdp/capita
frac_waso_initial_composition_mun_yard,4.0,=1,,,,,,,1.0,,,,Only the value in the first period matters. Future values are projected based on elasticities and gdp/capita
physparam_waso_k_chemical_industrial,,,,,,1.0,,,,,,,
physparam_waso_k_food,,,,,,1.0,,,,,,,
physparam_waso_k_glass,,,,,,1.0,,,,,,,
physparam_waso_k_metal,,,,,,1.0,,,,,,,
physparam_waso_k_nappies,,,,,,1.0,,,,,,,
physparam_waso_k_other,,,,,,1.0,,,,,,,
physparam_waso_k_paper,,,,,,1.0,,,,,,,
physparam_waso_k_plastic,,,,,,1.0,,,,,,,
physparam_waso_k_rubber_leather,,,,,,1.0,,,,,,,
physparam_waso_k_sludge,,,,,,1.0,,,,,,,
physparam_waso_k_textiles,,,,,,1.0,,,,,,,
physparam_waso_k_wood,,,,,,1.0,,,,,,,
physparam_waso_k_yard,,,,,,1.0,,,,,,,
frac_waso_initial_composition_ind_chemical_industrial,,,,,,,,,1.0,,,,Only the value in the first period matters. Future values are projected based on gdp
frac_waso_initial_composition_ind_food,,,,,,,,,1.0,,,,Only the value in the first period matters. Future values are projected based on gdp
frac_waso_initial_composition_ind_glass,,,,,,,,,1.0,,,,Only the value in the first period matters. Future values are projected based on gdp
frac_waso_initial_composition_ind_metal,,,,,,,,,1.0,,,,Only the value in the first period matters. Future values are projected based on gdp
frac_waso_initial_composition_ind_nappies,,,,,,,,,1.0,,,,Only the value in the first period matters. Future values are projected based on gdp
frac_waso_initial_composition_ind_other,,,,,,,,,1.0,,,,Only the value in the first period matters. Future values are projected based on gdp
frac_waso_initial_composition_ind_paper,,,,,,,,,1.0,,,,Only the value in the first period matters. Future values are projected based on gdp
frac_waso_initial_composition_ind_plastic,,,,,,,,,1.0,,,,Only the value in the first period matters. Future values are projected based on gdp
frac_waso_initial_composition_ind_rubber_leather,,,,,,,,,1.0,,,,Only the value in the first period matters. Future values are projected based on gdp
frac_waso_initial_composition_ind_sludge,,,,,,,,,1.0,,,,Only the value in the first period matters. Future values are projected based on gdp
frac_waso_initial_composition_ind_textiles,,,,,,,,,1.0,,,,Only the value in the first period matters. Future values are projected based on gdp
frac_waso_initial_composition_ind_wood,,,,,,,,,1.0,,,,Only the value in the first period matters. Future values are projected based on gdp
frac_waso_initial_composition_ind_yard,,,,,,,,,1.0,,,,Only the value in the first period matters. Future values are projected based on gdp
elasticity_waso_msw_to_gdppc_chemical_industrial,,,,,,1.0,,,,,,,
elasticity_waso_msw_to_gdppc_food,,,,,,1.0,,,,,,,
elasticity_waso_msw_to_gdppc_glass,,,,,,1.0,,,,,,,
elasticity_waso_msw_to_gdppc_metal,,,,,,1.0,,,,,,,
elasticity_waso_msw_to_gdppc_nappies,,,,,,1.0,,,,,,,
elasticity_waso_msw_to_gdppc_other,,,,,,1.0,,,,,,,
elasticity_waso_msw_to_gdppc_paper,,,,,,1.0,,,,,,,
elasticity_waso_msw_to_gdppc_plastic,,,,,,1.0,,,,,,,
elasticity_waso_msw_to_gdppc_rubber_leather,,,,,,1.0,,,,,,,
elasticity_waso_msw_to_gdppc_sludge,,,,,,1.0,,,,,,,
elasticity_waso_msw_to_gdppc_textiles,,,,,,1.0,,,,,,,
elasticity_waso_msw_to_gdppc_wood,,,,,,1.0,,,,,,,
elasticity_waso_msw_to_gdppc_yard,,,,,,1.0,,,,,,,
ef_waso_incineration_tonne_n2o_per_tonne_chemical_industrial,,,,,,1.0,,,,,,,
ef_waso_incineration_tonne_n2o_per_tonne_food,,,,,,1.0,,,,,,,
ef_waso_incineration_tonne_n2o_per_tonne_glass,,,,,,1.0,,,,,,,
ef_waso_incineration_tonne_n2o_per_tonne_metal,,,,,,1.0,,,,,,,
ef_waso_incineration_tonne_n2o_per_tonne_nappies,,,,,,1.0,,,,,,,
ef_waso_incineration_tonne_n2o_per_tonne_other,,,,,,1.0,,,,,,,
ef_waso_incineration_tonne_n2o_per_tonne_paper,,,,,,1.0,,,,,,,
ef_waso_incineration_tonne_n2o_per_tonne_plastic,,,,,,1.0,,,,,,,
ef_waso_incineration_tonne_n2o_per_tonne_rubber_leather,,,,,,1.0,,,,,,,
ef_waso_incineration_tonne_n2o_per_tonne_sludge,,,,,,1.0,,,,,,,
ef_waso_incineration_tonne_n2o_per_tonne_textiles,,,,,,1.0,,,,,,,
ef_waso_incineration_tonne_n2o_per_tonne_wood,,,,,,1.0,,,,,,,
ef_waso_incineration_tonne_n2o_per_tonne_yard,,,,,,1.0,,,,,,,
factor_waso_waste_per_capita_scalar_chemical_industrial,,,1.0,,,,,,,,,1.0,
factor_waso_waste_per_capita_scalar_food,,,1.0,,,,,,,,,1.0,
factor_waso_waste_per_capita_scalar_glass,,,1.0,,,,,,,,,1.0,
factor_waso_waste_per_capita_scalar_metal,,,1.0,,,,,,,,,1.0,
factor_waso_waste_per_capita_scalar_nappies,,,1.0,,,,,,,,,1.0,
factor_waso_waste_per_capita_scalar_other,,,1.0,,,,,,,,,1.0,
factor_waso_waste_per_capita_scalar_paper,,,1.0,,,,,,,,,1.0,
factor_waso_waste_per_capita_scalar_plastic,,,1.0,,,,,,,,,1.0,
factor_waso_waste_per_capita_scalar_rubber_leather,,,1.0,,,,,,,,,1.0,
factor_waso_waste_per_capita_scalar_sludge,,,1.0,,,,,,,,,1.0,
factor_waso_waste_per_capita_scalar_textiles,,,1.0,,,,,,,,,1.0,
factor_waso_waste_per_capita_scalar_wood,,,1.0,,,,,,,,,1.0,
factor_waso_waste_per_capita_scalar_yard,,,1.0,,,,,,,,,1.0,
vkmt_per_vehicle_waso,,,,,,,1.0,,,,,,Incomplete
oxf_waso_average_landfilled,,,,1.0,1.0,,,,,,,,
qty_waso_initial_municipal_waste_tonne_per_capita,,,,,,,,,,1.0,,,
ef_waso_compost_kg_ch4_per_kg_food,,,,,,1.0,,,,,,,
ef_waso_compost_kg_ch4_per_kg_yard,,,,,,1.0,,,,,,,
frac_waso_non_recycled_open_dump,,,1.0,,,,,,,1.0,,,
frac_waso_compost_food,5.0,<=1,1.0,,,,,,,1.0,,,
frac_waso_compost_yard,6.0,<=1,1.0,,,,,,,1.0,,,
qty_waso_industrial_waste_kt_per_mmm_gdp,,,,,,,,1.0,,,,,
mcf_waso_average_landfilled,,,1.0,,,1.0,,,,,,,
frac_waso_lgc_recovered_for_energy,,,1.0,,,,,1.0,,,,,
mcf_waso_average_open_dump,,,1.0,,,1.0,,,,,,,
frac_waso_non_recycled_landfilled,,,1.0,,,,,,,1.0,,,
frac_waso_recycled_glass,,,1.0,,,,,,,1.0,,,
frac_waso_recycled_metal,,,1.0,,,,,,,1.0,,,
frac_waso_recycled_paper,,,1.0,,,,,,,1.0,,,
frac_waso_recycled_plastic,,,1.0,,,,,,,1.0,,,
frac_waso_recycled_rubber_leather,,,1.0,,,,,,,1.0,,,
frac_waso_recycled_textiles,,,1.0,,,,,,,1.0,,,
frac_waso_recycled_wood,,,1.0,,,,,,,1.0,,,
frac_waso_compost_methane_flared,,,1.0,,,1.0,,,,,,,
frac_waso_landfill_gas_recovered,,,1.0,,,1.0,,,,,,,
ef_waso_compost_kg_n2o_per_kg_food,,,,,,1.0,,,,,,,
ef_waso_compost_kg_n2o_per_kg_yard,,,,,,1.0,,,,,,,
qty_waso_annual_waste_collected_tonne_per_vehicle,,,,,,1.0,,,,,,,Incomplete
ef_waso_incineration_kg_ch4_per_kg_msw,,,,,,1.0,,,,,,,
historical_back_projection_growth_rate,,,1.0,,,1.0,,,,,,,
gasrf_waso_landfill_to_ch4,,,1.0,,,,1.0,,,,,,
ef_waso_incineration_kg_ch4_per_kg_isw,,,,,,1.0,,,,,,,
frac_waso_isw_incinerated_recovered_for_energy,,,1.0,,,,1.0,,,,,,
gasrf_waso_biogass,,,1.0,,,,1.0,,,,,,
frac_waso_biogas_food,5.0,<=1,1.0,,,,,,,1.0,,,
frac_waso_biogas_yard,6.0,<=1,1.0,,,,,,,1.0,,,
frac_waso_msw_incinerated_recovered_for_energy,,,1.0,,,,1.0,,,,,,
ef_waso_biogas_kg_ch4_per_kg_food,,,,,,1.0,,,,,,,
ef_waso_biogas_kg_ch4_per_kg_yard,,,,,,1.0,,,,,,,
frac_waso_non_recycled_incinerated,,,1.0,,,,,,,1.0,,,
