Nation,Year,value,mineria_share,manu_share,industrial_share,comercio_share,total_share
panama,1970,6.6067356137336795,0.0,0.20698377150545,0.04560355894687096,0.5979415789592111,0.850528909411532
peru,1970,45.9653550381559,0.0332621837491013,0.17706412596090199,0.10547140786563902,0.445217182886473,0.7610149004621154
paraguay,1970,4.67348064763542,0.0,0.158717715994181,0.0400154829754,0.407385245792235,0.606118444761816
el_salvador,1970,10.4878126186429,0.0,0.20188539349645201,0.04074427144017198,0.352964022172792,0.595593687109416
uruguay,1970,17.8479461584366,0.0,,,,
argentina,1971,233.22360957490798,0.00017174774944779,0.35762858969726996,0.10191869483505905,0.431787867210794,0.8915068994925708
bahamas,1971,4.91559298381836,0.0,,,,
belize,1971,0.18919854271838502,0.0,,,,
brazil,1971,381.868493955806,0.00397243118337374,0.251741112081931,0.07772086179946402,0.42202435746231304,0.7554587625270819
barbados,1971,,,0.20166704422324128,0.08241022030002981,0.45920995003909865,
chile,1971,44.9311696271519,0.0606780412715262,0.24434749052993,0.14164546893580798,0.524732436072107,0.9714034368093711
colombia,1971,53.3916861955168,0.00026099187058522,0.20375145939981798,0.07356016576215901,0.49266771871752396,0.7702403357500862
costa_rica,1971,9.16043276116127,0.0,0.187193506537488,0.066008129438481,0.541235836117521,0.79443747209349
dominican_republic,1971,8.80667951387177,0.007255022333812901,0.183738373837384,0.07595836716055798,0.399459945994599,0.6664117093263539
ecuador,1971,18.439528973238602,6.222403821357e-05,0.23093501398525199,0.05262777434705204,0.41459115841476296,0.6982161707852805
guatemala,1971,13.816170774794399,2.629352981831e-05,0.16018596332124102,0.027948004836759993,0.5348689540507859,0.7230292157386052
guyana,1971,2.2682864848283,0.134700166935393,0.108668675766708,0.229214678248537,0.36536075163978,0.837944272590418
honduras,1971,4.09228021891059,0.004674676334758441,0.13406292749658,0.07045143638850898,0.415184746922025,0.6243737871418724
haiti,1971,7.71247196973283,0.0294892660133113,,,,
jamaica,1971,9.16691378876585,0.0730999187880168,,,,
mexico,1971,282.660871575104,0.00228355440707795,0.220240612244898,0.07619020408163302,0.535279591836735,0.833993962570344
nicaragua,1971,6.0028559778627795,0.00374523882673538,,,,
panama,1971,7.24204839981116,0.0,0.195895026317703,0.05694292314569299,0.600886780462876,0.853724729926272
peru,1971,48.0754130140451,0.0195494653367002,0.184866887494712,0.09989699823159001,0.45212007267248305,0.7564334237354853
paraguay,1971,4.93230510673137,0.0,0.155969833763256,0.04378045285182003,0.39798545428489496,0.597735740899971
el_salvador,1971,10.8924594371303,0.0,0.20578019087444802,0.04228914443732498,0.35996357872727897,0.6080329140390519
uruguay,1971,17.8030208197032,0.0,,,,
argentina,1972,237.021461353032,0.00025931808756967,0.36358073530149,0.09223575420598001,0.43433475818679496,0.8904105657818346
bahamas,1972,4.74367818405711,0.0,,,,
belize,1972,0.20853142467240599,0.0,,,,
brazil,1972,427.464921480414,0.00458517275018666,0.250862127539708,0.077132805368825,0.41444303517517606,0.7470231408338956
barbados,1972,,,0.1996099725230443,0.08349661120533042,0.46312685660810066,
chile,1972,44.472895153325,0.052478205092985196,0.233757372351177,0.144214490108363,0.532992737461139,0.9634428050136641
colombia,1972,57.4863733884996,0.00011149191354395001,0.213702574704399,0.07387112765935103,0.477659877435211,0.765345071712505
costa_rica,1972,9.909577086746811,0.0,0.191472528542564,0.06958543294627503,0.537999951313323,0.799057912802162
dominican_republic,1972,9.72206023227037,0.0187456332713367,0.17475093086444599,0.09120622088105601,0.414662423266579,0.6993652082834176
ecuador,1972,19.364758284552398,6.292251594177e-05,0.217516941647878,0.05299108797095803,0.42031867255358796,0.6908896246883658
guatemala,1972,14.829317709707599,8.11824220543e-06,0.157412887260267,0.030222481321086986,0.529484128872603,0.7171276156961623
guyana,1972,2.19303220337919,0.11182114853027,0.106624395127649,0.22092441181378303,0.38411480060070097,0.823484756072403
honduras,1972,4.328089881767331,0.007155119996263029,0.13760897494451899,0.06724782485976502,0.42092163268503296,0.63293355248558
haiti,1972,7.78783113191615,0.0183054379629985,,,,
jamaica,1972,10.81774252698,0.060259938963589395,,,,
mexico,1972,305.920490042449,0.0025392590388213397,0.21784778761061901,0.08003221238938096,0.542833451327434,0.8432527103662553
nicaragua,1972,6.13616277471094,0.00410995252496843,,,,
