Year,Nation,prodinit_ippu_electronics_tonne
2002,jamaica,296602.0288226773
2003,jamaica,296602.0288226773
2004,jamaica,296602.0288226773
2005,jamaica,296602.0288226773
2006,jamaica,296602.0288226773
2007,jamaica,296602.0288226773
2008,jamaica,296602.0288226773
2009,jamaica,296602.0288226773
2010,jamaica,296602.0288226773
2011,jamaica,296602.0288226773
2012,jamaica,296602.0288226773
2013,jamaica,296602.0288226773
2014,jamaica,296602.0288226773
2015,jamaica,296602.0288226773
2016,jamaica,296602.0288226773
2017,jamaica,296602.0288226773
2018,jamaica,296602.0288226773
2019,jamaica,296602.0288226773
1990,mexico,2219652.6011675317
1991,mexico,2219652.6011675317
1992,mexico,2219652.6011675317
1993,mexico,2219652.6011675317
1994,mexico,2219652.6011675317
1995,mexico,2219652.6011675317
1996,mexico,2219652.6011675317
1997,mexico,2219652.6011675317
1998,mexico,2219652.6011675317
1999,mexico,2219652.6011675317
2000,mexico,2219652.6011675317
2001,mexico,2219652.6011675317
2002,mexico,2219652.6011675317
2003,mexico,2219652.6011675317
2004,mexico,2219652.6011675317
2005,mexico,2219652.6011675317
2006,mexico,2219652.6011675317
2007,mexico,2219652.6011675317
2008,mexico,2219652.6011675317
2009,mexico,2219652.6011675317
2010,mexico,2219652.6011675317
2011,mexico,2219652.6011675317
2012,mexico,2219652.6011675317
2013,mexico,2219652.6011675317
2014,mexico,2219652.6011675317
2015,mexico,2219652.6011675317
2016,mexico,2219652.6011675317
2017,mexico,2219652.6011675317
2018,mexico,2219652.6011675317
2019,mexico,2219652.6011675317
1990,nicaragua,39827.8186740497
1991,nicaragua,39827.8186740497
1992,nicaragua,39827.8186740497
1993,nicaragua,39827.8186740497
1994,nicaragua,39827.8186740497
1995,nicaragua,39827.8186740497
1996,nicaragua,39827.8186740497
1997,nicaragua,39827.8186740497
1998,nicaragua,39827.8186740497
1999,nicaragua,39827.8186740497
2000,nicaragua,39827.8186740497
2001,nicaragua,39827.8186740497
2002,nicaragua,39827.8186740497
2003,nicaragua,39827.8186740497
2004,nicaragua,39827.8186740497
2005,nicaragua,39827.8186740497
2006,nicaragua,39827.8186740497
2007,nicaragua,39827.8186740497
2008,nicaragua,39827.8186740497
2009,nicaragua,39827.8186740497
2010,nicaragua,39827.8186740497
2011,nicaragua,39827.8186740497
2012,nicaragua,39827.8186740497
2013,nicaragua,39827.8186740497
2014,nicaragua,39827.8186740497
2015,nicaragua,39827.8186740497
2016,nicaragua,39827.8186740497
2017,nicaragua,39827.8186740497
2018,nicaragua,39827.8186740497
2019,nicaragua,39827.8186740497
1990,panama,686.3836632100517
1991,panama,686.3836632100517
1992,panama,686.3836632100517
1993,panama,686.3836632100517
1994,panama,686.3836632100517
1995,panama,686.3836632100517
1996,panama,686.3836632100517
1997,panama,686.3836632100517
1998,panama,686.3836632100517
1999,panama,686.3836632100517
2000,panama,686.3836632100517
2001,panama,686.3836632100517
2002,panama,686.3836632100517
2003,panama,686.3836632100517
2004,panama,686.3836632100517
2005,panama,686.3836632100517
2006,panama,686.3836632100517
2007,panama,686.3836632100517
2008,panama,686.3836632100517
2009,panama,686.3836632100517
2010,panama,686.3836632100517
2011,panama,686.3836632100517
2012,panama,686.3836632100517
2013,panama,686.3836632100517
2014,panama,686.3836632100517
2015,panama,686.3836632100517
2016,panama,686.3836632100517
2017,panama,686.3836632100517
2018,panama,686.3836632100517
2019,panama,686.3836632100517
1990,paraguay,5208.85067729639
1991,paraguay,5208.85067729639
1992,paraguay,5208.85067729639
1993,paraguay,5208.85067729639
1994,paraguay,5208.85067729639
1995,paraguay,5208.85067729639
1996,paraguay,5208.85067729639
1997,paraguay,5208.85067729639
1998,paraguay,5208.85067729639
1999,paraguay,5208.85067729639
2000,paraguay,5208.85067729639
2001,paraguay,5208.85067729639
2002,paraguay,5208.85067729639
2003,paraguay,5208.85067729639
2004,paraguay,5208.85067729639
2005,paraguay,5208.85067729639
2006,paraguay,5208.85067729639
2007,paraguay,5208.85067729639
2008,paraguay,5208.85067729639
2009,paraguay,5208.85067729639
2010,paraguay,5208.85067729639
2011,paraguay,5208.85067729639
2012,paraguay,5208.85067729639
2013,paraguay,5208.85067729639
2014,paraguay,5208.85067729639
2015,paraguay,5208.85067729639
2016,paraguay,5208.85067729639
2017,paraguay,5208.85067729639
2018,paraguay,5208.85067729639
2019,paraguay,5208.85067729639
1990,peru,74576.68018286332
1991,peru,74576.68018286332
1992,peru,74576.68018286332
1993,peru,74576.68018286332
1994,peru,74576.68018286332
1995,peru,74576.68018286332
1996,peru,74576.68018286332
1997,peru,74576.68018286332
1998,peru,74576.68018286332
1999,peru,74576.68018286332
2000,peru,74576.68018286332
2001,peru,74576.68018286332
2002,peru,74576.68018286332
2003,peru,74576.68018286332
2004,peru,74576.68018286332
2005,peru,74576.68018286332
2006,peru,74576.68018286332
2007,peru,74576.68018286332
2008,peru,74576.68018286332
2009,peru,74576.68018286332
2010,peru,74576.68018286332
2011,peru,74576.68018286332
2012,peru,74576.68018286332
2013,peru,74576.68018286332
2014,peru,74576.68018286332
2015,peru,74576.68018286332
2016,peru,74576.68018286332
2017,peru,74576.68018286332
2018,peru,74576.68018286332
2019,peru,74576.68018286332
1990,suriname,296602.0288226773
1991,suriname,296602.0288226773
1992,suriname,296602.0288226773
1993,suriname,296602.0288226773
1994,suriname,296602.0288226773
1995,suriname,296602.0288226773
1996,suriname,296602.0288226773
1997,suriname,296602.0288226773
1998,suriname,296602.0288226773
1999,suriname,296602.0288226773
2000,suriname,296602.0288226773
2001,suriname,296602.0288226773
2002,suriname,296602.0288226773
2003,suriname,296602.0288226773
2004,suriname,296602.0288226773
2005,suriname,296602.0288226773
2006,suriname,296602.0288226773
2007,suriname,296602.0288226773
2008,suriname,296602.0288226773
2009,suriname,296602.0288226773
2010,suriname,296602.0288226773
2011,suriname,296602.0288226773
2012,suriname,296602.0288226773
2013,suriname,296602.0288226773
2014,suriname,296602.0288226773
2015,suriname,296602.0288226773
2016,suriname,296602.0288226773
2017,suriname,296602.0288226773
2018,suriname,296602.0288226773
2019,suriname,296602.0288226773
1990,trinidad_and_tobago,296602.0288226773
1991,trinidad_and_tobago,296602.0288226773
1992,trinidad_and_tobago,296602.0288226773
1993,trinidad_and_tobago,296602.0288226773
1994,trinidad_and_tobago,296602.0288226773
1995,trinidad_and_tobago,296602.0288226773
1996,trinidad_and_tobago,296602.0288226773
1997,trinidad_and_tobago,296602.0288226773
1998,trinidad_and_tobago,296602.0288226773
1999,trinidad_and_tobago,296602.0288226773
2000,trinidad_and_tobago,296602.0288226773
2001,trinidad_and_tobago,296602.0288226773
2002,trinidad_and_tobago,296602.0288226773
2003,trinidad_and_tobago,296602.0288226773
2004,trinidad_and_tobago,296602.0288226773
2005,trinidad_and_tobago,296602.0288226773
2006,trinidad_and_tobago,296602.0288226773
2007,trinidad_and_tobago,296602.0288226773
2008,trinidad_and_tobago,296602.0288226773
2009,trinidad_and_tobago,296602.0288226773
2010,trinidad_and_tobago,296602.0288226773
2011,trinidad_and_tobago,296602.0288226773
2012,trinidad_and_tobago,296602.0288226773
2013,trinidad_and_tobago,296602.0288226773
2014,trinidad_and_tobago,296602.0288226773
2015,trinidad_and_tobago,296602.0288226773
2016,trinidad_and_tobago,296602.0288226773
2017,trinidad_and_tobago,296602.0288226773
2018,trinidad_and_tobago,296602.0288226773
2019,trinidad_and_tobago,296602.0288226773
1990,uruguay,16859.4468422643
1991,uruguay,16859.4468422643
1992,uruguay,16859.4468422643
1993,uruguay,16859.4468422643
1994,uruguay,16859.4468422643
1995,uruguay,16859.4468422643
1996,uruguay,16859.4468422643
1997,uruguay,16859.4468422643
1998,uruguay,16859.4468422643
1999,uruguay,16859.4468422643
2000,uruguay,16859.4468422643
2001,uruguay,16859.4468422643
2002,uruguay,16859.4468422643
2003,uruguay,16859.4468422643
2004,uruguay,16859.4468422643
2005,uruguay,16859.4468422643
2006,uruguay,16859.4468422643
2007,uruguay,16859.4468422643
2008,uruguay,16859.4468422643
2009,uruguay,16859.4468422643
2010,uruguay,16859.4468422643
2011,uruguay,16859.4468422643
2012,uruguay,16859.4468422643
2013,uruguay,16859.4468422643
2014,uruguay,16859.4468422643
2015,uruguay,16859.4468422643
2016,uruguay,16859.4468422643
2017,uruguay,16859.4468422643
2018,uruguay,16859.4468422643
2019,uruguay,16859.4468422643
1990,venezuela,104783.90060997104
1991,venezuela,104783.90060997104
1992,venezuela,104783.90060997104
1993,venezuela,104783.90060997104
1994,venezuela,104783.90060997104
1995,venezuela,104783.90060997104
1996,venezuela,104783.90060997104
1997,venezuela,104783.90060997104
1998,venezuela,104783.90060997104
1999,venezuela,104783.90060997104
2000,venezuela,104783.90060997104
2001,venezuela,104783.90060997104
2002,venezuela,104783.90060997104
2003,venezuela,104783.90060997104
2004,venezuela,104783.90060997104
2005,venezuela,104783.90060997104
2006,venezuela,104783.90060997104
2007,venezuela,104783.90060997104
2008,venezuela,104783.90060997104
2009,venezuela,104783.90060997104
2010,venezuela,104783.90060997104
2011,venezuela,104783.90060997104
2012,venezuela,104783.90060997104
2013,venezuela,104783.90060997104
2014,venezuela,104783.90060997104
2015,venezuela,104783.90060997104
2016,venezuela,104783.90060997104
2017,venezuela,104783.90060997104
2018,venezuela,104783.90060997104
2019,venezuela,104783.90060997104
