model,calib_targets,var_in_01_interval
CircularEconomy,elasticity_waso_msw_to_gdppc_chemical_industrial,0
CircularEconomy,elasticity_waso_msw_to_gdppc_food,0
CircularEconomy,elasticity_waso_msw_to_gdppc_glass,0
CircularEconomy,elasticity_waso_msw_to_gdppc_metal,0
CircularEconomy,elasticity_waso_msw_to_gdppc_nappies,0
CircularEconomy,elasticity_waso_msw_to_gdppc_other,0
CircularEconomy,elasticity_waso_msw_to_gdppc_paper,0
CircularEconomy,elasticity_waso_msw_to_gdppc_plastic,0
CircularEconomy,elasticity_waso_msw_to_gdppc_rubber_leather,0
CircularEconomy,elasticity_waso_msw_to_gdppc_sludge,0
CircularEconomy,elasticity_waso_msw_to_gdppc_textiles,0
CircularEconomy,elasticity_waso_msw_to_gdppc_wood,0
CircularEconomy,elasticity_waso_msw_to_gdppc_yard,0
CircularEconomy,ef_waso_incineration_tonne_n2o_per_tonne_chemical_industrial,0
CircularEconomy,ef_waso_incineration_tonne_n2o_per_tonne_food,0
CircularEconomy,ef_waso_incineration_tonne_n2o_per_tonne_glass,0
CircularEconomy,ef_waso_incineration_tonne_n2o_per_tonne_metal,0
CircularEconomy,ef_waso_incineration_tonne_n2o_per_tonne_nappies,0
CircularEconomy,ef_waso_incineration_tonne_n2o_per_tonne_other,0
CircularEconomy,ef_waso_incineration_tonne_n2o_per_tonne_paper,0
CircularEconomy,ef_waso_incineration_tonne_n2o_per_tonne_plastic,0
CircularEconomy,ef_waso_incineration_tonne_n2o_per_tonne_rubber_leather,0
CircularEconomy,ef_waso_incineration_tonne_n2o_per_tonne_sludge,0
CircularEconomy,ef_waso_incineration_tonne_n2o_per_tonne_textiles,0
CircularEconomy,ef_waso_incineration_tonne_n2o_per_tonne_wood,0
CircularEconomy,ef_waso_incineration_tonne_n2o_per_tonne_yard,0
CircularEconomy,ef_waso_compost_kg_ch4_per_kg_food,0
CircularEconomy,ef_waso_compost_kg_ch4_per_kg_yard,0
CircularEconomy,mcf_waso_average_landfilled,1
CircularEconomy,mcf_waso_average_open_dump,1
CircularEconomy,frac_waso_compost_methane_flared,1
CircularEconomy,frac_waso_landfill_gas_recovered,1
CircularEconomy,ef_waso_compost_kg_n2o_per_kg_food,0
CircularEconomy,ef_waso_compost_kg_n2o_per_kg_yard,0
CircularEconomy,qty_waso_annual_waste_collected_tonne_per_vehicle,0
CircularEconomy,ef_waso_incineration_kg_ch4_per_kg_msw,0
CircularEconomy,historical_back_projection_growth_rate,1
CircularEconomy,ef_waso_incineration_kg_ch4_per_kg_isw,0
CircularEconomy,ef_waso_biogas_kg_ch4_per_kg_food,0
CircularEconomy,ef_waso_biogas_kg_ch4_per_kg_yard,0
